gate_id,status,evidence,notes
WORKTREE_BRANCH_VALID,PASS,branch=feature/oty2-gm017-physical-factor-discovery;head=562c1c7da5859c026fca193cb18048fbbfa2ad5f,
P0_ARTIFACTS_FROZEN_UNCHANGED,PASS,git diff --quiet 1a3edd97d17b167ca63d9d70651dad29d5601f5b -- P0 artifact paths,
GENERATOR_GT_IMPORT_FORBIDDEN,PASS,generator source scanned before evaluator opened GT,
HOLDOUT_GT_NOT_READ_DURING_GENERATION,PASS,state history gt_file_opened=false,
FUTURE_FRAME_NOT_READ,PASS,max_sar_frame_read <= current frame,
PRE_EVAL_SEAL_VALID,PASS,reports\oty2\samples\oty2_wgv3_6b_d1_gm017_pre_eval_seal_20260712.csv,
SEQUENTIAL_STATE_DEPENDENCY_VALID,PASS,state_t prior equals state_t-1 posterior,
CURRENT_SAR_OBSERVATION_UPDATES_STATE,PASS,max_correction_px=5.337167,
SPECIFIC_RESPONSE_TRACKS_EXIST,PASS,response_tracks=18;association_rows=384,
MOTION_SHELL_NOT_EQUAL_SAME_MOTION,PASS,same_motion_supported_rows=297,
BACKGROUND_TRACKS_EXIST,PASS,background_tracks=235,
BACKGROUND_NOT_SINGLE_FRAME_SHAPE_ONLY,PASS,static background support_frames>=3,
TRACK_SPECIFIC_MISSING_STATE_EXISTS,PASS,visibility_events=94,
TRACK_SPECIFIC_REAPPEARANCE_VALID,PASS,reappearance_events=46;empty_allowed_as_INSUFFICIENT_REAPPEARANCE_EVENTS,
TOP_K_NOT_USED_AS_PHYSICAL_SELECTOR,PASS,safety cap only; incomplete frames cannot produce strong membership,
VISUAL_REVIEW_EVIDENCE_COMPLETE,PASS,visual_review_rows=34,
FROZEN_REPLAY_IDENTICAL,PASS,replay_rows=11,
P0_BASELINE_COMPARISON_COMPLETE,PASS,"D1, no-observation ablation, P0 linear, and P0 static baselines compared",
D1_RECURSIVE_CAUSAL_STAGE_READY,PASS,"PASS only if recursion, current observation update, response/background tracks, replay, seal, and visual evidence all hold",
