tracklet_candidate_id,scene,detection_count,tracklet_status,identity_status,edge_conflict_count,same_frame_conflict_count,neighbor_ambiguity_count,boundary_contact_count,quality_notes,policy
oty1_tracklet_0001,GM_RM019,15,ambiguous_geometry_review,ambiguous_crossing_risk,15,0,3,11,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0002,GM_RM019,3,ambiguous_geometry_review,ambiguous_crossing_risk,3,0,3,1,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0003,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,1,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0004,GM_RM019,41,ambiguous_geometry_review,ambiguous_crossing_risk,40,0,6,30,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0005,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,1,1,short component; keep candidate-only; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0006,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,0,0,short component; keep candidate-only; multiple plausible geometry edges,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0007,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,1,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0008,GM_RM019,4,ambiguous_geometry_review,ambiguous_crossing_risk,4,0,2,2,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0009,GM_RM019,5,ambiguous_geometry_review,ambiguous_crossing_risk,5,0,5,3,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0010,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,0,0,short component; keep candidate-only; multiple plausible geometry edges,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0011,GM_RM019,13,ambiguous_geometry_review,ambiguous_crossing_risk,13,0,7,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0012,GM_RM019,2,fragmented_short_track,fragmented_short_track,2,0,0,0,short component; keep candidate-only; multiple plausible geometry edges,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0013,GM_RM019,52,ambiguous_geometry_review,ambiguous_crossing_risk,52,0,21,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0014,GM_RM019,2,fragmented_short_track,fragmented_short_track,2,0,2,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0015,GM_RM019,11,ambiguous_geometry_review,ambiguous_crossing_risk,11,0,3,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0016,GM_RM019,2,fragmented_short_track,fragmented_short_track,2,0,2,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0017,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,1,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0018,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,0,0,short component; keep candidate-only; multiple plausible geometry edges,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0019,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,1,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0020,GM_RM019,4,ambiguous_geometry_review,ambiguous_crossing_risk,4,0,1,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0021,GM_RM019,3,ambiguous_geometry_review,ambiguous_crossing_risk,3,0,3,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0022,GM_RM019,12,ambiguous_geometry_review,ambiguous_crossing_risk,12,0,6,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0023,GM_RM019,2,fragmented_short_track,fragmented_short_track,2,0,2,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0024,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,1,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0025,GM_RM019,4,ambiguous_geometry_review,ambiguous_crossing_risk,4,0,3,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0026,GM_RM019,3,ambiguous_geometry_review,ambiguous_crossing_risk,3,0,3,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0027,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,1,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0028,GM_RM019,12,ambiguous_geometry_review,ambiguous_crossing_risk,12,0,7,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0029,GM_RM019,3,ambiguous_geometry_review,ambiguous_crossing_risk,3,0,3,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0030,GM_RM019,2,fragmented_short_track,fragmented_short_track,2,0,2,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
