entity_id,structure_id,physical_vehicle_id,sar_frame,entity_class,G_scale,G_compact,G_grammar,G_temporal,G_background,optical_condition_compatibility,classification_reason_cn
E8A_001,S8A_F027_001,PV_GM19_WHITE_SUV_NEAR_FIELD,27,vehicle_supported,true,true,true,true,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,"结构含 body_core,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
E8A_002,S8A_F028_002,PV_GM19_WHITE_SUV_NEAR_FIELD,28,vehicle_supported,true,true,true,true,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,"结构含 body_core,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
E8A_003,S8A_F029_003,PV_GM19_WHITE_SUV_NEAR_FIELD,29,vehicle_supported,true,true,true,true,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,"结构含 side_ridge,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
E8A_004,S8A_F030_004,PV_GM19_WHITE_SUV_NEAR_FIELD,30,vehicle_supported,true,true,true,true,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,"结构含 side_ridge,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
E8A_005,S8A_F031_005,PV_GM19_WHITE_SUV_NEAR_FIELD,31,vehicle_supported,true,true,true,true,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,"结构含 side_ridge,unresolved_atom，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。"
E8A_006,S8A_F032_006,PV_GM19_WHITE_SUV_NEAR_FIELD,32,unresolved,true,true,true,false,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,"结构含 side_ridge,unresolved_atom，G_scale=True, G_compact=True, G_temporal=True，证据不足。"
E8A_007,S8A_F040_007,PV_GM19_WHITE_SUV_NEAR_FIELD,40,unresolved,true,true,true,false,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,"结构含 body_core,unresolved_atom，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
E8A_008,S8A_F046_008,PV_GM19_WHITE_SUV_NEAR_FIELD,46,unresolved,true,true,true,false,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,"结构含 body_core,unresolved_atom，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
E8A_009,S8A_F060_009,PV_GM19_WHITE_SUV_NEAR_FIELD,60,background_like,false,true,false,false,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,结构含 unresolved_atom，尺度、孤立性或负向窗口冲突，不能升级为车辆支持实体。
E8A_010,S8A_F077_010,PV_GM19_WHITE_SUV_NEAR_FIELD,77,background_like,false,true,false,false,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,结构含 unresolved_atom，尺度、孤立性或负向窗口冲突，不能升级为车辆支持实体。
E8A_011,S8A_F078_011,PV_GM19_WHITE_SUV_NEAR_FIELD,78,vehicle_supported,true,true,true,true,false,allowed_or_weakly_supported_after_SAR_gate; optical_not_used_to_promote_background,结构含 body_core，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。
