reference_version,case_id,scene,canonical_vehicle_id,sar_frame,coordinate_system,label,geometry_type,points,confidence,review_status,source_role,notes
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,337,sar_display_px,CONFIRMED_MAIN_SKELETON,polyline,"1115.000,1063.687;1135.000,1063.887;1165.323,1063.687",0.65,direct_manual_review_frozen,hidden_evaluation_only,"weak frame; retain only the short lower response segment right of the confirmed vertical barrier"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,337,sar_display_px,CONFIRMED_SEED_SEGMENT,polyline,"1122.000,1063.787;1142.323,1063.787",0.75,direct_manual_review_frozen,hidden_evaluation_only,"minimal central seed segment; not a full-band initialization"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,337,sar_display_px,UNRESOLVED_ENDPOINT_ZONE,polygon,"1160.323,1047.887;1210.323,1045.887;1216.323,1079.887;1164.323,1079.887",0.30,direct_manual_review_frozen,hidden_evaluation_only,"right endpoint is not forced positive or background"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,338,sar_display_px,CONFIRMED_MAIN_SKELETON,polyline,"1121.000,1067.294;1142.000,1067.494;1173.320,1067.294",0.70,direct_manual_review_frozen,hidden_evaluation_only,"weak-to-transition frame; short lower response segment right of the vertical barrier"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,338,sar_display_px,CONFIRMED_SEED_SEGMENT,polyline,"1129.000,1067.394;1150.320,1067.394",0.80,direct_manual_review_frozen,hidden_evaluation_only,"minimal central seed segment; not a full-band initialization"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,338,sar_display_px,UNRESOLVED_ENDPOINT_ZONE,polygon,"1168.320,1051.494;1218.320,1049.494;1224.320,1083.494;1172.320,1083.494",0.30,direct_manual_review_frozen,hidden_evaluation_only,"right endpoint is not forced positive or background"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,339,sar_display_px,CONFIRMED_MAIN_SKELETON,polyline,"1127.000,1063.800;1150.000,1064.000;1181.000,1063.800",0.90,direct_manual_review_frozen,hidden_evaluation_only,"R2-confirmed middle lower response only; left offset and right endpoint remain excluded"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,339,sar_display_px,CONFIRMED_SEED_SEGMENT,polyline,"1136.000,1063.900;1158.000,1063.900",0.95,direct_manual_review_frozen,hidden_evaluation_only,"central R2-confirmed seed segment entirely right of the vertical barrier"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,339,sar_display_px,UNRESOLVED_ENDPOINT_ZONE,polygon,"1176.000,1048.000;1226.000,1046.000;1232.000,1080.000;1180.000,1080.000",0.30,direct_manual_review_frozen,hidden_evaluation_only,"right endpoint remains unresolved before arc and clutter"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,340,sar_display_px,CONFIRMED_MAIN_SKELETON,polyline,"1133.000,1068.775;1153.000,1068.975;1184.686,1068.775",0.85,direct_manual_review_frozen,hidden_evaluation_only,"strong frame; conservative middle lower response right of the background barrier"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,340,sar_display_px,CONFIRMED_SEED_SEGMENT,polyline,"1140.000,1068.875;1161.686,1068.875",0.90,direct_manual_review_frozen,hidden_evaluation_only,"minimal central seed segment; not a full-band initialization"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,340,sar_display_px,UNRESOLVED_ENDPOINT_ZONE,polygon,"1179.686,1052.975;1229.686,1050.975;1235.686,1084.975;1183.686,1084.975",0.30,direct_manual_review_frozen,hidden_evaluation_only,"right endpoint remains unresolved before arc and clutter"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,341,sar_display_px,CONFIRMED_MAIN_SKELETON,polyline,"1139.000,1066.905;1167.000,1067.105;1198.973,1066.905",0.85,direct_manual_review_frozen,hidden_evaluation_only,"strong frame; conservative middle lower response right of the background barrier"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,341,sar_display_px,CONFIRMED_SEED_SEGMENT,polyline,"1154.000,1067.005;1175.973,1067.005",0.90,direct_manual_review_frozen,hidden_evaluation_only,"minimal central seed segment; not a full-band initialization"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,341,sar_display_px,UNRESOLVED_ENDPOINT_ZONE,polygon,"1193.973,1051.105;1243.973,1049.105;1249.973,1083.105;1197.973,1083.105",0.30,direct_manual_review_frozen,hidden_evaluation_only,"right endpoint remains unresolved before arc and clutter"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,380,sar_display_px,CONFIRMED_MAIN_SKELETON,polyline,"1159.754,998.027;1205.754,1001.027;1256.754,999.027",0.85,direct_manual_review_frozen,hidden_evaluation_only,"strong replay-window frame; conservative lower response segment"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,380,sar_display_px,CONFIRMED_SEED_SEGMENT,polyline,"1185.754,999.727;1225.754,1000.427",0.90,direct_manual_review_frozen,hidden_evaluation_only,"minimal central seed segment; not a full-band initialization"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,380,sar_display_px,UNRESOLVED_ENDPOINT_ZONE,polygon,"1249.754,981.227;1315.754,979.227;1319.754,1019.227;1257.754,1023.227",0.30,direct_manual_review_frozen,hidden_evaluation_only,"right endpoint remains unresolved before clutter"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,381,sar_display_px,CONFIRMED_MAIN_SKELETON,polyline,"1170.568,998.205;1216.568,1001.205;1267.568,999.205",0.85,direct_manual_review_frozen,hidden_evaluation_only,"strong replay-window frame; conservative lower response segment"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,381,sar_display_px,CONFIRMED_SEED_SEGMENT,polyline,"1196.568,999.905;1236.568,1000.605",0.90,direct_manual_review_frozen,hidden_evaluation_only,"minimal central seed segment; not a full-band initialization"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,381,sar_display_px,UNRESOLVED_ENDPOINT_ZONE,polygon,"1260.568,981.405;1326.568,979.405;1330.568,1019.405;1268.568,1023.405",0.30,direct_manual_review_frozen,hidden_evaluation_only,"right endpoint remains unresolved before clutter"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,382,sar_display_px,CONFIRMED_MAIN_SKELETON,polyline,"1167.574,996.956;1213.574,999.956;1264.574,997.956",0.85,direct_manual_review_frozen,hidden_evaluation_only,"strong replay-window frame; conservative lower response segment"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,382,sar_display_px,CONFIRMED_SEED_SEGMENT,polyline,"1193.574,998.656;1233.574,999.356",0.90,direct_manual_review_frozen,hidden_evaluation_only,"minimal central seed segment; not a full-band initialization"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,382,sar_display_px,UNRESOLVED_ENDPOINT_ZONE,polygon,"1257.574,980.156;1323.574,978.156;1327.574,1018.156;1265.574,1022.156",0.30,direct_manual_review_frozen,hidden_evaluation_only,"right endpoint remains unresolved before clutter"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,383,sar_display_px,CONFIRMED_MAIN_SKELETON,polyline,"1192.145,997.027;1238.145,1000.027;1289.145,998.027",0.80,direct_manual_review_frozen,hidden_evaluation_only,"strong frame with large GT-coordinate step; reference remains raw-image reviewed"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,383,sar_display_px,CONFIRMED_SEED_SEGMENT,polyline,"1218.145,998.727;1258.145,999.427",0.90,direct_manual_review_frozen,hidden_evaluation_only,"minimal central seed segment; not a full-band initialization"
