comparison,experiment_id,experiment_type,physical_vehicle_id,hidden_target_pair_id,sar_frame,coverage_delta,iou_delta,center_error_delta,search_ratio_delta,verdict,notes
C1_minus_C0,ADJ_0204_TO_0205,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,31,0,0,0,0.009824,neutral,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,ADJ_0204_TO_0205,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,31,-0.306502,-0.385914,-14.48682,0.001242,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,ADJ_0205_TO_0206,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,77,0,0,96.015601,0.00924,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,ADJ_0205_TO_0206,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,77,0,0,-555.021425,-0.001205,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,ADJ_0206_TO_0207,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0207,81,0,0,0,0.009587,neutral,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,ADJ_0206_TO_0207,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0207,81,0,0,0,0.001261,neutral,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,ADJ_0208_TO_0209,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,238,0.121334,0.079821,42.305571,0.009637,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,ADJ_0208_TO_0209,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,238,-0.494538,-0.272728,-120.506619,0.001335,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,ADJ_0209_TO_0210,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,269,0.21997,0.164425,59.123256,0.008744,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,ADJ_0209_TO_0210,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,269,-0.448232,-0.296072,-125.131963,0.001241,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,ADJ_0210_TO_0211,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,273,0,0,0,0.008897,neutral,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,ADJ_0210_TO_0211,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,273,-0.146017,-0.218532,-14.820293,0.001223,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,ADJ_0211_TO_0212,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,288,0,0,0,0.008872,neutral,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,ADJ_0211_TO_0212,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,288,-0.764685,-0.637165,-332.902571,0.001219,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,ADJ_0212_TO_0213,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0213,290,0,0,0,0.008972,neutral,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,ADJ_0212_TO_0213,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0213,290,-0.451059,-0.532828,-56.841068,0.001242,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,31,0,0,0,0.009824,neutral,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,31,-0.306502,-0.385914,-14.48682,0.001242,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
