"source_path","exists","matched_window_or_scene","source_role","can_construct_non_gt_sar_response","posthoc_gt_validation_only","contribution_cn","forbidden_use_cn","reason_cn","notes"
"docs/OTY2_WGV3_INTERACTIVE_OPTICAL_SAR_MECHANISM_INFERENCE_DESIGN.md","yes","GM_RM011_WGV14T001;GM_RM011_WGV14T004;M005;M016","boundary_guardrail_source","no","no","定义WGV3交互阶段、允许的SAR回复词汇和GT后验验证边界。","不能当作具体SAR图像内容或直接构造T004响应。","设计文档只给权限和词汇，不提供SAR opened-stage evidence unit。","WGV3.0允许T001或T004但要求先说明选择理由。"
"reports/oty2/oty2_wgv3_1_gm011_t004_controlled_interactive_loop_prototype_20260709.md","yes","GM_RM011_WGV14T004","missing_factor_source","no","no","记录T004为何停在missing_factor_exposed和insufficient_evidence。","不能把WGV3.1总结反写成SAR响应闭合。","报告明确说明没有traceable non-GT opened-stage SAR response unit。","T004是response-gap case。"
"reports/oty2/samples/oty2_wgv3_1_gm011_t004_interactive_message_trace_20260709.csv","yes","GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","missing_factor_source","no","no","逐步记录optical message、geometry/time field、SAR insufficient evidence和guardrail反馈。","不能把allowed vocabulary当作实际SAR morphology observation。","trace row标记no_opened_t004_sar_stage_unit和non_gt_contrast_missing。","WGV3.2继承其缺口诊断。"
"reports/oty2/samples/oty2_wgv3_1_gm011_t004_mechanism_state_updates_20260709.csv","yes","GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","missing_factor_source","no","no","记录T004状态转移和M005/M016 boundary preserved状态。","不能从状态表生成annotation、identity或SAR-ready结果。","状态表只证明机制保守停机，不提供SAR图像证据。","最终状态为weak/plausible plus missing/insufficient。"
"reports/oty2/samples/oty2_wgv3_1_gt_posthoc_validation_boundary_20260709.csv","yes","GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","posthoc_gt_validation_only","no","yes","定义机制提出后的GT正例拟合、负例对照和泄漏控制问题。","不能构造optical message、geometry field、SAR response、threshold、candidate、score或rank。","GT只在机制提出后验证或证伪。","outside-GT只在GT后验验证语境中出现。"
"reports/oty2/samples/oty2_wgv2_1_factor_graph_node_instances_20260709.csv","yes","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","optical_message_source","no","no","提供T001/T004 optical thread、SAR posthoc node、geometry node、boundary node和permission node。","不能把sar_gt_local_reference_node当runtime目标。","节点表包含权限分层但没有opened SAR-stage evidence unit。","T001有更清楚near-field/truncation节点。"
"reports/oty2/samples/oty2_wgv2_1_factor_graph_factor_instances_20260709.csv","yes","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","boundary_guardrail_source","no","no","提供state、continuity、morphology、geometry、competition和permission因子。","不能把posthoc morphology factor当作runtime SAR response。","factor instance来自图实例化，不是SAR图像读取阶段。","T004 graph context较强但morphology仍是posthoc-bound。"
"reports/oty2/samples/oty2_wgv2_1_mechanism_relation_decisions_20260709.csv","yes","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","boundary_guardrail_source","no","no","记录T004 supports_vehicle_existence和insufficient_evidence以及M005/M016 boundary/block关系。","不能把relation outcome升级成identity truth或bridge permission。","关系表给出保守结论，不提供SAR opened-stage观测。","M005/M016只能保护边界。"
"reports/oty2/samples/oty2_wgv2_2_missing_factor_diagnosis_20260709.csv","yes","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","missing_factor_source","no","no","列出missing_gm011_azimuth_source、missing_precise_temporal_alignment、missing_sar_temporal_drift_chain等缺口。","不能用缺失因子表绕过SAR证据。","该表说明为什么T004/T001都不能闭合SAR响应。","WGV3.3应先修复time/azimuth source。"
"reports/oty2/samples/oty2_wgv2_2_constraint_propagation_audit_20260709.csv","yes","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","missing_factor_source","no","no","记录T001 strongest posthoc-only、T004 mapping_unresolved_blocks_consumption、M005/M016 boundary preserved。","不能把propagated state当作选框或标注许可。","constraint propagation只传播许可和阻断，不读取新SAR内容。","T004比T001更适合暴露response gap。"
"reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","yes","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","optical_message_source","no","no","提供T001 near-field truncation和T004 multi-vehicle/subject-transition/edge-contact光学行为。","不能从光学行为声明SAR identity或SAR morphology。","这是optical-side message来源，不是SAR-side response来源。","T001光学正例构造更干净。"
"reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","yes","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","posthoc_gt_validation_only","no","yes","提供GT-local ridge、corner hotspot、shell、weak boundary等SAR形态参考。","不能定义SAR review field、factor value、threshold、candidate或runtime prior。","该文件明确是SAR GT-local reference anchor only。","T004相关WGV18W003有形态词汇但不是opened-stage response。"
"reports/oty2/samples/oty2_wgv1_8_gm011_optical_sar_physical_mechanism_links_20260709.csv","yes","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM011_M005;GM_RM011_M016","posthoc_gt_validation_only","no","yes","连接光学行为和SAR GT-local机制解释，给出允许的后验机制用途。","不能复制到runtime optical prior或object-stream identity。","links文件要求independent SAR-internal evidence before consumption。","用于说明T001/T004差异但不构造响应。"
"reports/oty2/samples/oty2_wgv2_3_factor_candidate_evolution_ledger_20260709.csv","yes","GM_RM011;GM_RM017","boundary_guardrail_source","no","no","定义SAR side-ridge、endpoint hotspot、weak opposite-side、shell closure、temporal drift等候选因子生命周期。","不能把候选因子词汇当作当前窗口的SAR observation。","ledger只说明opened SAR stage后可以观察什么，不提供当前T004/T001证据。","适合作为response unit requirements来源。"
"reports/oty2/samples/oty2_wgv2_3_gt_validation_boundary_rules_20260709.csv","yes","GM_RM011;GM_RM017","posthoc_gt_validation_only","no","yes","规定GT后验验证、正例拟合、负例对照和泄漏控制。","不能用GT定义runtime morphology label、threshold、azimuth/range factor或candidate。","GT boundary rules只能约束验证层。","用于WGV3.2泄漏控制。"
"reports/oty2/samples/oty2_wgv2_3_forbidden_shortcut_registry_20260709.csv","yes","GM_RM011;GM_RM017","boundary_guardrail_source","no","no","列出bright point equals vehicle、ridge alone equals vehicle、boundary relaxed等禁用捷径。","不能把单一ridge、hotspot或posthoc overlap升级为车辆。","该表是anti-pattern registry，不是正向SAR响应来源。","支持forbidden artifact scan。"
"docs/OTY2_WGV2_FACTOR_GRAPH_PHASE_CLOSEOUT_AND_REPOSITORY_INHERITANCE_20260709.md","yes","GM_RM011;GM_RM017","boundary_guardrail_source","no","no","给出repository inheritance规则、GT后验边界、missing-factor优先级和M005/M016边界要求。","不能把旧仓库内容当作flat approved facts。","closeout文档要求每个source按权限继承。","WGV3.2遵循其继承规则。"
"docs/OTY2_CROSS_MODAL_FACTOR_IDEA_BANK.md","yes","GM_RM011;GM_RM017","boundary_guardrail_source","no","no","列出runtime construction vs GT validation、SAR morphology factor和negative contrast要求。","不能用GT-local morphology labels定义runtime factor。","idea bank是候选因子和规则，不是具体SAR response evidence。","提供WGV3.2 requirements语汇。"
"docs/OTY2_CROSS_MODAL_MECHANISM_FACTOR_GRAPH_DESIGN.md","yes","GM_RM011;GM_RM017","boundary_guardrail_source","no","no","定义cross-modal graph层次、SAR morphology node、permission node和机制关系边界。","不能把graph node当作annotation或identity。","设计说明要求SAR GT-local morphology不能产生runtime prior logic。","支持T004/T001 graph-context解释。"
"docs/oty2_physical_structure_first_not_weighted_fusion_archive.md","yes","GM_RM011;GM_RM017","archived_correction_or_failed_path_warning","no","no","保留atom/part/shell、vehicle-scale shell和temporal non-jump规则。","不能用shell grammar自动生成annotation或selector label。","archive是物理结构guardrail，不是当前SAR source。","防止weighted fusion替代机制解释。"
"docs/oty2_gt_local_energy_field_atlas_correction_archive.md","yes","GM_RM011;GM_RM017","archived_correction_or_failed_path_warning","no","yes","说明旧atlas失败并限定GT-local形态词汇的后验用途。","不能引用失败atlas作为vehicle shell grammar证据。","该archive强调GT crop是posthoc坐标框，不是runtime source。","用于防止atlas误用。"
"docs/oty2_gt_support_failure_concept_correction_archive.md","yes","GM_RM011;GM_RM017","archived_correction_or_failed_path_warning","no","yes","说明support miss、GT quality、atom/part/shell和GM_RM011 blocked pool语义。","不能把support-internal小component解释为car或vehicle shell。","archive是失败概念修正，不是SAR opened-stage观测。","支持pool boundary和GT leakage guard。"
