scene,canonical_vehicle_id,p1c_global_vehicle_ids,frame_first_visible,frame_last_visible,visible_frame_ranges,occlusion_or_missed_ranges,entry_frame,entry_location,entry_state,exit_frame,exit_location,exit_state,vehicle_color,vehicle_type_or_shape,dominant_motion_direction,scale_trend,distinctive_visual_features,source_tracker_ids,detector_sources,identity_evidence_summary,lifecycle_completeness,thread_purity,freeze_status,risk_flags,notes
GM_RM011,GM_RM011:PV001,GM_RM011:GV001,0,35,0-16;18-35,17,0,initial_frame_boundary,birth_or_entry,35,interior_or_prior_occlusion,exit_or_death,white,compact crossover/SUV,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,dark window band and patterned interior sunshades,"[""YOLO11l:botsort:bs_0002"", ""YOLO11l:botsort:bs_0007"", ""YOLO11l:botsort:bs_0015"", ""YOLO11l:bytetrack:bt_0002"", ""YOLO11l:bytetrack:bt_0007"", ""YOLO11l:bytetrack:bt_0015"", ""YOLO26l:botsort:bs_0001"", ""YOLO26l:botsort:bs_0004"", ""YOLO26l:bytetrack:bt_0001"", ""YOLO26l:bytetrack:bt_0004""]","[""YOLO26l""]",Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV002,GM_RM011:GV002,0,4,0-4,,0,initial_frame_boundary,birth_or_entry,4,interior_or_prior_occlusion,exit_or_death,white/silver,partial parked passenger vehicle,stationary_world; apparent_minimal_horizontal_drift_from_camera_sweep,decreasing,rear-quarter fragment behind PV001,"[""YOLO11l:botsort:bs_0001"", ""YOLO11l:bytetrack:bt_0001"", ""YOLO26l:botsort:bs_0002"", ""YOLO26l:bytetrack:bt_0002""]","[""YOLO26l""]","Simultaneously visible with GV001 at frames 0-4, proving a separate physical vehicle.",complete_within_camera_sweep,pure_single_physical_vehicle,frozen,"[""short_boundary_fragment""]",Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV003,GM_RM011:GV003,20,59,20-59,,20,interior_or_prior_occlusion,birth_or_entry,59,interior_or_prior_occlusion,exit_or_death,white,large MPV,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,MAXUS grille and broad headlamp cluster,"[""YOLO11l:botsort:bs_0016"", ""YOLO11l:bytetrack:bt_0016"", ""YOLO26l:botsort:bs_0009"", ""YOLO26l:botsort:bs_0011"", ""YOLO26l:bytetrack:bt_0009"", ""YOLO26l:bytetrack:bt_0011"", ""YOLO26l:bytetrack:bt_0013""]","[""YOLO11l""]",Continuous front-to-side sweep; simultaneous with GV001 and covered GV004 without subject switching.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV004,GM_RM011:GV004,39,87,39-87,56-87,39,interior_or_prior_occlusion,birth_or_entry,87,interior_or_prior_occlusion,exit_or_death,silver cover,fully covered passenger vehicle,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,silver fitted cover with tied lower edge,"[""YOLO11l:botsort:bs_0018"", ""YOLO11l:bytetrack:bt_0019"", ""YOLO26l:botsort:bs_0013"", ""YOLO26l:botsort:bs_0015"", ""YOLO26l:bytetrack:bt_0017"", ""YOLO26l:bytetrack:bt_0019"", ""YOLO26l:bytetrack:bt_0021""]","[""YOLO11l""]",A separate covered vehicle is tracked at 39-55 but remains visibly present through about frame 87 without a P1-C thread.,conflicted_not_freezable,mixed_and_duplicated,identity_conflict,"[""covered_vehicle"", ""incomplete_visible_lifecycle""]",Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV005,GM_RM011:GV005,88,130,88-130,,88,interior_or_prior_occlusion,birth_or_entry,130,interior_or_prior_occlusion,exit_or_death,white,Nissan sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,black V-motion grille and swept headlights,"[""YOLO11l:botsort:bs_0021"", ""YOLO11l:bytetrack:bt_0023"", ""YOLO26l:botsort:bs_0019"", ""YOLO26l:bytetrack:bt_0025""]","[""YOLO26l""]",Continuous camera sweep with stable Nissan appearance; overlaps covered GV006 and gray GV007.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV006,GM_RM011:GV006,110,140,110-140,,110,interior_or_prior_occlusion,birth_or_entry,140,interior_or_prior_occlusion,exit_or_death,tan/orange cover,fully covered passenger vehicle,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,warm-colored fitted cover,"[""YOLO11l:botsort:bs_0024"", ""YOLO11l:bytetrack:bt_0026"", ""YOLO11l:bytetrack:bt_0032"", ""YOLO26l:botsort:bs_0026"", ""YOLO26l:bytetrack:bt_0032""]","[""YOLO11l""]",Stationary covered vehicle between GV005 and GV007; simultaneous visibility proves distinct identity.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,"[""covered_vehicle""]",Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV007,GM_RM011:GV007,116,151,116-151,,116,interior_or_prior_occlusion,birth_or_entry,151,interior_or_prior_occlusion,exit_or_death,dark gray,sedan,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,narrow swept headlights and dark hood,"[""YOLO11l:botsort:bs_0022"", ""YOLO11l:bytetrack:bt_0024"", ""YOLO26l:botsort:bs_0025"", ""YOLO26l:bytetrack:bt_0031""]","[""YOLO26l""]",Continuous front view; spatially ordered between covered GV006 and white GV008.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV008,GM_RM011:GV008,135,166,135-161;163-166,162,135,interior_or_prior_occlusion,birth_or_entry,166,interior_or_prior_occlusion,exit_or_death,white,Honda sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,red Honda grille badge,"[""YOLO11l:botsort:bs_0029"", ""YOLO11l:bytetrack:bt_0031"", ""YOLO11l:bytetrack:bt_0032"", ""YOLO26l:botsort:bs_0030"", ""YOLO26l:bytetrack:bt_0039"", ""YOLO26l:bytetrack:bt_0049""]","[""YOLO26l""]",Continuous front view with one reviewed gap at frame 162; overlaps GV007 and covered GV009.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV009,GM_RM011:GV009;GM_RM011:GV010,155,196,155-196,167-187;192-196,155,interior_or_prior_occlusion,birth_or_entry,196,interior_or_prior_occlusion,exit_or_death,silver cover,fully covered passenger vehicle,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,continuous silver-covered car beside scooters and then under the overpass,"[""YOLO11l:botsort:bs_0031"", ""YOLO11l:bytetrack:bt_0034"", ""YOLO11l:bytetrack:bt_0041"", ""YOLO26l:botsort:bs_0039"", ""YOLO26l:bytetrack:bt_0052""]","[""YOLO11l""]",GV009 and GV010 are two fragments of the same continuously visible covered vehicle; frames 167-187 and 192-196 remain visible without thread support.,conflicted_not_freezable,mixed_and_duplicated,merge_required,"[""covered_vehicle"", ""duplicate_global_ids"", ""visible_unboxed_gap""]",Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV010,GM_RM011:GV011,211,245,211-239;242-245,240-241,211,interior_or_prior_occlusion,birth_or_entry,245,interior_or_prior_occlusion,exit_or_death,white,compact sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,red tail lamps and dark side windows,"[""YOLO11l:botsort:bs_0038"", ""YOLO11l:botsort:bs_0044"", ""YOLO11l:bytetrack:bt_0044"", ""YOLO11l:bytetrack:bt_0051"", ""YOLO26l:botsort:bs_0041"", ""YOLO26l:bytetrack:bt_0054""]","[""YOLO26l""]",Continuous rear-to-front camera sweep with reviewed two-frame detector gap; overlaps GV012 at frames 243-245.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
