scene,evidence_id,evidence_type,source_case_id,source_track_or_segment,optical_time_range,optical_frame_start,optical_frame_end,optical_evidence_level,repair_action_applied,visual_judgement,box_quality_status,appearance_status,competition_status,sar_migration_use,sar_use_strength,allowed_sar_action,forbidden_sar_action,risk_tags,needs_manual_review,negative_guard,reason
GM_RM017,oty2_sar_ev_001,weak_track_evidence,bs_0010,GM_RM017__botsort__normalized_active__bs_0010__seg_001,fit_frames_196_199,196,199,weak_migration_evidence,"fit-frame selection; appearance downweighting; edge_contact partial_visible model_weak_visual_confirmed",yes_weak,partial_edge_crop,model_weak_visual_confirmed,competitor_excluded,existence_hint,weak,use_as_weak_support_only,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","edge_contact;partial_visible;model_weak_visual_confirmed;weak_support_only",yes,,Right-edge white vehicle is visually coherent but only weak SAR migration support is safe.
GM_RM011,oty2_sar_ev_002,weak_track_evidence,bs_0044_seg_002_to_bs_0038_seg_002,GM_RM011__bs_0044__seg_002_to_GM_RM011__bs_0038__seg_002,frames_233_236,233,236,weak_migration_evidence,"state-tag upper side/window to front/hood; state-compatible comparison",plausible,part_box_change,appearance_auxiliary,competition_not_primary,candidate_priority_hint,weak,prioritize_sar_candidate_review,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","part_box_change;weak_migration_evidence;state_compatible_only",yes,,Same white vehicle is plausible but different vehicle parts cannot become strong identity evidence.
GM_RM011,oty2_sar_ev_003,weak_track_evidence,bs_0002_seg_001_to_bs_0007_seg_001,GM_RM011__bs_0002__seg_001_to_GM_RM011__bs_0007__seg_001,frames_4_8,4,8,weak_migration_evidence,"representative fit frames; vehicle_part_box_change tag; expanded-context review required before stronger use",plausible,vehicle_part_box_change,appearance_auxiliary,competition_not_primary,candidate_priority_hint,weak,prioritize_sar_candidate_review,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","vehicle_part_box_change;window_strip;weak_support_only",no,,Same white SUV is plausible but the crop changes from rear/body to upper-window strip.
GM_RM011,oty2_sar_ev_004,continuity_candidate,bs_0015_seg_001_to_seg_002,GM_RM011__botsort__normalized_active__bs_0015__seg_001_to_seg_002,frames_13_22,13,22,continuity_candidate,"diagnostic continuity edge; endpoint fit frames 13-16 and 18-22; partial_front_side tag",yes,partial_front_side_crop,appearance_auxiliary,competitor_absent_or_not_better,time_continuity_hint,medium,check_same_target_continuity,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","continuity_candidate;partial_front_side;no_identity_truth",no,,Short-gap white-vehicle front/windshield continuity can guide SAR review but is not a track merge.
GM_RM011,oty2_sar_ev_005,continuity_candidate,bs_0061_seg_002_to_seg_003,GM_RM011__botsort__normalized_active__bs_0061__seg_002_to_seg_003,frames_279_287,279,287,continuity_candidate,"diagnostic continuity edge; fit frames 279-281 and 283-287; competitor-exclusion note",yes,partial_front_crop,appearance_auxiliary,edge_neighbor_present_but_excluded,time_continuity_hint,medium,check_same_target_continuity,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","continuity_candidate;edge_neighbor_present;competitor_exclusion_required",no,,Central white vehicle remains the focus across the short gap while the left-edge neighbor is tagged as a risk.
GM_RM011,oty2_sar_ev_006,continuity_candidate,bs_0061_seg_001_to_seg_002,GM_RM011__botsort__normalized_active__bs_0061__seg_001_to_seg_002,frames_270_279,270,279,continuity_candidate,"part_state_transition edge; keep weak unless intermediate bridge is reviewed",plausible,part_state_transition,appearance_auxiliary,competition_not_resolved_as_strong,time_continuity_hint,weak,check_same_target_continuity,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","longer_gap;part_state_transition;weak_continuity_candidate",yes,,Longer gap and rear/side to front/windshield transition make this a weak continuity hint only.
GM_RM011,oty2_sar_ev_007,review_hint,bs_0029_seg_001_to_seg_002,GM_RM011__bs_0029__seg_001_to_seg_002,frames_161_164,161,164,review_hint_only,"use only frames with enough visible vehicle area; edge_truncated tag; exclude thin tail from representative evidence",plausible_weak,severe_edge_truncation,too_weak_for_constraint,competition_not_primary,manual_review_hint,review_only,manual_review_only,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","edge_truncated;thin_tail_crop;review_only",yes,,Right-edge white vehicle is plausible but later crop is too narrow for automatic SAR use.
GM_RM017,oty2_sar_ev_008,split_required,bs_0008,GM_RM017__botsort__normalized_active__bs_0008__seg_001,frames_145_185,145,185,needs_split_before_use,"do not repair by bad-frame removal; split visible-state subsegments before use",uncertain,same_track_state_shift,appearance_unsafe,competition_unresolved,do_not_auto_use,blocked,manual_review_only,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","needs_split;same_track_state_shift;competition_unresolved",yes,same_track_state_shift_competition_unresolved,Whole-segment use can attach the wrong dark vehicle; split-first handling is required.
GM_RM017,oty2_sar_ev_009,split_required,bs_0012,GM_RM017__botsort__normalized_active__bs_0012__seg_001,frames_162_214,162,214,needs_split_before_use,"split before embedding repair; manual identity audit first",no_direct_upgrade,edge_side_state_shift,appearance_unsafe,identity_ambiguity,do_not_auto_use,blocked,manual_review_only,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","needs_split;edge_side_state_shift;identity_ambiguity",yes,needs_split_identity_ambiguity,Mixed edge partial views and dark-vehicle tail crops are unsafe for direct migration.
GM_RM011,oty2_sar_ev_010,negative_guard,bs_0061_seg_001_to_bs_0064_seg_001,GM_RM011__botsort__normalized_active__bs_0061__seg_001_to_bs_0064__seg_001,frames_266_287,266,287,not_usable,"preserve as negative comparator; require same target region and competitor rejection before upgrade",no,wrong_target_region,appearance_false_bridge,competition_unresolved,do_not_merge_guard,negative_guard,block_auto_merge,"do_not_generate_final_box;do_not_assign_identity_truth;do_not_auto_merge_tracks;do_not_promote_to_clean;do_not_use_as_strong_constraint","negative_guard;appearance_false_bridge;competition_unresolved",no,competition_unresolved,High appearance points to a left-edge vehicle while the central white car remains separate.
