case_id,gt_id,scene,sar_frame,pool_type,gt_quality_label,gt_scale_valid,dominant_shell_pattern,shell_parts_used,n_atoms,n_vehicle_parts,n_shell_parts,shell_long_axis_span,shell_short_axis_span,shell_to_gt_width_ratio,shell_to_gt_height_ratio,shell_to_gt_area_ratio,gt_scale_compatible,baby_car_risk,shell_physical_interpretation,vehicle_shell_supported,manual_review_needed,posthoc_only,notes
GTREF_GM_RM011_s0_336,336,GM_RM011,0,gm011_waiting_object_stream,good,yes,strip_plus_endpoint,SHELL_0001,6,2,1,66.004,21.118,0.485,0.3045,0.1458,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s0_2,2,GM_RM011,0,gm011_waiting_object_stream,review_multi_structure,yes,strip_plus_endpoint,side_ridge_or_strip,7,1,0,81.337,26.429,0.5605,0.3738,0.0956,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s1_3,3,GM_RM011,1,gm011_waiting_object_stream,good,yes,bilateral_edges,SHELL_0003,6,2,1,62.185,21.875,0.432,0.29,0.1427,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s1_4,4,GM_RM011,1,gm011_waiting_object_stream,review_multi_structure,yes,bilateral_edges,side_ridge_or_strip;endpoint_or_edge_part,6,2,0,97.375,27.041,1.206,0.1805,0.1164,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s2_336,336,GM_RM011,2,gm011_waiting_object_stream,review_multi_structure,yes,bilateral_edges,side_ridge_or_strip;side_ridge_or_strip,6,2,0,74.006,21.306,0.5141,0.2824,0.1279,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s2_5,5,GM_RM011,2,gm011_waiting_object_stream,review_multi_structure,yes,bilateral_edges,side_ridge_or_strip;body_block_or_part,6,2,0,95.353,20.336,1.211,0.1376,0.1087,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s3_6,6,GM_RM011,3,gm011_waiting_object_stream,good,yes,bilateral_edges,side_ridge_or_strip;side_ridge_or_strip,6,2,0,63.011,20.484,0.4704,0.313,0.1216,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s3_7,7,GM_RM011,3,gm011_waiting_object_stream,review_multi_structure,yes,bilateral_edges,side_ridge_or_strip;body_block_or_part,6,2,0,66.751,23.573,0.8931,0.1639,0.089,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s4_8,8,GM_RM011,4,gm011_waiting_object_stream,good,yes,enclosed_shell,SHELL_0009,5,3,1,55.004,22.329,0.4107,0.3412,0.1423,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s4_9,9,GM_RM011,4,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,SHELL_0010,5,3,1,66.609,21.899,0.8459,0.1481,0.121,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
