gt_id,scene,sar_frame,gt_box_or_polygon_available,sar_valid_mask_available,valid_mask_source,image_available,full_inside_sar_valid_mask,mask_overlap_ratio,near_mask_boundary,gt_area_px,pool_type,valid_for_sar_morphology_reference,valid_for_optical_sar_correspondence,recommended_use,not_allowed_use,reason,sar_pseudocolor_path
336,GM_RM011,0,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,9439.832,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000000.png
2,GM_RM011,0,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10259.188,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000000.png
3,GM_RM011,1,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10858.984,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000001.png
4,GM_RM011,1,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,12097.032,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000001.png
336,GM_RM011,2,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10858.984,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000002.png
5,GM_RM011,2,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11639.898,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000002.png
6,GM_RM011,3,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8765.164,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000003.png
7,GM_RM011,3,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10749.63,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000003.png
8,GM_RM011,4,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8765.164,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000004.png
9,GM_RM011,4,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11639.898,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000004.png
10,GM_RM011,5,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8370.4,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000005.png
11,GM_RM011,5,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11639.898,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000005.png
12,GM_RM011,6,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8497.28,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000006.png
13,GM_RM011,6,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11639.898,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000006.png
14,GM_RM011,7,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8896.044,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000007.png
