fragment_id,scene_id,frame_start,frame_end,accepted_status,identity_safety_status,source_candidate_node_ids,span_frame_count,selected_frame_count,selected_manifest_row_count,unique_detection_count,pack_frames_yolo_count,class_names,x_bin_sequence,x_bin_set,max_center_jump_px,duplicate_source_detection_count,risk_flags,v1_2_mechanism_recommendation,sar_ready,note
GM_RM011_WG11F001,GM_RM011,0,4,accepted,identity_safe_local_observation,GM_RM011_Y26N001,5,5,5,5,,car,left left left left mid,left;mid,17.4,0,left_mid_right_bin_switch,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F002,GM_RM011,8,10,weak,identity_safe_local_candidate,GM_RM011_Y26N002,3,3,3,3,,car,mid mid mid,mid,184.2,0,large_center_jump,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F003,GM_RM011,13,16,accepted,identity_safe_local_observation,GM_RM011_Y26N003,4,4,4,4,,car,mid mid mid mid,mid,34.8,0,none,no_multivehicle_guardrail_triggered,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F004,GM_RM011,18,25,accepted,identity_safe_local_observation,GM_RM011_Y26N004,8,8,8,8,,car,mid mid mid right right right right right,mid;right,24.8,0,left_mid_right_bin_switch,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F005,GM_RM011,26,30,blocked,identity_switch_zone,GM_RM011_Y26N004,5,5,5,5,5,car,right left right right left,left;right,526.4,0,large_center_jump;left_mid_right_bin_switch;not_a_vehicle_identity_fragment,reclassify_as_switch_zone;do_not_render_as_vehicle_fragment,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F006,GM_RM011,31,35,review_required,identity_safe_local_candidate,GM_RM011_Y26N004,5,5,5,5,5,car,left left left left left,left,17.5,0,none,no_multivehicle_guardrail_triggered,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F007,GM_RM011,135,137,review_required,identity_safe_local_candidate,GM_RM011_Y26N005,3,3,3,3,3,car,left left left,left,9.7,0,none,no_multivehicle_guardrail_triggered,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F008,GM_RM011,138,150,blocked,occlusion_switch_risk,GM_RM011_Y26N005,13,13,13,13,13,car,right right right right right right right right right right right right right,right,30.0,0,not_a_vehicle_identity_fragment,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F009,GM_RM011,151,161,review_required,identity_safe_local_candidate,GM_RM011_Y26N005,11,11,11,11,11,car,right right right right right right right right right right right,right,21.5,0,none,no_multivehicle_guardrail_triggered,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F010,GM_RM011,164,166,review_required,thin_crop_review,GM_RM011_Y26N006,3,3,3,3,3,car,right right right,right,11.2,0,none,no_multivehicle_guardrail_triggered,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
