reference_version,case_id,scene,canonical_vehicle_id,sar_frame,coordinate_system,label,geometry_type,points,confidence,review_status,source_role,notes
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,337,sar_display_px,CONFIRMED_VERTICAL_BACKGROUND,polyline,"1107.365,987.770;1111.365,1113.770",0.95,direct_manual_review_frozen,hidden_evaluation_only,"world-stable vertical background; hard propagation veto"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,337,sar_display_px,ARC_OR_CLUTTER_AMBIGUOUS_ZONE,polygon,"1204.323,1007.887;1292.323,1007.887;1296.323,1105.887;1212.323,1089.887",0.30,direct_manual_review_frozen,hidden_evaluation_only,"fan arc and right clutter remain unresolved; not a negative mask"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,338,sar_display_px,CONFIRMED_VERTICAL_BACKGROUND,polyline,"1113.493,987.716;1117.493,1113.716",0.95,direct_manual_review_frozen,hidden_evaluation_only,"world-stable vertical background; hard propagation veto"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,338,sar_display_px,ARC_OR_CLUTTER_AMBIGUOUS_ZONE,polygon,"1212.320,1011.494;1300.320,1011.494;1304.320,1109.494;1220.320,1093.494",0.30,direct_manual_review_frozen,hidden_evaluation_only,"fan arc and right clutter remain unresolved; not a negative mask"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,339,sar_display_px,CONFIRMED_VERTICAL_BACKGROUND,polyline,"1119.398,987.798;1123.398,1113.798",0.95,direct_manual_review_frozen,hidden_evaluation_only,"R2-confirmed vertical background; hard propagation veto"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,339,sar_display_px,ARC_OR_CLUTTER_AMBIGUOUS_ZONE,polygon,"1220.000,1008.000;1308.000,1008.000;1312.000,1106.000;1228.000,1090.000",0.30,direct_manual_review_frozen,hidden_evaluation_only,"fan arc and right clutter remain unresolved; not a negative mask"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,340,sar_display_px,CONFIRMED_VERTICAL_BACKGROUND,polyline,"1125.429,987.431;1129.429,1113.431",0.95,direct_manual_review_frozen,hidden_evaluation_only,"world-stable vertical background; hard propagation veto"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,340,sar_display_px,ARC_OR_CLUTTER_AMBIGUOUS_ZONE,polygon,"1223.686,1012.975;1311.686,1012.975;1315.686,1110.975;1231.686,1094.975",0.30,direct_manual_review_frozen,hidden_evaluation_only,"fan arc and right clutter remain unresolved; not a negative mask"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,341,sar_display_px,CONFIRMED_VERTICAL_BACKGROUND,polyline,"1131.006,987.111;1135.006,1113.111",0.95,direct_manual_review_frozen,hidden_evaluation_only,"world-stable vertical background; hard propagation veto"
OTY2-RSA1-A0-hidden-reference-v1,PV002_337_341,GM_RM017,GM_RM017:PV002,341,sar_display_px,ARC_OR_CLUTTER_AMBIGUOUS_ZONE,polygon,"1237.973,1011.105;1325.973,1011.105;1329.973,1109.105;1245.973,1093.105",0.30,direct_manual_review_frozen,hidden_evaluation_only,"fan arc and right clutter remain unresolved; not a negative mask"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,380,sar_display_px,CONFIRMED_VERTICAL_BACKGROUND,polyline,"1142.673,934.803;1146.673,1046.803",0.95,direct_manual_review_frozen,hidden_evaluation_only,"world-stable vertical background; hard propagation veto"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,380,sar_display_px,ARC_OR_CLUTTER_AMBIGUOUS_ZONE,polygon,"1301.754,953.227;1419.754,955.227;1423.754,1057.227;1311.754,1045.227",0.30,direct_manual_review_frozen,hidden_evaluation_only,"fan arc and right clutter remain unresolved; not a negative mask"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,381,sar_display_px,CONFIRMED_VERTICAL_BACKGROUND,polyline,"1148.787,934.427;1152.787,1046.427",0.95,direct_manual_review_frozen,hidden_evaluation_only,"world-stable vertical background; hard propagation veto"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,381,sar_display_px,ARC_OR_CLUTTER_AMBIGUOUS_ZONE,polygon,"1312.568,953.405;1430.568,955.405;1434.568,1057.405;1322.568,1045.405",0.30,direct_manual_review_frozen,hidden_evaluation_only,"fan arc and right clutter remain unresolved; not a negative mask"
OTY2-RSA1-A0-hidden-reference-v1,PV003_380_384,GM_RM017,GM_RM017:PV003,382,sar_display_px,CONFIRMED_VERTICAL_BACKGROUND,polyline,"1154.539,933.981;1158.539,1045.981",0.95,direct_manual_review_frozen,hidden_evaluation_only,"world-stable vertical background; hard propagation veto"
