item_id,scene_id,related_fragment_or_edge,problem_type,reason,minimum_next_step,sar_ready,note
GM_RM011_WGBRI001,GM_RM011,GM_RM011_WGF005,over_merged_node,old_Y26N004 contains 26-30 large center-jump identity switch zone,review dense frames 18-35 and confirm whether 31-35 is independent,no,diagnostic only;no final boxes
GM_RM011_WGBRI002,GM_RM011,GM_RM011_WGTCE003;GM_RM011_WGTCE004,occlusion_driven_target_switch,GM_RM011 135-166 likely switches box subject between white and black vehicles,review frames 135-166 before any same-vehicle claim,no,temporal context only;not SAR-ready
GM_RM011_WGBRI003,GM_RM011,GM_RM011_WGF010,thin_crop_review,frames 164-166 are thin right-edge crop with no stable full-body proxy,keep review_required and do not upgrade detector-only,no,diagnostic crop only
GM_RM011_WGBRI004,GM_RM011,GM_RM011_WGF012;GM_RM011_WGF013;GM_RM011_WGF014,visible_unboxed_vehicle_gap_reframed,GM_RM011 237-270 is now covered by YOLO26l but old Y26N009 was over-merged,review split fragments A 237-239 B 242-264 C 265-270,no,no final boxes;no override applied
GM_RM011_WGBRI005,GM_RM011,GM_RM011_WGTCE006,front_to_front_encounter,237 right-side white vehicle and 245 left-side white vehicle may be different vehicles,keep temporal context unless human confirms same-vehicle continuity,no,identity-safe default is context edge
GM_RM011_WGBRI006,GM_RM011,GM_RM011_WGTCE007,rear_to_front_adjacency,262 and 270 may be different vehicles with rear-to-front handoff,keep temporal context and review 242-270 dense frames,no,blocks SAR consumption
GM_RM011_WGBRI007,GM_RM011,GM_RM011_WGF017;GM_RM011_WGTCE010,competitor_vehicle_context,left-edge competitor context remains forbidden guard for GM_RM011_E007,review forbidden guard but do not merge,no,not a same-vehicle edge
GM_RM017_WGBRI001,GM_RM017,GM_RM017_WGF001;GM_RM017_WGF002;GM_RM017_WGF004;GM_RM017_WGF005,multi_target_review_window,GM_RM017 118-214 mixes truck or context vehicle white vehicle and dark vehicle targets,review targets separately;do not treat as one identity chain,no,full window not identity-safe
GM_RM017_WGBRI002,GM_RM017,GM_RM017_N005;GM_RM017_E002,non_vehicle_exclusion_review,YOLO26l candidate around 121-129 does not restore non-vehicle exclusion to vehicle fragment,keep exclusion review separate,no,do not promote to vehicle node automatically
GM_RM017_WGBRI003,GM_RM017,GM_RM017_E001;GM_RM017_WGTCE005,forbidden_guard_review,leading and trailing dark vehicle relation remains detector-only unresolved,review dense frames but keep forbidden guard until human decision,no,no SAR-ready evidence
GM_RM017_WGBRI004,GM_RM017,GM_RM017_WGF003,node_identity_switch,159-163 transition zone has large center jumps and target-family switch risk,block as identity fragment and use only as context evidence,no,not final annotation
