blind_review_id,blind_frame_id,blind_object_id,response_box_id,assisted_vehicle_core_support,assisted_optional_membership_support,assisted_background_support,assisted_unresolved,assisted_decisive_reason,raw_vs_assisted_change,assisted_visual_confidence,assisted_png
R2AST_0001,R2_BLIND_FRAME_001,R2_BLIND_OBJECT_001,R2B0001,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0002,R2_BLIND_FRAME_001,R2_BLIND_OBJECT_002,R2B0002,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0003,R2_BLIND_FRAME_002,R2_BLIND_OBJECT_003,R2B0003,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0004,R2_BLIND_FRAME_002,R2_BLIND_OBJECT_004,R2B0004,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0005,R2_BLIND_FRAME_003,R2_BLIND_OBJECT_005,R2B0005,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0006,R2_BLIND_FRAME_003,R2_BLIND_OBJECT_006,R2B0006,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0007,R2_BLIND_FRAME_004,R2_BLIND_OBJECT_007,R2B0007,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0008,R2_BLIND_FRAME_004,R2_BLIND_OBJECT_008,R2B0008,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0009,R2_BLIND_FRAME_005,R2_BLIND_OBJECT_009,R2B0009,false,true,false,false,assisted overlay shows only side or endpoint support without a stable body core; part-only support,unchanged,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0010,R2_BLIND_FRAME_006,R2_BLIND_OBJECT_010,R2B0010,false,false,true,false,assisted overlay remains dominated by arc or linear background without vehicle core,unchanged,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0011,R2_BLIND_FRAME_007,R2_BLIND_OBJECT_011,R2B0011,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
