"requirement_id","requirement_cn","why_needed_cn","acceptable_source_cn","forbidden_source_cn","current_status_for_t004","current_status_for_t001","next_action_cn","notes"
"REQ001","SAR图像内容或derived non-GT SAR内容source_path","没有具体SAR内容就只能返回insufficient_evidence。","已提交的SAR image/content读取记录、非GT SAR crop审阅记录或derived non-GT SAR observation table。","GT-local morphology row、GT crop、posthoc overlap、selector output。","missing","missing","先定位或建立opened SAR evidence source路径。","这是T004/T001共同硬缺口。"
"REQ002","明确time/frame scope","SAR response必须知道回答哪个时间邻域。","光学time tube加runtime-safe SAR frame mapping或明确neighbor-frame source。","用GT frame中心或posthoc最佳重叠反推时间。","partial optical frames 151-166 but SAR mapping missing","partial early optical frames but SAR mapping missing","先做GM_RM011 runtime-safe time mapping review field。","scope不足时不能构造drift。"
"REQ003","runtime-safe review field construction source","SAR复核域必须来自非GT几何/时间依据。","GM_RM011 azimuth/fan-polar source、time alignment source、vehicle-size feasible field。","GT center、GT overlap、GT-local crop坐标。","missing_gm011_azimuth_source","missing_gm011_azimuth_source","WGV3.3c先恢复time/azimuth review-field source。","feasible field不是selected box。"
"REQ004","SAR morphology vocabulary permission","SAR回复词汇必须可由runtime-safe或opened-stage SAR读取表达。","vehicle-scale ridge、endpoint hotspot、weak opposite-side return、shell contour、temporal non-jump、ambiguity、insufficient evidence。","GT-local morphology labels直接定义response或threshold。","vocabulary allowed but observation missing","vocabulary allowed but observation missing","保留词汇许可；等待具体SAR observation。","词汇许可不等于证据。"
"REQ005","temporal-neighbor availability","non-jump或drift不能由单帧或光学稳定替代。","相邻SAR帧的ridge/hotspot/shell非跳变或渐变记录。","用光学连续性或GT局部连续性反推SAR drift。","missing_sar_temporal_drift_chain","missing_sar_temporal_drift_chain","打开SAR temporal neighbor audit source。","drift只能是SAR内部证据。"
"REQ006","non-GT negative contrast","必须排除背景、路沿、静态反射、guardrail-like ridge、texture clutter或competitor解释。","不依赖GT选择的nearby background-like region、road edge、static reflector、guardrail-like ridge、texture clutter、competitor region。","GT-positive fit alone、GT overlap alone、posthoc目标框内亮点。","missing_non_target_negative_contrast","missing_non_target_negative_contrast","从opened SAR review field同步规划非GT对照。","无负例时保持insufficient。"
"REQ007","permission status record","每个response source必须证明没有GT泄漏。","source_role、evidence_permission、allowed_use、forbidden_use字段齐全的记录。","未标权限的人工摘录、GT-local结果回写、final annotation。","partial permission records exist but source missing","partial permission records exist but source missing","创建response source时同步记录权限。","权限不是事后补丁。"
"REQ008","GT validation downstream separation","GT只能在机制提出后验证或证伪。","独立机制状态后进入positive fit、negative contrast、leakage-control table。","用GT定义review field、factor value、candidate、score、rank或runtime prior。","posthoc boundary exists","posthoc boundary exists","沿用WGV3.1 GT validation boundary。","验证结果不得回写SAR response。"
"REQ009","boundary and competitor guardrail","SAR局部结构不能跨M005/M016或T004竞争风险声明同一目标。","M005/M016 boundary source、competitor risk source、independent boundary SAR evidence。","一个SAR cue放松边界或合并同色车辆。","active competitor and subject-transition risk","nearby M005 boundary risk","保留boundary_preserved和identity_risk_blocked。","guardrail source不是bridge source。"
"REQ010","non-selection guarantee","SAR response不是candidate selection、box choice、score或ranking。","response field只记录support、contradiction、ambiguity、insufficient evidence。","selected component、final box、SAR-ready annotation、runtime prediction。","satisfied by WGV3.1 boundary","satisfied by current boundary","后续所有WGV3.3表继续显式记录forbidden use。","避免response变成selector。"
"REQ011","source path existence check","每个source audit row必须对应仓库内存在的具体文件。","tracked docs、reports、CSV source paths。","口头记忆、未提交图像、outputs目录、media目录。","all current audit source paths exist","all current audit source paths exist","validation中检查source_path存在。","WGV3.2只用committed source stack。"
"REQ012","leakage audit statement","最终机制状态必须说明哪些内容来自runtime/opened SAR、哪些只来自GT后验。","leakage_control_statement和posthoc_only标记。","把posthoc SAR GT evidence写成runtime construction。","needed before any stronger route","needed before any stronger route","WGV3.3若开SAR response必须同时写leakage audit。","没有leakage audit不得升级。"
