control_id,window_id,case_id,control_type,wrong_vehicle_or_region,evidence_used,resulting_interpretation,contradiction_found,would_false_positive_occur,what_this_control_tests,evidence_path
NC-W1-01,W1,FWD-W1-016-R01,wrong_position,PV001 GT shifted +260 px x and -250 px y,SAR16 raw; correct GT; shifted same-size box,Shifted box still captures response-like texture above true GT.,yes,yes under loose brightness/shape explanation,Whether the interpretation rejects a plausible but incorrect location,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W1_CLOSURE_COUNTERFACTUAL.png
NC-W1-02,W1,FWD-W1-016-R01,wrong_orientation,PV001 GT rotated 90 deg at correct center,SAR16 correct GT and rotated same-center box,Rotated box still intersects clutter/arc; orientation alone is weak.,yes,yes if any internal brightness is accepted,Whether claimed vehicle-coordinate compatibility is direction-discriminative,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W1_CLOSURE_COUNTERFACTUAL.png
NC-W1-03,W1,FWD-W1-070-R02,wrong_time_exit,SAR80 after PV001 optical exit,SAR70/73/80 raw lifecycle comparison,Near-origin arcs and diagonal structures persist after PV001 exit.,yes,yes if persistence is treated as vehicle evidence,Whether lifecycle excludes background that outlives the vehicle,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W1_CLOSURE_COUNTERFACTUAL.png
NC-W1-04,W1,FWD-W1-044-R01,wrong_vehicle,"Assign W1B_R01 to PV001 instead of PV003, and vice versa",PV001/PV003 optical overlap; anchors36/58,"Both assignments remain superficially plausible without range, exposing non-identifiability.",yes,yes,Whether multi-vehicle order and identity create exclusive ownership,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W1_CLOSURE_COUNTERFACTUAL.png
NC-W1-05,W1,FWD-W1-044-R02,background,Persistent near-origin arcs and oblique line,SAR16/36/44/58/73/80 raw frames,Same structures span different vehicle identities and exit states.,yes,yes if temporal persistence is misused,Whether fixed scene structures are rejected without artificial barriers,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W1_CLOSURE_COUNTERFACTUAL.png
NC-W2-01,W2,FWD-W2-338-R01,wrong_vehicle,Swap PV008 and PV009 ownership at anchor335,SAR335 direct GT; optical PV008/PV009 identity,"Swap violates center/orientation and optical side, although both boxes contain clutter.",yes,yes under box-internal brightness,Whether identity/geometry jointly reject the neighboring vehicle,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W2_CLOSURE_COUNTERFACTUAL.png
NC-W2-02,W2,FWD-W2-338-R02,wrong_time_exit,Assign SAR338 structures to exited PV007,PV007 optical exit at151; SAR338 maps162/163,PV007 is absent while central line/arc remains.,yes,yes without lifecycle,Whether exit state eliminates a former vehicle owner,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W2_CLOSURE_COUNTERFACTUAL.png
NC-W2-03,W2,FWD-W2-338-R02,wrong_position,PV008/PV009 GT boxes shifted +220 px x and -300 px y,SAR335 raw with shifted boxes,Shifted boxes still land on response-like texture.,yes,yes,Whether the explanation is spatially selective rather than posthoc,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W2_CLOSURE_COUNTERFACTUAL.png
NC-W2-04,W2,FWD-W2-338-R02,wrong_orientation,PV008/PV009 boxes rotated 90 deg,SAR335 raw; correct and rotated GT,Wrong orientations still intersect arcs and fragments.,yes,yes under permissive local response reading,Whether orientation carries real exclusion power,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W2_CLOSURE_COUNTERFACTUAL.png
NC-W2-05,W2,FWD-W2-292-R01,background,Dense lower-fan arc/vertical structures,SAR284/292/304/315/335/338,Background remains strong across three-vehicle turnover.,yes,yes,Whether fixed background is separated from vehicle observations,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W2_CLOSURE_COUNTERFACTUAL.png
