scene,thread_a,thread_b,temporal_relation,overlap_frame_count,gap_length,a_exit_location,b_entry_location,color_similarity,appearance_similarity,shape_similarity,motion_compatibility,scale_trend_compatibility,boundary_lifecycle_compatibility,visual_identity_judgment,recommended_relation,evidence_summary,notes
GM_RM011,GM_RM011:GV001,GM_RM011:GV002,overlap,5,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Simultaneously visible at frames 0-4 as separate adjacent cars.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV001,GM_RM011:GV003,overlap,16,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Simultaneously visible at frames 20-35 with different shape and position.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV003,GM_RM011:GV004,overlap,17,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,White MAXUS and adjacent silver-covered vehicle overlap at frames 39-55.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV005,GM_RM011:GV006,overlap,21,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,White Nissan and tan-covered vehicle overlap at frames 110-130.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV005,GM_RM011:GV007,overlap,15,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,White Nissan and dark gray sedan overlap at frames 116-130.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV006,GM_RM011:GV007,overlap,25,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Covered vehicle and gray sedan are simultaneously spatially separate.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV006,GM_RM011:GV008,overlap,6,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Covered vehicle and white Honda overlap at frames 135-140.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV007,GM_RM011:GV008,overlap,17,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Gray sedan and white Honda overlap at frames 135-151.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV008,GM_RM011:GV009,overlap,12,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,White Honda and silver-covered vehicle overlap at frames 155-166.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV009,GM_RM011:GV010,sequential_with_gap,0,21,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,same_vehicle,same_vehicle,compatible_same_vehicle,compatible_same_vehicle,requires_split_then_merge,same_silver_mpv,same_vehicle_merge,"The same silver-covered vehicle remains visible between the two IDs; the 167-187 interval is a visible-unboxed gap, not an exit and new birth.","Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV010,GM_RM011:GV011,sequential_with_gap,0,19,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,different_vehicle_keep_separate,Covered vehicle and later uncovered white sedan are spatially distinct in the continuous sweep.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV011,GM_RM011:GV012,overlap,3,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Two white cars overlap at frames 243-245 on opposite sides of a scooter.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV012,GM_RM011:GV013,overlap,5,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Two white cars overlap at frames 262-266 with different roof and rear styling.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM011,GM_RM011:GV013,GM_RM011:GV014,overlap,9,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,mixed_or_not_decisive,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,White sedan and white SUV overlap at frames 284-292 with different body shapes.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM017,GM_RM017:GV001,GM_RM017:GV002,overlap,20,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,reviewed,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Truck and leading sedan overlap at frames 145-164.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM017,GM_RM017:GV001,GM_RM017:GV003,overlap,14,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,reviewed,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Truck and white SUV overlap at frames 151-164.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM017,GM_RM017:GV001,GM_RM017:GV004,overlap,3,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,reviewed,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Truck and trailing sedan overlap at frames 162-164.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM017,GM_RM017:GV002,GM_RM017:GV003,overlap,35,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,reviewed,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Dark sedan and white SUV are concurrently distinct.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM017,GM_RM017:GV002,GM_RM017:GV004,overlap,24,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,reviewed,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Two dark sedans are simultaneously visible with preserved order.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM017,GM_RM017:GV003,GM_RM017:GV004,overlap,39,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,reviewed,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,White SUV and trailing dark sedan are concurrently distinct.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM019,GM_RM019:GV001,GM_RM019:GV002,overlap,10,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,reviewed,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,physically_distinct,impossible_same_vehicle,Black sedan and white MPV overlap at frames 5-14; frame 29 belongs only to the white MPV.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM019,GM_RM019:GV002,GM_RM019:GV003,sequential_with_gap,0,1,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,reviewed,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,nonvehicle_relation,different_vehicle_keep_separate,GV003 is a non-vehicle false thread after the white MPV exits.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
GM_RM019,GM_RM019:GV003,GM_RM019:GV004,overlap,50,0,image_boundary_or_camera_sweep_exit,image_boundary_or_camera_sweep_entry,reviewed,distinct_or_nonvehicle,distinct_or_simultaneously_incompatible,not_identity_supporting,not_identity_supporting,separate_lifecycles_supported,nonvehicle_relation,different_vehicle_keep_separate,Both early threads follow different non-vehicle fragments; neither establishes a shared car.,"Pairwise visual judgment; features are evidence, not a new chaining gate."
