scene,object_hypothesis_id,main_tracker_track_id,frame_start,frame_end,object_hypothesis_type,same_object_support_level,main_track_stability_status,recommended_use_for_oty2,identity_status,review_required,orphan_conflict_count,shared_secondary_detection_count,ambiguous_cluster_conflict_count,oty2_gate,alignment_confidence_prior,uncertainty_policy,reason,runtime_source_policy
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,bt_0098,145,182,main_track_with_secondary_observations,strong,reactivated_main_track,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,true,7,1,2,use_with_uncertainty_expansion,medium,expanded_window,P4G requested uncertainty handoff; primary continuity is kept and secondary observations expand the temporal window.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,bt_0001,118,164,stable_object_hypothesis,strong,stable_main_track,main_track_only,tracker_only_identity_hypothesis,false,0,0,0,use_as_primary_alignment_track,high,narrow_window,stable main-track-only object with no carried review flag or shared-conflict count.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,bt_0002,121,129,stable_object_hypothesis,moderate,stable_main_track,main_track_only,tracker_only_identity_hypothesis,false,0,0,0,use_as_primary_alignment_track,medium,standard_window,"main-track-only object kept as primary, with standard uncertainty due support/stability/review context.",oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0094,bt_0094,138,143,stable_object_hypothesis,moderate,stable_main_track,main_track_only,tracker_only_identity_hypothesis,false,0,0,0,use_as_primary_alignment_track,medium,standard_window,"main-track-only object kept as primary, with standard uncertainty due support/stability/review context.",oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0124,bt_0124,259,261,stable_object_hypothesis,moderate,stable_main_track,main_track_only,tracker_only_identity_hypothesis,false,0,0,0,use_as_primary_alignment_track,medium,standard_window,"main-track-only object kept as primary, with standard uncertainty due support/stability/review context.",oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,bt_0010,143,214,main_track_with_secondary_observations,strong,stable_main_track,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,true,0,2,10,use_with_uncertainty_expansion,medium,expanded_window,P4G requested uncertainty handoff; primary continuity is kept and secondary observations expand the temporal window.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,bt_0012,149,210,main_track_with_secondary_observations,strong,stable_main_track,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,true,0,4,6,use_with_uncertainty_expansion,medium,expanded_window,P4G requested uncertainty handoff; primary continuity is kept and secondary observations expand the temporal window.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,bt_0014,152,213,main_track_with_secondary_observations,moderate,reactivated_main_track,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,true,0,2,2,use_with_uncertainty_expansion,medium,expanded_window,P4G requested uncertainty handoff; primary continuity is kept and secondary observations expand the temporal window.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,bt_0005,5,41,main_track_with_secondary_observations,strong,stable_main_track,main_track_with_uncertainty_handoff,same_object_hypothesis_high_confidence_review_required,true,0,0,0,use_with_uncertainty_expansion,medium,expanded_window,P4G requested uncertainty handoff; primary continuity is kept and secondary observations expand the temporal window.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0042,bt_0042,37,83,main_track_with_secondary_observations,moderate,reactivated_main_track,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,true,0,33,0,use_with_uncertainty_expansion,medium,expanded_window,P4G requested uncertainty handoff; primary continuity is kept and secondary observations expand the temporal window.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
