shortcut_id,shortcut_pattern_cn,why_it_is_invalid_cn,what_it_would_wrongly_claim,gt_leakage_risk,correct_treatment_cn,related_factor_or_window,notes
S001,强光学线程加SAR亮点等于同一车辆,"a bright point is only scattering_atom unless scale composition drift and contrast are checked","same vehicle identity from one optical cue and one SAR atom","medium","treat as at most candidate mechanism evidence and require shell/negative contrast","endpoint hotspot stability; GM_RM011_WGV14T001","forbidden shortcut"
S002,SAR GT重叠加弱光学线程升级身份,"posthoc overlap cannot upgrade weak optical identity or boundary status","weak thread becomes confirmed identity","high","record weak posthoc support only","GM_RM017 WGV14T001-WGV14T003","matches WGV2.2 conservative rule"
S003,方位接近加亮散射等于最终支持,"geometry feasible domain is not a selected SAR box and bright scatter may be background","final support or selected candidate from proximity","medium","require vehicle-scale morphology temporal compatibility and non-target rejection","azimuth/range feasible domain","domain not final location"
S004,多个弱线索相加成强真值,"heuristic stacking hides missing physical association and counterexamples","strong truth from summed weak cues","low","require joint-factor gates rather than weighted accumulation","all joint rules","physical mechanism first"
S005,posthoc SAR GT证据写回runtime先验,"GT can validate or falsify but cannot construct runtime factor values","runtime prior has been validated because it was built from GT","very_high","separate runtime construction layer from GT posthoc validation layer","permission blocking factor","central leakage risk"
S006,GT局部形态定义runtime阈值,"threshold derived from GT crop leaks posthoc evidence into algorithm construction","runtime-safe threshold without runtime-safe calibration","very_high","keep morphology reading posthoc until independent calibration exists","GT local threshold temptation","no threshold tuning"
S007,GT中心定义方位/距离因子,"using GT center as sector or range source turns validation anchor into construction input","runtime geometry factor is correct because it points to GT","very_high","define sector from runtime-safe geometry only then audit with GT","azimuth/range feasible domain","common leakage shortcut"
S008,GT重叠无负例对照即机制证明,"positive-only validation does not reject road edge background guardrail or competitor alternatives","overlap proves mechanism relation","high","require negative non-target contrast before promotion","GT-positive/non-target-negative contrast","positive GT-local fit alone is insufficient"
S009,小组件盒解释为车辆外壳,"tiny component or top-k peak is atom/part not vehicle-scale shell","baby-car vehicle exists inside support","medium","use atom/part/shell hierarchy and reject without vehicle scale","vehicle-scale shell closure","corrects failed support-internal reading"
S010,边界因子因一个SAR cue而放松,"preserved boundary and competitor risk cannot be overridden by one posthoc cue","different vehicles may be merged safely","medium","keep boundary blocked until independent boundary evidence closes it","GM_RM011 M005; GM_RM011 M016","boundary evidence is a blocker"
S011,SAR侧脊单独等于车辆,"ridge alone may be road edge guardrail or static reflector","vehicle identified from one ridge","medium","require endpoint weak-side shell temporal drift and negative contrast","SAR side-ridge persistence","ridge needs association"
S012,机制支持转成标注许可,"mechanism explanation is not annotation permission or SAR-ready output","posthoc support authorizes final annotation","high","keep relation outcome explanatory until later protocol explicitly opens annotation","all WGV2.3 files","final guardrail shortcut"
