sar_frame,diagnostic_png,contact_sheet,review_reason,selected_response_count,relative_structure_reject_count,background_association_count,policy_divergence_px,max_policy_correction_px,visual_judgment_cn,automatic_state_matches_image,wrong_association_found,downgrade_needed
361,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar361.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,relative_structure_reject_max_frame;missing_frame;background_association_frame;uniform_sequence_sample,5,218,62,0.642114,0.642114,"SAR361: 选中响应5条, relative结构拒绝218条, A/B/C中心分歧0.642114px, 背景关联62条。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
362,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar362.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;background_association_frame,5,91,31,1.941238,1.876591,"SAR362: 选中响应5条, relative结构拒绝91条, A/B/C中心分歧1.941238px, 背景关联31条。 本帧含缺失后的首次重新关联, 只记为candidate。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
363,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar363.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame,7,99,28,2.449588,1.249434,"SAR363: 选中响应7条, relative结构拒绝99条, A/B/C中心分歧2.449588px, 背景关联28条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
364,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar364.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame,7,83,26,2.421922,1.070268,"SAR364: 选中响应7条, relative结构拒绝83条, A/B/C中心分歧2.421922px, 背景关联26条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
365,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar365.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;background_association_frame,6,57,17,1.519969,2.061573,"SAR365: 选中响应6条, relative结构拒绝57条, A/B/C中心分歧1.519969px, 背景关联17条。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
366,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar366.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,max_state_correction_frame;missing_frame;reappearance_first_hit_frame;background_association_frame;uniform_sequence_sample,8,51,15,1.959639,2.916868,"SAR366: 选中响应8条, relative结构拒绝51条, A/B/C中心分歧1.959639px, 背景关联15条。 本帧含缺失后的首次重新关联, 只记为candidate。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
367,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar367.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame,9,96,21,1.781173,2.183388,"SAR367: 选中响应9条, relative结构拒绝96条, A/B/C中心分歧1.781173px, 背景关联21条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
368,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar368.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_confirmed_frame;background_association_frame,8,68,17,1.548849,2.28829,"SAR368: 选中响应8条, relative结构拒绝68条, A/B/C中心分歧1.548849px, 背景关联17条。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
369,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar369.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;background_association_frame,9,93,16,1.794351,2.53143,"SAR369: 选中响应9条, relative结构拒绝93条, A/B/C中心分歧1.794351px, 背景关联16条。 本帧含缺失后的首次重新关联, 只记为candidate。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
370,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar370.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame,11,63,13,2.283249,2.884035,"SAR370: 选中响应11条, relative结构拒绝63条, A/B/C中心分歧2.283249px, 背景关联13条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
