closure_id,structure_id,sar_frame,positive_vehicle_support_cn,negative_background_rejection_cn,positive_false_reject,negative_false_accept,cannot_judge,physical_field_insufficient,visual_computation_conflict
CL8A_001,S8A_F027_001,27,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_002,S8A_F028_002,28,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_003,S8A_F029_003,29,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_004,S8A_F030_004,30,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_005,S8A_F031_005,31,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_006,S8A_F032_006,32,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_007,S8A_F040_007,40,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_008,S8A_F046_008,46,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_009,S8A_F060_009,60,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_010,S8A_F077_010,77,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_011,S8A_F078_011,78,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_012,S8A_F078_012,78,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_013,S8A_F079_013,79,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_014,S8A_F079_014,79,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_015,S8A_F080_015,80,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_016,S8A_F080_016,80,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_017,S8A_F081_017,81,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_018,S8A_F081_018,81,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_019,S8A_F212_019,212,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_020,S8A_F213_020,213,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_021,S8A_F220_021,220,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_022,S8A_F227_022,227,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_023,S8A_F238_023,238,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_024,S8A_F239_024,239,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_025,S8A_F243_025,243,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_026,S8A_F250_026,250,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_027,S8A_F260_027,260,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_028,S8A_F269_028,269,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_029,S8A_F270_029,270,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_030,S8A_F271_030,271,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_031,S8A_F272_031,272,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_032,S8A_F273_032,273,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_033,S8A_F276_033,276,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_034,S8A_F280_034,280,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_035,S8A_F284_035,284,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_036,S8A_F284_036,284,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_037,S8A_F288_037,288,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
CL8A_038,S8A_F288_038,288,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,该对象已经因背景弧线、孤立峰值、尺度不闭合或运动不一致被排除。,false,false,false,true,false
CL8A_039,S8A_F289_039,289,尺度、紧凑性、部件角色和短时漂移共同支持车辆响应。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,false,true,false
CL8A_040,S8A_F290_040,290,只有部分车辆响应条件成立，不能作为最终身份或定位结论。,邻近强响应若呈弧线、固定热点、孤立小峰或超尺度空白，不允许通过强度或光学方向补偿。,false,false,true,true,false
