item_id,scene_id,item_type,source_edge_id,from_thread_or_family,to_thread_or_family,from_frame_end,to_frame_start,wgv1_4_edge_kind,wgv1_4_status,stress_verdict,optical_use_decision,sar_consumption_status,sar_ready,final_box_generated,gt_box_generated,revised_annotation_generated,selector_or_ranking_generated,visual_scope_checked,visual_evidence_frames,visual_evidence_paths,stress_test_observation,conservative_action
GM_RM011_WGV12M001,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M001,GM_RM011_WGV12TF001,GM_RM011_WGV12TF002,4,8,same_vehicle,accepted,stable_same_vehicle,optical_identity_constraint,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",4;8,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000000_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000001_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000002_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000003_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000004_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000005_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000006_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000007_diagnostic_yolo26l.png,Edge rechecked against start/end and merge-neighborhood PNGs; original WGV1.4 decision is preserved.,preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M002,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M002,GM_RM011_WGV12TF002,GM_RM011_WGV12TF003,9,10,same_vehicle,accepted,stable_same_vehicle,optical_identity_constraint,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",9;10,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF002_000009_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF003_000010_diagnostic_yolo26l.png,Edge rechecked against start/end and merge-neighborhood PNGs; original WGV1.4 decision is preserved.,preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M003,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M003,GM_RM011_WGV12TF003,GM_RM011_WGV12TF004,10,13,same_vehicle,accepted,stable_same_vehicle,optical_identity_constraint,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",10;13,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000010_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000011_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000012_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000013_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000014_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000015_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000016_diagnostic_yolo26l.png,"Primary-box repair checked on original PNGs: overlapping/better boxes remain on one white car, not a vehicle switch.",preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M004,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M004,GM_RM011_WGV12TF004,GM_RM011_WGV12TF005,16,18,same_vehicle,accepted,stable_same_vehicle,optical_identity_constraint,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",16;18,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000013_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000014_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000015_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000016_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000017_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000018_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000019_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000020_diagnostic_yolo26l.png,Edge rechecked against start/end and merge-neighborhood PNGs; original WGV1.4 decision is preserved.,preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M005,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M005,GM_RM011_WGV12TF005,GM_RM011_WGV12TF006,25,31,not_same_vehicle_context,context_only,boundary_preserved,blocked_for_sar_consumption,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",25;31,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000018_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000018_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000019_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000019_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000020_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000020_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000021_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000021_diagnostic_yolo26l.png,M005 remains a different-vehicle boundary: right near-field white car/hood crop before frame 31 versus left/front-facing white car after frame 31.,preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M006,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M006,GM_RM011_WGV12TF008,GM_RM011_WGV12TF009,161,164,same_vehicle,accepted,stable_same_vehicle,optical_identity_constraint,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",161;164,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000151_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000152_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000153_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000154_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000155_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000156_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000157_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000158_diagnostic_yolo26l.png,Edge rechecked against start/end and merge-neighborhood PNGs; original WGV1.4 decision is preserved.,preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M007,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M007,GM_RM011_WGV12TF010,GM_RM011_WGV12TF011,232,233,same_vehicle,accepted,stable_same_vehicle,optical_search_hint_only,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",232;233,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/06_GM_RM011_GM_RM011_WGV13T006_standalone_split/frames_yolo/GM_RM011_WGV13T006_GM_RM011_WGV12TF010_000232_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF011_000233_diagnostic_yolo26l.png,"Long-window GM_RM011 underpass edge rechecked; same right-side near-field white car continues, but later competitor keeps the whole long thread conservative.",preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M008,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M008,GM_RM011_WGV12TF011,GM_RM011_WGV12TF012,233,236,same_vehicle,accepted,stable_same_vehicle,optical_search_hint_only,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",233;236,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000233_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000234_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000235_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000236_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000237_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000238_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000239_diagnostic_yolo26l.png,"Long-window GM_RM011 underpass edge rechecked; same right-side near-field white car continues, but later competitor keeps the whole long thread conservative.",preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M009,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M009,GM_RM011_WGV12TF012,GM_RM011_WGV12TF013,239,242,same_vehicle,accepted,stable_same_vehicle,optical_search_hint_only,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",239;242,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF012_000239_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000242_diagnostic_yolo26l.png,"Long-window GM_RM011 underpass edge rechecked; same right-side near-field white car continues, but later competitor keeps the whole long thread conservative.",preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M010,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M010,GM_RM011_WGV12TF013,GM_RM011_WGV12TF014,249,250,same_vehicle,accepted,stable_same_vehicle,optical_search_hint_only,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",249;250,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000249_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/09_GM_RM011_GM_RM011_WGV13T009_standalone_split/frames_yolo/GM_RM011_WGV13T009_GM_RM011_WGV12TF014_000250_diagnostic_yolo26l.png,"Long-window GM_RM011 underpass edge rechecked; same right-side near-field white car continues, but later competitor keeps the whole long thread conservative.",preserve WGV1.4 decision; no SAR-ready artifact generated
GM_RM011_WGV12M011,GM_RM011,same_vehicle_or_context_edge,GM_RM011_WGV12M011,GM_RM011_WGV12TF014,GM_RM011_WGV12TF015,250,251,same_vehicle,accepted,stable_same_vehicle,optical_search_hint_only,blocked_for_sar_consumption,no / blocked,no,no,no,no,"start/end frames, merge-neighborhood frames, and edge/context PNGs where available",250;251,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/09_GM_RM011_GM_RM011_WGV13T009_standalone_split/frames_yolo/GM_RM011_WGV13T009_GM_RM011_WGV12TF014_000250_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split/frames_yolo/GM_RM011_WGV13T010_GM_RM011_WGV12TF015_000251_diagnostic_yolo26l.png,"Long-window GM_RM011 underpass edge rechecked; same right-side near-field white car continues, but later competitor keeps the whole long thread conservative.",preserve WGV1.4 decision; no SAR-ready artifact generated
