state_condition,mode_name,sample_pool,n_rows,gt_coverage_rate_posthoc,median_radius_band_width_px,median_support_area_px,median_area_ratio_vs_broad,median_peak_to_background_ratio,median_top1_top2_ratio,peak_competition_serious_rate,recommended_range_band_treatment,notes
ambiguous_or_review_only,broad_fan_baseline,paired_optical_object_sar_gt,37,1,1332.7,750357,1,1.7566,1.004,1,keep review-conditioned wider band; use as hypothesis evidence only,State split preserves dropout/no-match outside clean paired morphology.
ambiguous_or_review_only,object_smoothed_range_band,paired_optical_object_sar_gt,37,1,420,118998,0.1592,1.7351,1.0194,1,keep review-conditioned wider band; use as hypothesis evidence only,State split preserves dropout/no-match outside clean paired morphology.
ambiguous_or_review_only,scene_residual_range_band,paired_optical_object_sar_gt,37,1,420,139572,0.1869,1.751,1.0202,1,keep review-conditioned wider band; use as hypothesis evidence only,State split preserves dropout/no-match outside clean paired morphology.
ambiguous_or_review_only,state_conditioned_range_band,paired_optical_object_sar_gt,37,0.9189,420,138429,0.1851,1.7513,1.0202,1,keep review-conditioned wider band; use as hypothesis evidence only,State split preserves dropout/no-match outside clean paired morphology.
complete,broad_fan_baseline,paired_optical_object_sar_gt,103,0.9223,1332.7,451287,1,2.0204,1.0079,1,"narrowest band allowed, but still posthoc until runtime-safe range geometry is available",State split preserves dropout/no-match outside clean paired morphology.
complete,complete_shape_quantile_range_band,paired_optical_object_sar_gt,103,0.9029,83.686,18324,0.0433,1.6931,1.0745,1,"narrowest band allowed, but still posthoc until runtime-safe range geometry is available",State split preserves dropout/no-match outside clean paired morphology.
complete,object_smoothed_range_band,paired_optical_object_sar_gt,102,0.9216,130,28386,0.0627,1.7648,1.0789,1,"narrowest band allowed, but still posthoc until runtime-safe range geometry is available",State split preserves dropout/no-match outside clean paired morphology.
complete,scene_residual_range_band,paired_optical_object_sar_gt,103,0.9223,152.564,32607,0.0801,1.7656,1.0745,1,"narrowest band allowed, but still posthoc until runtime-safe range geometry is available",State split preserves dropout/no-match outside clean paired morphology.
complete,state_conditioned_range_band,paired_optical_object_sar_gt,103,0.8641,130,27567,0.0678,1.7635,1.0773,1,"narrowest band allowed, but still posthoc until runtime-safe range geometry is available",State split preserves dropout/no-match outside clean paired morphology.
dropout_or_no_match,broad_fan_baseline,detection_dropout_temporal_continuation,12,,1332.7,684148.5,1,1.9123,1.004,1,exclude from clean morphology; use temporal continuation plus SAR support only,State split preserves dropout/no-match outside clean paired morphology.
dropout_or_no_match,state_conditioned_range_band,detection_dropout_temporal_continuation,12,,715.987,223735.5,0.2977,2.1658,1.004,1,exclude from clean morphology; use temporal continuation plus SAR support only,State split preserves dropout/no-match outside clean paired morphology.
duplicate_or_handoff,broad_fan_baseline,paired_optical_object_sar_gt,17,1,1332.7,764253,1,1.854,1.0079,1,widen range band and require object-continuity review; no identity truth claim,State split preserves dropout/no-match outside clean paired morphology.
duplicate_or_handoff,object_smoothed_range_band,paired_optical_object_sar_gt,17,1,450,158265,0.2121,1.722,1.0212,1,widen range band and require object-continuity review; no identity truth claim,State split preserves dropout/no-match outside clean paired morphology.
duplicate_or_handoff,scene_residual_range_band,paired_optical_object_sar_gt,17,1,450,161505,0.2002,1.7159,1.0341,1,widen range band and require object-continuity review; no identity truth claim,State split preserves dropout/no-match outside clean paired morphology.
duplicate_or_handoff,state_conditioned_range_band,paired_optical_object_sar_gt,17,1,470,167193,0.2073,1.713,1.0341,1,widen range band and require object-continuity review; no identity truth claim,State split preserves dropout/no-match outside clean paired morphology.
edge_or_truncated,broad_fan_baseline,paired_optical_object_sar_gt,58,1,1332.7,598432.5,1,1.8584,1.004,1,widen range band; optical box shape is partial and should not hard-localize range,State split preserves dropout/no-match outside clean paired morphology.
edge_or_truncated,object_smoothed_range_band,paired_optical_object_sar_gt,58,1,380,111636,0.1921,1.7009,1.0431,1,widen range band; optical box shape is partial and should not hard-localize range,State split preserves dropout/no-match outside clean paired morphology.
edge_or_truncated,scene_residual_range_band,paired_optical_object_sar_gt,58,1,380,111645,0.172,1.6858,1.0414,1,widen range band; optical box shape is partial and should not hard-localize range,State split preserves dropout/no-match outside clean paired morphology.
edge_or_truncated,state_conditioned_range_band,paired_optical_object_sar_gt,58,0.9655,360,104904,0.1615,1.6882,1.0441,1,widen range band; optical box shape is partial and should not hard-localize range,State split preserves dropout/no-match outside clean paired morphology.
