case_id,proxy_name,proxy_available,proxy_value_or_label,evidence_summary,vehicle_shell_supported,main_failure_reason,manual_review_needed,notes
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,strip_like,dominant_shape=strip_like; range_extent=76.703,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=16,16 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=1,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0147,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=11.9199,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=strip_like; edge_atoms=1,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=16; components=20; spread=149x53,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,strip_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=76.703; area=2580,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=7,aggregate of fixed support-wide shell/body proxies,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,strip_like,dominant_shape=strip_like; range_extent=75.834,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=16,16 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=1,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0131,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=10.5544,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=strip_like; edge_atoms=1,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=16; components=21; spread=162x55,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,strip_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=75.834; area=2818,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=7,aggregate of fixed support-wide shell/body proxies,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,strip_like,dominant_shape=strip_like; range_extent=75.789,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=16,16 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=1,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0133,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=10.1872,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=strip_like; edge_atoms=1,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
