scene,object_hypothesis_id,sample_role,status_cn,status_code,optical_start_frame,optical_mid_frame,optical_end_frame,sar_start_frame,sar_end_frame,sar_window_frame_count,has_real_optical_frames,primary_boxes_drawn,secondary_boxes_drawn,edge_partial_state,duplicate_handoff_state,ambiguity_status,azimuth_prior_available,azimuth_interval_deg,azimuth_width_deg,range_prior_mode,range_status_cn,weakness_cn,missing_fields_cn,local_page_path,repo_sample_path
GM_RM011,,第十一场景说明,阻断：缺目标流,blocked_missing_object_level_flow,0,183,367,,,,True,0,0,false,false,not_applicable_no_object_flow,false,无,,not_generated_no_object_flow,未生成或其他,目标流缺失导致无法对象级映射,缺光学目标流：无法形成对象级光学帧-目标框-雷达时间窗映射。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm011_sceneonly_20260702_173036.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\visualizations\object_diagnostics_20260702_173036\oty2_object_diag_gmrm011_no_object_flow_gm_rm011_sceneonly_20260702_173036.png
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,,宽松,loose_spatial_prior_generated,143,179,214,293,452,160,True,1,2,true,true,ambiguous_or_review_required,true,-45.41° 到 34.59°，宽 80.00°,79.999,broad_unknown_range_prior,宽未知,距离向宽未知 + 状态不确定导致宽松先验,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm017_bt0010_20260702_173036.png,
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,,宽松,loose_spatial_prior_generated,149,180,210,306,444,139,True,2,1,true,true,ambiguous_or_review_required,true,-45.41° 到 34.60°，宽 80.01°,80.013,broad_unknown_range_prior,宽未知,距离向宽未知 + 状态不确定导致宽松先验,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm017_bt0012_20260702_173036.png,
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,,宽松,loose_spatial_prior_generated,152,183,213,312,450,139,True,1,1,true,true,ambiguous_or_review_required,true,17.83° 到 34.57°，宽 16.75°,16.745,broad_unknown_range_prior,宽未知,距离向宽未知 + 状态不确定导致宽松先验,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm017_bt0014_20260702_173036.png,
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,,正常,normal_spatial_prior_generated,118,141,164,242,347,106,True,3,0,true,false,not_ambiguous,true,-45.40° 到 34.58°，宽 79.98°,79.981,broad_unknown_range_prior,宽未知,距离向宽未知是主要短板,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm017_bt0001_20260702_173036.png,
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,稳定正常空间先验,正常,normal_spatial_prior_generated,121,125,129,249,274,26,True,3,0,false,false,not_ambiguous,true,-23.62° 到 31.59°，宽 55.21°,55.210,broad_unknown_range_prior,宽未知,距离向宽未知是主要短板,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm017_bt0002_20260702_173036.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\visualizations\object_diagnostics_20260702_173036\oty2_object_diag_normal_stable_gm_rm017_bt0002_20260702_173036.png
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,,仅审阅,review_only_spatial_context_generated,145,173,200,297,424,128,True,2,1,true,true,ambiguous_or_review_required,true,-48.41° 到 37.58°，宽 85.99°,85.989,broad_unknown_range_prior_review_only,宽未知,距离向宽未知 + 对象含混，仅审阅,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm017_bt0008_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,阻断对象,阻断,blocked_no_spatial_prior,1,8,14,,,,True,1,1,true,true,ambiguous_or_review_required,false,无,,not_generated_for_blocked_object,未生成或其他,对象 not-ready / short-noise 被阻断,对象被 short/noise 或 not-ready 阻断：无正常下游空间先验。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0009_20260702_173036.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\visualizations\object_diagnostics_20260702_173036\oty2_object_diag_blocked_object_gm_rm019_bt0009_20260702_173036.png
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0024,,阻断,blocked_no_spatial_prior,37,45,52,,,,True,0,3,true,true,ambiguous_or_review_required,false,无,,not_generated_for_blocked_object,未生成或其他,对象 not-ready / short-noise 被阻断,对象被 short/noise 或 not-ready 阻断：无正常下游空间先验。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0024_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0029,,阻断,blocked_no_spatial_prior,37,65,93,,,,True,0,2,true,true,ambiguous_or_review_required,false,无,,not_generated_for_blocked_object,未生成或其他,对象 not-ready / short-noise 被阻断,对象被 short/noise 或 not-ready 阻断：无正常下游空间先验。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0029_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0036,,阻断,blocked_no_spatial_prior,37,65,93,,,,True,0,2,true,true,ambiguous_or_review_required,false,无,,not_generated_for_blocked_object,未生成或其他,对象 not-ready / short-noise 被阻断,对象被 short/noise 或 not-ready 阻断：无正常下游空间先验。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0036_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0057,,阻断,blocked_no_spatial_prior,71,73,74,,,,True,1,1,true,true,ambiguous_or_review_required,false,无,,not_generated_for_blocked_object,未生成或其他,对象 not-ready / short-noise 被阻断,对象被 short/noise 或 not-ready 阻断：无正常下游空间先验。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0057_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0067,,阻断,blocked_no_spatial_prior,43,65,86,,,,True,0,2,true,true,ambiguous_or_review_required,false,无,,not_generated_for_blocked_object,未生成或其他,对象 not-ready / short-noise 被阻断,对象被 short/noise 或 not-ready 阻断：无正常下游空间先验。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0067_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0070,,阻断,blocked_no_spatial_prior,43,65,87,,,,True,1,1,true,true,ambiguous_or_review_required,false,无,,not_generated_for_blocked_object,未生成或其他,对象 not-ready / short-noise 被阻断,对象被 short/noise 或 not-ready 阻断：无正常下游空间先验。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0070_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0073,,阻断,blocked_no_spatial_prior,43,72,100,,,,True,0,2,true,true,ambiguous_or_review_required,false,无,,not_generated_for_blocked_object,未生成或其他,对象 not-ready / short-noise 被阻断,对象被 short/noise 或 not-ready 阻断：无正常下游空间先验。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0073_20260702_173036.png,
