case_id,family_id,sar_frame,error_type,reason_cn,provenance
R21ERR0001,R21F00001,27,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=true; IoU=0,raw_primary_eval_only
R21ERR0002,R21F00001,27,exact_gt_background_inclusion,exact_gt_background_inclusion: raw=unresolved; assisted=unresolved; exact_gt=true; IoU=0,raw_primary_eval_only
R21ERR0003,R21F00002,28,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0004,R21F00002,28,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0005,R21F00003,29,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0006,R21F00003,29,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0007,R21F00004,30,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=vehicle_response; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0008,R21F00005,31,exact_gt_vehicle_part_exclusion,exact_gt_vehicle_part_exclusion: raw=vehicle_response; assisted=mechanism_partial; exact_gt=true; IoU=0.350894,raw_primary_eval_only
R21ERR0009,R21F00006,32,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0010,R21F00006,32,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0011,R21F00007,34,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=vehicle_response; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0012,R21F00008,39,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0013,R21F00008,39,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0014,R21F00009,40,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0015,R21F00009,40,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0016,R21F00010,40,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
