"relation_id","window_id","scene","connected_optical_nodes","connected_sar_nodes","connected_geometry_nodes","connected_boundary_nodes","relation_outcome","relation_support_level","permission_status","allowed_next_use","forbidden_use","mechanism_explanation_cn","risk_or_contradiction_cn","notes"
"R_GM011_T001_EXIST","GM_RM011_WGV14T001","GM_RM011","N_GM011_T001_OBS;N_GM011_T001_THREAD;N_GM011_T001_STATE","N_GM011_T001_SARREF;N_GM011_T001_SARMORPH","N_GM011_T001_GEOM","N_GM011_T001_BOUND","supports_vehicle_existence","posthoc_mechanism_supported","pre_sar_only","mechanism vocabulary and later independent SAR-internal evidence planning","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","近场白车光学稳定且GT-local形态支持车尺度词汇。","映射未闭合且M005邻近竞争阻止SAR身份解释。","Existence support is posthoc only."
"R_GM011_T001_SHIFT","GM_RM011_WGV14T001","GM_RM011","N_GM011_T001_STATE","N_GM011_T001_SARMORPH","N_GM011_T001_GEOM","N_GM011_T001_BOUND","explains_support_shift","posthoc_mechanism_supported","pre_sar_only","diagnose truncation-related support shift","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","近场截断可能导致SAR支持扩展或偏移。","GT质量和映射缺口限制强度。","Mechanism explanation, not prior logic."
"R_GM011_T004_EXIST","GM_RM011_WGV14T004","GM_RM011","N_GM011_T004_THREAD;N_GM011_T004_STATE","N_GM011_T004_SARMORPH","N_GM011_T004_GEOM","N_GM011_T004_BOUND","supports_vehicle_existence","posthoc_mechanism_supported","pre_sar_only","mechanism vocabulary and review prioritization","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","T004光学强且SAR摘要有车尺度词汇。","GM_RM011无直接方位/对象流映射。","Meaningful but mapping unresolved."
"R_GM011_T004_INSUFF","GM_RM011_WGV14T004","GM_RM011","N_GM011_T004_THREAD","N_GM011_T004_SARMORPH","N_GM011_T004_GEOM","N_GM011_T004_BOUND","insufficient_evidence","insufficient_evidence","pre_sar_only","record missing direct mapping requirement","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","现有证据不足以形成线程级光学-SAR映射。","缺直接GM_RM011映射源。","Insufficiency is explicit."
"R_GM011_T005_GAP","GM_RM011_WGV14T005","GM_RM011","N_GM011_T005_THREAD;N_GM011_T005_STATE","N_GM011_T005_SARMORPH","N_GM011_T005_GEOM","N_GM011_T005_BOUND","explains_visible_unboxed_gap","weak_posthoc_support","pre_sar_only","diagnose visible-unboxed gap and search-hint behavior","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","可见未框间隙和近场截断可解释稀疏SAR支持。","同色竞争和稀疏SAR参考阻止身份消费。","Search hint only."
"R_GM011_T005_COMP","GM_RM011_WGV14T005","GM_RM011","N_GM011_T005_THREAD;N_GM011_T005_STATE","N_GM011_T005_SARMORPH","N_GM011_T005_GEOM","N_GM011_T005_BOUND","indicates_competition","ambiguous","pre_sar_only","preserve competitor warning for later SAR-only review","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","M016附近同色SUV竞争显著。","竞争体未分离前不可消费。","Competition is a graph result."
"R_GM011_M005_BOUND","GM_RM011_M005","GM_RM011","N_GM011_M005_THREAD;N_GM011_M005_STATE","N_GM011_M005_SARMORPH","N_GM011_M005_GEOM","N_GM011_M005_BOUND","supports_boundary","posthoc_mechanism_supported","pre_sar_only","keep both sides separated in later review","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","M005两侧为不同白车，边界应保留。","SAR参考混合neighbor/background，不能桥接。","Boundary support is positive."
"R_GM011_M005_BLOCK","GM_RM011_M005","GM_RM011","N_GM011_M005_THREAD;N_GM011_M005_STATE","N_GM011_M005_SARMORPH","N_GM011_M005_GEOM","N_GM011_M005_BOUND","blocked_by_boundary","blocked","blocked_for_sar_consumption","boundary blocker only","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","跨M005同车关系被边界阻断。","任何颜色相似或后验弱支持都不能放松边界。","No boundary relaxation."
"R_GM011_M016_BOUND","GM_RM011_M016","GM_RM011","N_GM011_M016_THREAD;N_GM011_M016_STATE","N_GM011_M016_SARMORPH","N_GM011_M016_GEOM","N_GM011_M016_BOUND","supports_boundary","posthoc_mechanism_supported","pre_sar_only","preserve M016 as hard boundary","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","M016分隔右侧近场白车和左侧白SUV。","同色竞争强。","Boundary preserved."
"R_GM011_M016_BLOCK","GM_RM011_M016","GM_RM011","N_GM011_M016_THREAD;N_GM011_M016_STATE","N_GM011_M016_SARMORPH","N_GM011_M016_GEOM","N_GM011_M016_BOUND","blocked_by_boundary","blocked","blocked_for_sar_consumption","boundary blocker only","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","跨M016关系被边界阻断。","不能用长窗稳定性越过M016。","No bridge."
"R_GM011_M016_INSUFF","GM_RM011_M016","GM_RM011","N_GM011_M016_STATE","N_GM011_M016_SARMORPH","N_GM011_M016_GEOM","N_GM011_M016_BOUND","insufficient_evidence","insufficient_evidence","pre_sar_only","record missing boundary-specific SAR evidence","no SAR-ready annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking; no runtime prediction; no identity truth","M016缺少可追溯SAR GT-local参考。","SAR边界证据不足，默认阻断。","Missing evidence is explicit."
