condition_id,passed,evidence
C01_BOTH_CASES_EXTEND,false,PV002=6;PV003=0
C02_ADDED_CONFIRMED_SKELETON,false,PV002=56;PV003=0
C03_WEAK_STATE_CENTRAL_RELATION,true,PV002 seeds=5;PV003 seeds=5; no full-band copy
C04_ZERO_VERTICAL_BACKGROUND_POLLUTION,true,PV002=0;PV003=0
C05_NO_BACKGROUND_CROSSING_PATH,true,PV002=0;PV003=0
C06_NO_COMPLETE_ARC_CLUTTER_ASSIGNMENT,true,PV002 overlap=78/47410;PV003 overlap=0/67850; fully assigned frames=0
C07_COMPLETE_SEED_PATH,true,PV002=0;PV003=0
C08_FROZEN_RULE_REPLAY,true,rule_sha256=76b72f566325e462dade42dfe328f703f48ce6dba91b224ce306921690df152e
C09_CLEAR_SEED_ONLY_INCREMENT,false,PV002=56;PV003=0
C10_NO_HIDDEN_REFERENCE_FEEDBACK,true,frozen propagation sources contain no hidden-reference filename
STAGE_CONCLUSION,,MICROPILOT_PARTIALLY_SUPPORTED
