"scene","case_id","observation_a","observation_b","same_vehicle_judgement","confidence_level","visual_basis","position_continuity","visible_part_continuity","box_content_status","appearance_feature_status","competition_status","method_failure_layer","recommended_action","can_support_vehicle_timeline","reason"
"GM_RM017","GM017_referent_001_bs0008_internal","bs_0008 early/mid frames","bs_0008 mid/late frames","same_vehicle","high","Dense full-frame sequence shows the leading dark sedan moving left-to-right ahead of the later dark sedan.","continuous left-to-right motion; edge entry and exit explain scale change","rear/side/front-part changes are plausible under motion","partial and edge-contact boxes still remain on the leading dark sedan","low crop stability is explainable by partial crops and background ratio","competitors present but separable in dense frames","box_layer;crop_layer;feature_layer","downweight_appearance","yes","Keep as same physical car referent; use fit frames and do not let weak appearance veto the full-frame continuity."
"GM_RM017","GM017_referent_002_bs0010_internal","bs_0010 left/center frames","bs_0010 right-edge frames","same_vehicle","high","The white SUV is visible continuously from left entry through center to right-edge exit.","continuous left-to-right motion; late frame becomes edge-thin","front/side/edge-part transition is plausible","box content stays on the white SUV but late right-edge crop is thin","feature weakness is crop-quality driven","nearby dark vehicles are separable","box_layer;crop_layer;feature_layer","downweight_appearance","yes","Same vehicle referent is clear; later timeline graph should tag edge and partial frames."
"GM_RM017","GM017_referent_003_bs0012_internal","bs_0012 entry/center frames","bs_0012 exit frames","likely_same_vehicle","medium_high","Trailing dark sedan follows a coherent left-to-right path distinct from the leading dark sedan.","mostly continuous left-to-right motion","part visibility changes are plausible but edge frames are weak","box remains on the trailing dark sedan except thin entry/exit visibility","appearance is weak under dark-car partial views","similar dark sedan competition requires explicit guard","box_layer;crop_layer;feature_layer;window_connection_layer","downweight_appearance","yes_weak","Retain as same referent internally but keep a guard against connecting it to bs_0008."
"GM_RM017","GM017_forbid_001_bs0008_to_bs0012","bs_0008 leading dark sedan","bs_0012 trailing dark sedan","not_same_vehicle","high","Dense frames show two distinct dark sedans separated by the white SUV context and motion order.","separate vehicle positions and times; not one continuous target","similar dark sedan appearance does not imply one car","both boxes can be car boxes but on different cars","appearance similarity would be misleading","competition resolved as two physical vehicles","window_connection_layer;feature_layer","forbid_connection","no","Do not connect the two dark sedans; this is the main false-merge guard in GM_RM017."
"GM_RM017","GM017_reject_001_bs0002_non_vehicle","bs_0002 track content","vehicle referent hypothesis","not_same_vehicle","high","The green box follows a foreground road barrier or temporary structure rather than a vehicle.","not applicable","not a vehicle part transition","box content is non-vehicle structure","appearance feature is irrelevant for vehicle identity","not applicable","box_layer;track_id_layer","manual_review","no","Exclude from vehicle timeline input or manually mark as non-vehicle false candidate."
"GM_RM017","GM017_context_001_bs0001_large_vehicle","bs_0001 early frames","bs_0001 late frames","same_vehicle","high","Large white box/truck-like object stays visually continuous across frames 118-164.","continuous across the crossing area","same large rear/box body remains visible","box is bright but mostly fit to the same large object","appearance not the limiting issue","low competition for this object","box_layer","connect_window","yes_context","Stable context vehicle referent; target relevance should be checked before any car-specific use."
"GM_RM011","GM011_referent_001_bs0015_seg001_to_seg002","bs_0015 seg_001 front/windshield frames","bs_0015 seg_002 front/windshield frames","same_vehicle","high","Same white vehicle front, windshield, mirror, and hood continue across a short gap.","short gap and smooth local displacement","front/windshield/hood part remains coherent","partial front-side boxes still focus on the same car","appearance can be downweighted but does not conflict","no better competing target","box_layer;crop_layer;track_id_layer","connect_window","yes","Strong local referent edge; record as diagnostic connection only, not final identity truth."
"GM_RM011","GM011_referent_002_bs0061_seg002_to_seg003","bs_0061 seg_002 central white front/window","bs_0061 seg_003 central white front/window","same_vehicle","high","Central white vehicle front and windshield continue across the short gap; left-edge neighbor is separable.","short gap and central target continuity","front/window state remains coherent","boxes remain on the central white car despite partial crop","feature weakness would be crop-driven","left-edge competitor present but excluded","box_layer;crop_layer;window_connection_layer","connect_window","yes","Strong local referent edge with explicit competitor-exclusion note."
"GM_RM011","GM011_referent_003_bs0061_seg001_to_seg002","bs_0061 seg_001 rear/side white vehicle","bs_0061 seg_002 front/window white vehicle","possible_same_vehicle","medium","The same white vehicle is plausible but the gap is longer and the visible part changes from rear/side to front/window.","motion is plausible but not tight enough for a strong edge","large part-state transition; needs weak treatment","boxes are on plausible same white car regions but not directly comparable","raw appearance is not a fair identity test","competition not resolved strongly enough for a hard merge","box_layer;crop_layer;feature_layer;window_connection_layer","weak_connect_only","yes_weak","Use as weak diagnostic edge only; do not merge track identity."
"GM_RM011","GM011_forbid_001_bs0061_to_bs0064","bs_0061 seg_001 white vehicle region","bs_0064 seg_001 left-edge vehicle fragment","not_same_vehicle","high","Successor box lands on a left-edge competing vehicle while the central white car remains visible separately.","position jump is better explained by competitor switch","visible part changes to another target region","box content switches target","appearance/proximity would create a false bridge","competition target is more plausible than same car","box_layer;window_connection_layer;track_id_layer","forbid_connection","no","Forbid this connection; it is a full-frame target switch."
