source_r1_family_id,boundary_family_id,sar_frame,source_response_unit_id,target_response_unit_id,bbox_iou,center_distance_px,core_overlap_ratio,core_subset_relation,accepted_graph_link_present,pair_relation,boundary_pair_valid,invalid_reason,old_r1_same_family,new_same_boundary_family
R21R1F00001;R21R1F00002,,27,R21B00001,R21B00002,0,54.744863,0,none,true,accepted_graph_link_only_not_boundary_variant,false,accepted graph link 只能进入 same-object candidate edge，不能作为边界变体族证据,false,false
R21R1F00001;R21R1F00003,,27,R21B00001,R21B00003,0.04,30.88689,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00001;R21R1F00004,,27,R21B00001,R21B00004,0,104.355163,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00001;R21R1F00005,,27,R21B00001,R21B00005,0,96.046864,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00001,R21R11BF00001,27,R21B00001,R21B00006,0.705882,15,1,a_subset_b,true,shared_actual_core_boundary_variant,true,,true,true
R21R1F00002;R21R1F00003,,27,R21B00002,R21B00003,0,84.480767,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00002;R21R1F00004,,27,R21B00002,R21B00004,0,138.683092,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00002;R21R1F00005,,27,R21B00002,R21B00005,0,84.214013,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00001;R21R1F00002,,27,R21B00002,R21B00006,0.075294,40.024992,1,a_subset_b,true,shared_actual_core_boundary_variant,false,,false,false
R21R1F00003;R21R1F00004,,27,R21B00003,R21B00004,0,84.214013,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00003;R21R1F00005,,27,R21B00003,R21B00005,0,105.68349,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00001;R21R1F00003,,27,R21B00003,R21B00006,0.028235,44.598206,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00004;R21R1F00005,,27,R21B00004,R21B00005,0,96.046864,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
R21R1F00001;R21R1F00004,,27,R21B00004,R21B00006,0,110.022725,0,none,false,zero_core_overlap_not_boundary_variant,false,核心原子零重叠，不是同一局部响应核心的边界变体,false,false
