case_id,failure_mode,why_not_vehicle_shell,what_evidence_would_be_needed,manual_review_needed,not_allowed_conclusion
GTREF_GM_RM011_s0_2,single_part_no_shell,A single part cannot close a vehicle-scale shell.,Additional endpoint/edge/far-side relation at GT scale.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s0_2,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s0_2,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s1_4,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s1_4,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s1_4,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s1_4,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s2_336,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s2_336,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s2_336,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s2_5,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s2_5,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s2_5,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s2_5,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s3_6,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s3_7,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s3_7,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s3_7,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s3_7,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s4_9,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s4_9,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s5_10,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s5_10,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s5_11,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s5_11,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s6_12,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s6_12,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
