scene,canonical_vehicle_id,benchmark_role,sar_frame_start,sar_frame_end,gt_frame_count,gt_row_count,gold_frame_count,usable_frame_count,optical_full_vehicle_visible_fraction,viewpoint_or_pose_diversity,sar_theta_span_deg,distance_or_scale_diversity,sar_radius_span_px,multi_vehicle_competition_level,gt_continuity,max_sar_frame_gap,mask_validity,recommended_research_role,exclusion_reason,notes
GM_RM011,GM_RM011:PV001,development,0,58,38,62,2,60,0.032258,high,53.739522,low,41.476,high,sparse_but_trackable,22,inside_display_fan,structure_development,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV002,development,0,7,8,8,0,7,0.000000,low,4.565788,low,18.912,high,dense_continuous,1,inside_display_fan,structure_development,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV003,heldout_validation,58,73,2,2,0,2,0.000000,moderate,9.911520,low,9.205,high,sparse_discontinuous,15,inside_display_fan,diagnostic_only,fewer than three gold/usable GT rows,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV004,diagnostic_only,,,0,0,0,0,0.000000,none,0.000000,none,0.000,low,no_sar_gt,0,no_gt,exclude,no canonical-linked SAR GT row,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV005,development,244,271,22,22,0,3,0.000000,high,26.176124,low,53.757,high,sparse_but_trackable,6,inside_display_fan,structure_development,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV006,development,244,284,36,37,0,4,0.270270,high,61.231027,low,59.514,high,sparse_but_trackable,6,inside_display_fan,structure_development,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV007,development,244,315,37,48,0,5,0.000000,high,84.102124,moderate,66.878,high,sparse_but_trackable,31,inside_display_fan,structure_development,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV008,heldout_validation,281,335,6,6,0,3,0.000000,high,51.821092,moderate,70.237,high,sparse_but_trackable,31,inside_display_fan,structure_heldout_validation,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV009,diagnostic_only,335,335,1,1,0,0,0.000000,none,0.000000,none,0.000,high,dense_continuous,0,inside_display_fan,diagnostic_only,P1-E physical-vehicle role is diagnostic_only and is preserved,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV010,development,442,510,5,5,0,5,0.000000,high,109.475069,moderate,78.969,moderate,sparse_discontinuous,37,inside_display_fan,structure_development,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV011,development,506,510,2,2,0,2,0.000000,moderate,11.110947,low,23.246,high,sparse_but_trackable,4,inside_display_fan,diagnostic_only,fewer than three gold/usable GT rows,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV012,development,,,0,0,0,0,0.000000,none,0.000000,none,0.000,low,no_sar_gt,0,no_gt,exclude,no canonical-linked SAR GT row,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV013,heldout_validation,,,0,0,0,0,0.000000,none,0.000000,none,0.000,low,no_sar_gt,0,no_gt,exclude,no canonical-linked SAR GT row,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM011,GM_RM011:PV014,diagnostic_only,,,0,0,0,0,0.000000,none,0.000000,none,0.000,low,no_sar_gt,0,no_gt,exclude,no canonical-linked SAR GT row,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM017,GM_RM017:PV001,development,,,0,0,0,0,0.000000,none,0.000000,none,0.000,low,no_sar_gt,0,no_gt,exclude,no canonical-linked SAR GT row,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM017,GM_RM017:PV002,development,302,386,67,68,0,66,0.544118,high,83.575007,high,237.274,high,sparse_but_trackable,8,inside_display_fan,structure_development,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM017,GM_RM017:PV003,heldout_validation,315,394,73,75,0,67,0.746667,high,63.725016,high,215.498,high,dense_continuous,2,inside_display_fan,structure_heldout_validation,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM017,GM_RM017:PV004,heldout_validation,337,446,62,64,0,61,0.671875,high,87.847569,moderate,151.291,high,sparse_but_trackable,35,inside_display_fan,structure_heldout_validation,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM019,GM_RM019:PV001,development,0,27,4,6,0,4,0.000000,high,99.572843,moderate,95.519,high,sparse_but_trackable,19,inside_display_fan,structure_development,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM019,GM_RM019:PV002,heldout_validation,27,88,5,6,0,5,0.000000,high,84.760189,low,50.783,high,sparse_discontinuous,46,inside_display_fan,structure_heldout_validation,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM019,GM_RM019:PV003,diagnostic_only,212,290,6,6,0,0,0.000000,high,90.426131,low,58.656,low,sparse_discontinuous,31,inside_display_fan,diagnostic_only,P1-E physical-vehicle role is diagnostic_only and is preserved,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
GM_RM019,GM_RM019:PV004,heldout_validation,315,354,4,4,1,4,0.250000,high,64.403054,low,58.937,low,sparse_but_trackable,33,inside_display_fan,structure_heldout_validation,,P1-E vehicle-level role is inherited without frame-level leakage; no GT interpolation
