gate,status,evidence,provenance
R2_1_R1_FROZEN_INPUTS_UNCHANGED,PASS,R2.1 and R2.1-R1 manifest SHA checks compared,frozen_input_replay
LOCAL_RESPONSE_UNIT_SEMANTICS_EXPLICIT,PASS,local response units=250; units are not complete vehicles,semantic_separation
BOUNDARY_VARIANT_FAMILY_SEMANTICS_VALID,PASS,boundary families=176; strict same-core variant rules applied,boundary_family_builder
BOUNDARY_FAMILY_ZERO_CORE_OVERLAP_PAIR_COUNT,PASS,count=0,boundary_family_builder
BOUNDARY_FAMILY_DIFFERENT_CORE_NO_OVERLAP_COUNT,PASS,count=0,boundary_family_builder
BOUNDARY_FAMILY_ACCEPTED_LINK_ONLY_PAIR_COUNT,PASS,count=0,boundary_family_builder
SAME_OBJECT_CANDIDATE_EDGE_SEPARATED,PASS,"edges=148; counts={'accepted_graph_link_candidate': 137, 'part_part_candidate': 11}",same_object_candidate
SAME_OBJECT_CANDIDATE_NOT_IDENTITY_TRUTH,PASS,edge_state is candidate/weak/blocked only; no confirmed same vehicle,same_object_candidate
STATIC_FAMILY_NOT_EQUAL_PHYSICAL_VEHICLE,PASS,"boundary family represents local-response boundary variants, not physical vehicle identity",semantic_boundary
PROXIMITY_RESIDUAL_COMPONENT_AUDIT,PASS,residual components=2368; proximity candidates=1615,topk_semantic_reinterpretation
TOP_K_EXACT_DROP_AUDIT,FAIL,"R2.1-R1 top-k file is reinterpreted as proximity residual audit, not exact original top-k replay",topk_semantic_reinterpretation
TOP_K_WEAK_RESPONSE_RISK,UNRESOLVED,vehicle weak-part conclusion revoked; physical_vehicle_part_unproven=true,topk_semantic_reinterpretation
INSTANCE_LEVEL_GT_EVALUATION_VALID,PASS,response-unit matrix rows=63; boundary-family matrix rows=45,eval_only_instance_matrix
MULTI_INSTANCE_GT_UNION_NOT_USED,PASS,GT instances are evaluated as per-instance rows; no frame-level union box is constructed,eval_only_instance_matrix
RAW_REVIEW_FIELDS_COMPLETE,PASS,R2.1-R1 raw review CSV fields checked for completeness,review_gate_semantic_downgrade
ASSISTED_REVIEW_FIELDS_COMPLETE,PASS,R2.1-R1 assisted review CSV fields checked for completeness,review_gate_semantic_downgrade
OBJECT_SPECIFIC_RAW_VISUAL_VALIDITY,UNPROVEN,fields are complete but this round did not redo independent object-by-object raw visual review,review_gate_semantic_downgrade
OBJECT_SPECIFIC_ASSISTED_VISUAL_VALIDITY,UNPROVEN,fields are complete but this round did not redo independent object-by-object assisted visual review,review_gate_semantic_downgrade
FROZEN_REPLAY_IDENTICAL,PASS,local_response_units:PASS; boundary_variant_families:PASS; boundary_family_members:PASS; boundary_pairwise_integrity:PASS; same_object_candidate_edges:PASS; proximity_residual_component_audit:PASS; response_unit_gt_instance_matrix:PASS; boundary_family_gt_instance_matrix:PASS,frozen_replay
R2_1_R1_1_STATIC_SEMANTIC_CLOSURE,PASS,"requires strict boundary semantics, candidate edge split, top-k revocation, instance GT, gate downgrade, replay pass",stage_closure
VEHICLE_SUPPORTED_OBSERVATION_READY_FOR_A1_7R2,NO,"R2.1-R1.1 is static semantic closure, not an A1.7R2 runtime contract",stage_boundary
GM_RM011_BLOCKED,true,GM_RM011 remains outside this task,stage_boundary
GM_RM019_STATIC_STAGE_CLOSED,true,no further R2.1-R1.x static expansion after this closure,stage_boundary
NEXT_STAGE,GM_RM017_CONTINUOUS_PHYSICAL_RESPONSE_AUDIT,next phase is continuous physical response audit,stage_boundary
