rule_id,mechanism_area,trigger,threshold_or_condition,v1_2_action,merge_policy,review_pack_requirement,sar_ready,note
WGV12_SEQ001,temporal_box_continuity,center offset too large,max_dx_per_frame_px > 120,hard fail sequence continuity,block same-vehicle merge until target-family split,show before/after frames and competing candidates,no / blocked,diagnostic rule only
WGV12_SEQ002,temporal_box_continuity,center offset needs review,60 < max_dx_per_frame_px <= 120,review gate,do not auto-merge,show offset sequence and ask whether offset is plausible truncation/part-state change,no / blocked,diagnostic rule only
WGV12_SEQ003,temporal_box_continuity,normalized offset too large,max_normalized_dx_by_box_width > 0.65,hard fail sequence continuity,block same-vehicle merge until target-family split,show bbox width-normalized displacement,no / blocked,diagnostic rule only
WGV12_SEQ004,temporal_box_continuity,box size jumps,max_area_ratio > 2.5,hard fail unless proven truncation/occlusion context,block same-vehicle merge or route to context,show size sequence and occlusion context,no / blocked,diagnostic rule only
WGV12_SEQ005,temporal_box_continuity,back-and-forth motion,motion_sign_change_count >= 2,review or hard fail depending on offset,do not auto-merge,show ordered frames instead of contact sheet only,no / blocked,diagnostic rule only
WGV12_SEQ006,temporal_box_continuity,sequence gap without bridge evidence,frame_gap > 2,review gate,do not auto-merge across gap,show missing frames and candidate alternatives,no / blocked,diagnostic rule only
WGV12_MC001,multicar_contrast,multi-box tag but only selected detection retained,multi_box_competition risk tag and same_frame_distinct_source_detection_count <= 1,mark multicar_contrast_undercovered,review before merge and require per-frame candidate bank,show all available candidates or mark contrast missing,no / blocked,diagnostic rule only
WGV12_MC002,multicar_contrast,competing candidate better fits sequence,alternative candidate has lower projected center/size error than selected primary,select diagnostic target family candidate not final box,block selected-primary-only merge,show selected and competing boxes side-by-side,no / blocked,diagnostic rule only
WGV12_MC003,target_family_split,class switch inside fragment,class_sequence contains truck and car,hard fail target family continuity,split or route to multi_target_review_window,show class sequence and frames,no / blocked,diagnostic rule only
WGV12_MC004,target_family_split,spatial side switch with large offset,x_bin changes and max_dx_per_frame_px > 60,review or hard fail,split into side-specific target families,show left/mid/right timeline,no / blocked,diagnostic rule only
WGV12_MC005,target_family_split,source detection reused by nodes,same source_detection_id appears under multiple candidate_node_id,block identity claim for node labels,do not treat candidate_node_id as vehicle identity,show duplicate node family list,no / blocked,diagnostic rule only
WGV12_EDGE001,same_vehicle_edge,edge endpoint sequence incompatible,tail projection does not match head start or competitor fits better,forbid or mark_review_required,write temporal context instead of same-vehicle edge,show endpoint frames plus competing candidates,no / blocked,diagnostic rule only
