node_type,required_fields,allowed_evidence_sources,permission_level,forbidden_interpretation,example_wgv_source,notes
optical_observation_node,scene_id;optical_frame;observation_ref;state_tags,WGV1.4b visual evidence manifest;optical PNG inspection,pre_sar_optical_review,not a physical identity truth and not SAR proof,GM_RM011 frame 10 primary-box repair,Frame-local optical observation only
optical_fragment_node,scene_id;fragment_id;frame_start;frame_end;continuity_state,WGV1.4 optical fragments;WGV1.4b thread summaries,pre_sar_optical_hypothesis,not a clean object stream and not final annotation,GM_RM011 WGV12TF003-WGV12TF005,Short optical continuity hypothesis
optical_thread_node,scene_id;thread_id;frame_start;frame_end;wgv_status;use_class,WGV1.4b accepted weak context_only blocked graph,pre_sar_optical_constraint_or_hint,not SAR identity and not SAR consumption approval,GM_RM011_WGV14T001;GM_RM017_WGV14T002,Thread class must carry accepted weak search-hint boundary or blocked state
optical_behavior_state_node,scene_id;state_id;state_tags;frame_range;source_item,WGV1.8 behavior observations;WGV1.4b visual evidence,posthoc_behavior_explanation,not identity proof and not a merge command,near_field_truncation;visible_unboxed_gap;multi_vehicle_competition,Explains why optical continuity is strong weak ambiguous or blocked
sar_gt_local_reference_node,scene_id;sar_frame_range;gt_reference_id;provenance,WGV1.5C inherited SAR evidence;WGV1.8 GT-local reading,posthoc_reference_only,not runtime prior and not GT revision,GM_RM011 early GT-local exemplars,Anchor for SAR morphology vocabulary only
sar_morphology_node,scene_id;sar_frame_range;morphology_tags;quality_state,WGV1.5B schema;WGV1.5C ledger;WGV1.8 SAR-local reading,posthoc_sar_mechanism,not selected box and not label proposal,ridge_like_band;endpoint_hotspot;weak_boundary,Vehicle-like and background-like SAR structure vocabulary
sar_temporal_drift_node,scene_id;sar_frame_start;sar_frame_end;drift_state;quality_state,WGV1.5C prior evidence ledger;WGV1.7 temporal tube audit,posthoc_sar_temporal_evidence,not hardware timestamp truth and not identity truth,GM_RM017 ambiguous offset band -12..+12,Records non-jump gradual drift ambiguity or insufficiency
geometry_feasible_domain_node,scene_id;optical_frame_range;sar_frame_range_estimate;azimuth_status;range_status,WGV1.7 offset scan;temporal contract;physical factor modeling archive,feasible_domain_only,not final SAR location and not candidate ranking,GM_RM017 azimuth proxy overlap;GM_RM011 missing direct azimuth source,Constrain exploration without selecting an object
boundary_competition_node,scene_id;edge_or_case_id;boundary_state;competitor_tags,WGV1.4b edge stress summary;WGV1.8 mechanism links,boundary_protection,not same-vehicle evidence and not bridge permission,GM_RM011 M005;GM_RM011 M016;GM_RM017 WGV14V004,Preserves different-vehicle context and competitor risks
evidence_permission_node,permission_rule_id;allowed_use;forbidden_use;upgrade_requirement,WGV1.5A consumption contract;WGV1.6 conclusions;WGV1.7 boundary statement,permission_gate,not evidence itself and not an upgrade mechanism,SAR posthoc overlap cannot upgrade weak optical identity,Controls leakage between optical SAR posthoc and runtime layers
mechanism_relation_node,relation_id;connected_nodes;outcome;confidence_class;blocking_reason,WGV2.0 schema only;future WGV2.1 instances,design_schema_only,not a graph instance and not a prediction,blocked_by_boundary for GM_RM011 M016 candidate,Records conservative relation outcome when later instantiated
