raw_review_id,blind_frame_id,blind_family_id,family_id,raw_strongest_response_position_cn,raw_visible_component_count,raw_shape_and_orientation_cn,raw_internal_blank_cn,raw_neighbor_response_cn,raw_bbox_boundary_adequacy_cn,raw_vehicle_response_support,raw_background_support,raw_unresolved,raw_decisive_reason_cn,raw_alternative_explanation_cn,raw_confidence,raw_png
R21RAW0001,R21_BLIND_FRAME_027,R21_BLIND_FAMILY_001,R21F00001,框内偏左上是一条很短的水平亮段，右下没有成组回波,1-2,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00001在27帧判为未决：框内偏左上是一条很短的水平亮段，右下没有成组回波；可见组件数1-2；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00001的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.34,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0002,R21_BLIND_FRAME_028,R21_BLIND_FAMILY_002,R21F00002,框内上沿偏左有短亮条，右半部主要是弱纹理,1,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00002在28帧倾向于未决：框内上沿偏左有短亮条，右半部主要是弱纹理；可见组件数1；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00002的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.34,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0003,R21_BLIND_FRAME_029,R21_BLIND_FAMILY_003,R21F00003,框内中上部有散点和右侧弱竖痕，下半部留出较大暗区,4,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00003在29帧记录为未决：框内中上部有散点和右侧弱竖痕，下半部留出较大暗区；可见组件数4；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00003的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0004,R21_BLIND_FRAME_030,R21_BLIND_FAMILY_004,R21F00004,框内中上到右中出现多段弱亮斑，左下仍有明显空白,3-4,有横向主体和端部/侧边的弱配对关系，形态接近局部车辆响应,主体附近有暗缝但亮点间存在弱连接，不是完全空框,邻近背景仍存在，不过框内多个亮点的相对位置更像同一局部响应,框边界覆盖主体亮点和弱端部，仍有少量不确定外延,true,false,false,R21F00004在30帧归入车辆响应支持：框内中上到右中出现多段弱亮斑，左下仍有明显空白；可见组件数3-4；框边界覆盖主体亮点和弱端部，仍有少量不确定外延。,R21F00004的替代解释：替代解释是背景线叠加强散点；但多点相对位置比单一弧线更集中。这一判断只使用raw灰度和白色候选框。,0.66,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0005,R21_BLIND_FRAME_031,R21_BLIND_FAMILY_005,R21F00005,框内左中和下沿有数个离散亮点，右侧邻近一片强背景带,2,局部端点或侧边样回波可见，但只覆盖车辆的一小段,局部回波之间仍有暗缝，支持部件多于完整车体,邻近横线和竖线会干扰判断，但框内局部亮点相对集中,框边界适合局部部件，但不能作为完整车辆响应框,true,false,false,R21F00005在31帧保留为车辆响应支持：框内左中和下沿有数个离散亮点，右侧邻近一片强背景带；可见组件数2；框边界适合局部部件，但不能作为完整车辆响应框。,R21F00005的替代解释：替代解释是车辆局部部件与附近背景线重叠，尚不足以闭合整车。这一判断只使用raw灰度和白色候选框。,0.61,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0006,R21_BLIND_FRAME_032,R21_BLIND_FAMILY_006,R21F00006,框内中央偏左只有小亮块，周围响应断续,2,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00006在32帧判为未决：框内中央偏左只有小亮块，周围响应断续；可见组件数2；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00006的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.34,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0007,R21_BLIND_FRAME_034,R21_BLIND_FAMILY_007,R21F00007,框内中部短斜亮条最突出，左下另有孤立亮点,3,局部端点或侧边样回波可见，但只覆盖车辆的一小段,局部回波之间仍有暗缝，支持部件多于完整车体,邻近横线和竖线会干扰判断，但框内局部亮点相对集中,框边界适合局部部件，但不能作为完整车辆响应框,true,false,false,R21F00007在34帧倾向于车辆响应支持：框内中部短斜亮条最突出，左下另有孤立亮点；可见组件数3；框边界适合局部部件，但不能作为完整车辆响应框。,R21F00007的替代解释：替代解释是车辆局部部件与附近背景线重叠，尚不足以闭合整车。这一判断只使用raw灰度和白色候选框。,0.61,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0008,R21_BLIND_FRAME_039,R21_BLIND_FAMILY_008,R21F00008,框内下中有强竖向亮带，上方弧线横穿候选区域,4+,线状或弧状响应占主导，方向随场景弧线延伸,线状亮带两侧空白明显，主体区域没有块状填实,邻近背景弧线连续性强，是最主要的替代结构,框边界沿线状背景展开，过宽地接收了弧线连续段,false,true,false,R21F00008在39帧记录为背景支持：框内下中有强竖向亮带，上方弧线横穿候选区域；可见组件数4+；框边界沿线状背景展开，过宽地接收了弧线连续段。,R21F00008的替代解释：替代解释是场景中的连续弧线或长侧线穿过候选框。这一判断只使用raw灰度和白色候选框。,0.58,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0009,R21_BLIND_FRAME_040,R21_BLIND_FAMILY_009,R21F00009,框内靠右的水平弧线与下方弱块并存，最亮处贴近弧线,3,线状或弧状响应占主导，方向随场景弧线延伸,线状亮带两侧空白明显，主体区域没有块状填实,邻近背景弧线连续性强，是最主要的替代结构,框边界沿线状背景展开，过宽地接收了弧线连续段,false,true,false,R21F00009在40帧归入背景支持：框内靠右的水平弧线与下方弱块并存，最亮处贴近弧线；可见组件数3；框边界沿线状背景展开，过宽地接收了弧线连续段。,R21F00009的替代解释：替代解释是场景中的连续弧线或长侧线穿过候选框。这一判断只使用raw灰度和白色候选框。,0.58,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0010,R21_BLIND_FRAME_040,R21_BLIND_FAMILY_010,R21F00010,框内靠右的水平弧线与下方弱块并存，最亮处贴近弧线,4+,线状或弧状响应占主导，方向随场景弧线延伸,线状亮带两侧空白明显，主体区域没有块状填实,邻近背景弧线连续性强，是最主要的替代结构,框边界沿线状背景展开，过宽地接收了弧线连续段,false,true,false,R21F00010在40帧保留为背景支持：框内靠右的水平弧线与下方弱块并存，最亮处贴近弧线；可见组件数4+；框边界沿线状背景展开，过宽地接收了弧线连续段。,R21F00010的替代解释：替代解释是场景中的连续弧线或长侧线穿过候选框。这一判断只使用raw灰度和白色候选框。,0.57,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
