review_item_id,merge_candidate_id,scene_id,from_target_family_id,from_frame_start,from_frame_end,to_target_family_id,to_frame_start,to_frame_end,multicar_merge_gate_status,sequence_reason_codes,from_competing_frame_count,to_competing_frame_count,from_competing_x_bins,to_competing_x_bins,from_contrast_recommendation,to_contrast_recommendation,human_review_question,required_evidence,auto_merge_allowed,review_required,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
MRQ001,GM_RM011_WGV12M001,GM_RM011,GM_RM011_WGV12TF001,0,4,GM_RM011_WGV12TF002,8,9,review_only_competing_candidates_present,endpoint_review_required,5,1,right,mid,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
MRQ002,GM_RM011_WGV12M003,GM_RM011,GM_RM011_WGV12TF003,10,10,GM_RM011_WGV12TF004,13,16,review_only_competing_candidates_present,endpoint_review_required,1,3,mid,mid,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
MRQ003,GM_RM011_WGV12M004,GM_RM011,GM_RM011_WGV12TF004,13,16,GM_RM011_WGV12TF005,18,25,review_only_competing_candidates_present,endpoint_review_required,3,7,mid,left,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
MRQ004,GM_RM011_WGV12M005,GM_RM011,GM_RM011_WGV12TF005,18,25,GM_RM011_WGV12TF006,31,35,review_only_competing_candidates_present,endpoint_center_offset_review;endpoint_spatial_bin_change;endpoint_review_required,7,5,left,right,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
MRQ005,GM_RM011_WGV12M006,GM_RM011,GM_RM011_WGV12TF008,151,161,GM_RM011_WGV12TF009,164,166,review_only_competing_candidates_present,endpoint_review_required,6,1,left;right,right,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
MRQ006,GM_RM011_WGV12M008,GM_RM011,GM_RM011_WGV12TF011,233,233,GM_RM011_WGV12TF012,236,239,review_only_competing_candidates_present,endpoint_review_required,1,3,left,left,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
MRQ007,GM_RM011_WGV12M014,GM_RM011,GM_RM011_WGV12TF017,265,266,GM_RM011_WGV12TF018,269,270,review_only_competing_candidates_present,endpoint_review_required,1,1,right,right,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
MRQ008,GM_RM011_WGV12M015,GM_RM011,GM_RM011_WGV12TF018,269,270,GM_RM011_WGV12TF019,279,288,review_only_competing_candidates_present,endpoint_spatial_bin_change;endpoint_review_required,1,2,right,left;mid,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
MRQ009,GM_RM017_WGV12M001,GM_RM017,GM_RM017_WGV12TF001,118,144,GM_RM017_WGV12TF002,145,148,review_only_competing_candidates_present,endpoint_review_required,5,4,left;right,left,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
MRQ010,GM_RM017_WGV12M005,GM_RM017,GM_RM017_WGV12TF005,158,158,GM_RM017_WGV12TF006,164,168,review_only_competing_candidates_present,endpoint_review_required,1,5,left;right,left;mid;right,review_competing_candidates_before_merge,review_competing_candidates_before_merge,Do the from/to target families keep the same real-vehicle referent after comparing competing candidates?,review selected primary frames together with same-frame competing candidates;check center/area/class/x_bin continuity,no,yes,no / blocked,yes,yes,candidate for vehicle-centric diagnostic review pack;not identity truth
