scene_id,candidate_node_id,detector_source,frame_start,frame_end,covered_frame_count,missing_frame_count,vehicle_body_coverage_summary,multi_box_competition_flag,related_baseline_node_id,diagnostic_status,review_required_flag,boundary_flags,note
GM_RM011,GM_RM011_Y26N001,yolo26l,0,4,5,0,large_lower_vehicle_body_proxy=5/5; selected_candidate_frames=5/5,yes,GM_RM011_N012,diagnostic_body_candidate,no_standard_review_still_required,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,"Early white SUV rear/body candidate; diagnostic only, not final box, not SAR-ready."
GM_RM011,GM_RM011_Y26N002,yolo26l,8,10,3,0,large_lower_vehicle_body_proxy=3/3; selected_candidate_frames=3/3,yes,GM_RM011_N013,diagnostic_body_candidate_review,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,YOLO26l upgrades baseline upper-window strip into body-visible candidate; needs human review.
GM_RM011,GM_RM011_Y26N003,yolo26l,13,16,4,0,large_lower_vehicle_body_proxy=4/4; selected_candidate_frames=4/4,yes,GM_RM011_N001,diagnostic_body_candidate,no_standard_review_still_required,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Short strong-edge source candidate for white vehicle front/windshield.
GM_RM011,GM_RM011_Y26N004,yolo26l,18,35,18,0,large_lower_vehicle_body_proxy=18/18; selected_candidate_frames=18/18,yes,GM_RM011_N002,diagnostic_body_candidate,no_standard_review_still_required,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,"Short strong-edge target candidate; baseline already usable, YOLO26l is review support."
GM_RM011,GM_RM011_Y26N005,yolo26l,135,161,27,0,large_lower_vehicle_body_proxy=22/27; selected_candidate_frames=27/27,yes,GM_RM011_N008,diagnostic_review_only_candidate,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Right-edge review candidate; detector-only cannot solve thin crop risk.
GM_RM011,GM_RM011_Y26N006,yolo26l,164,166,3,0,large_lower_vehicle_body_proxy=0/3; selected_candidate_frames=3/3,yes,GM_RM011_N009,diagnostic_thin_crop_candidate,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Thin right-edge candidate; keep review_required.
GM_RM011,GM_RM011_Y26N007,yolo26l,231,233,3,0,large_lower_vehicle_body_proxy=3/3; selected_candidate_frames=3/3,yes,GM_RM011_N010,diagnostic_body_candidate_review,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Part-transition source candidate; YOLO26l improves body visibility.
GM_RM011,GM_RM011_Y26N008,yolo26l,236,245,8,2,large_lower_vehicle_body_proxy=8/10; selected_candidate_frames=8/10,yes,GM_RM011_N011,diagnostic_body_candidate_review,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Part-transition target candidate; needs same-vehicle human review.
GM_RM011,GM_RM011_Y26N009,yolo26l,237,270,30,4,large_lower_vehicle_body_proxy=30/34; selected_candidate_frames=30/34,yes,GM_RM011_N007;GM_RM011_N003,diagnostic_visible_body_node_candidate,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,"New YOLO26l visible white-body node candidate for previous visible_unboxed_vehicle_gap; not final box, not revised annotation, not SAR-ready, needs human review."
GM_RM011,GM_RM011_Y26N010,yolo26l,262,270,7,2,large_lower_vehicle_body_proxy=7/9; selected_candidate_frames=7/9,yes,GM_RM011_N003,diagnostic_handoff_fragment_candidate,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Candidate fragment overlapping baseline N003; do not auto-connect from N007.
GM_RM011,GM_RM011_Y26N011,yolo26l,279,281,3,0,large_lower_vehicle_body_proxy=3/3; selected_candidate_frames=3/3,yes,GM_RM011_N004,diagnostic_body_candidate,no_standard_review_still_required,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Central white vehicle front/window candidate; baseline strong edge remains usable.
GM_RM011,GM_RM011_Y26N012,yolo26l,283,292,10,0,large_lower_vehicle_body_proxy=10/10; selected_candidate_frames=10/10,yes,GM_RM011_N005,diagnostic_body_candidate,no_standard_review_still_required,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Central white vehicle continuation candidate; review support only.
GM_RM011,GM_RM011_Y26N013,yolo26l,283,292,4,6,left_edge_competitor_proxy=4/10; selected_candidate_frames=4/10,yes,GM_RM011_N006,diagnostic_forbidden_context_candidate,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Left-edge/competitor context candidate for forbidden guard; detector-only cannot decide identity.
GM_RM017,GM_RM017_Y26N001,yolo26l,121,129,9,0,vehicle_candidate_frames=9/9; body_proxy=n/a_for_GM_RM017,yes,GM_RM017_N005,diagnostic_non_vehicle_exclusion_review,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,YOLO26l candidate around non-vehicle exclusion; still not a vehicle-promotion node.
GM_RM017,GM_RM017_Y26N002,yolo26l,118,164,47,0,vehicle_candidate_frames=47/47; body_proxy=n/a_for_GM_RM017,yes,GM_RM017_N004,diagnostic_context_candidate_review,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Large/context-vehicle window candidate; not promoted to target identity.
GM_RM017,GM_RM017_Y26N003,yolo26l,145,185,41,0,vehicle_candidate_frames=41/41; body_proxy=n/a_for_GM_RM017,yes,GM_RM017_N001,diagnostic_dark_vehicle_candidate_review,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Leading dark sedan candidate family; detector-only cannot decide forbidden relation.
GM_RM017,GM_RM017_Y26N004,yolo26l,151,200,50,0,vehicle_candidate_frames=50/50; body_proxy=n/a_for_GM_RM017,yes,GM_RM017_N002,diagnostic_white_suv_candidate_review,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,White SUV fragment candidate family; needs human same-vehicle review.
GM_RM017,GM_RM017_Y26N005,yolo26l,162,214,53,0,vehicle_candidate_frames=53/53; body_proxy=n/a_for_GM_RM017,yes,GM_RM017_N003,diagnostic_trailing_dark_vehicle_candidate_review,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Trailing dark sedan candidate family; keep separate from leading dark sedan until reviewed.
