counterexample_id,error_pattern,scene,vehicle_ids,frame_range,claimed_but_invalid_interpretation,direct_counterevidence,why_invalid,historical_stage,prevented_future_behavior,canonical_evidence_path,source_evidence_path,status
CE001,fixed_tangent_cross_vehicle_generalization,GM_RM017,PV002;PV003;PV004,330-350,PV002 的近水平下侧长响应可作为三车统一固定切线。,PV003 响应更弱更碎；PV004 长期无同等主带且斜线背景更强。,单车局部显现不能成为跨车辆散射模板。,RSA1-A0 / earlier fixed-tangent route,禁止固定切线、固定部件数量和跨车模板。,docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p02.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p01.png,ACTIVE_CORRECTION
CE002,high_frequency_background_as_vehicle_part,GM_RM019,PV001;PV002,0-90,高频出现的竖线、圆弧或热点是稳定车辆部件。,这些结构跨车辆进入、重叠和退出持续。,高频只描述像素出现，不提供车辆所有权。,S1X/RSA0 temporal channels,禁止频率图或 component continuity 直接实体化。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p04.png,ACTIVE_CORRECTION
CE003,background_persists_after_vehicle_exit,GM_RM019,PV001,8-35,车辆退出后仍持续的亮结构属于车辆响应传播。,PV001 optical 14 后退出，SAR 35 中竖线、圆弧和热点仍在。,背景生命周期独立于车辆生命周期。,temporal propagation interpretations,必须保存 SceneBackgroundStructure 和退出后持续关系。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p02.png,ACTIVE_CORRECTION
CE004,duplicate_same_id_box_as_single_vehicle_motion,GM_RM017;GM_RM019,PV003;PV004;PV001;PV002,GM17 335/336/429/438; GM19 0/4/31,同 ID 双框的 5-7 m 分离是单车正常移动或响应传播。,同帧中心分离约 4.74-6.75 m，超出同车单帧合理解释。,标签冲突不能由连续性或亮度自动填平。,GT identity linkage,保存 DUPLICATE_SAME_ID_BOX 和 IDENTITY_LINK_CONFLICT。,docs/reviews/assets/20260718_rsa2_o1_canonical/E04_GM17_IDENTITY_GEOMETRY_CONFLICT_335_337.png;docs/reviews/assets/20260718_rsa2_o1_canonical/E05_GM19_MULTIVEHICLE_EXCLUSIVITY_27_31.png;docs/reviews/assets/20260718_rsa2_o1_canonical/E07_SAR_METRIC_GRID_SCALE_REFERENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png,ACTIVE_CORRECTION
CE005,optical_identity_fills_sar_gt_gap,GM_RM017;GM_RM019,GM17 PV003/PV004; GM19 PV002,395-417;395-428;32-76,光学同车身份继续即可插值得到 SAR 中心、框或像素归属。,这些区间无直接 SAR GT，现有图仅是插值/最近锚点裁剪。,光学身份与 SAR 几何/归属是不同状态。,identity and GT-gap handling,GT 缺口保持 UNKNOWN，不得插值成真值。,docs/reviews/assets/20260718_rsa2_o1_canonical/E06_GT_GAP_IS_NOT_SAR_OBSERVATION.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p04.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p03.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p02.png,ACTIVE_CORRECTION
CE006,multiframe_union_as_complete_object,GM_RM017;GM_RM019,PV002;PV003;PV004;PV001,full reviewed lifecycles,多帧并集就是完整车辆响应对象。,车辆位置变化、背景持续、多车竞争和 GT 缺口会被并集合并。,并集丢失身份、排他、时间范围和背景反证。,multiframe aggregation,只保存关系，不将并集实体化。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png;docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png;docs/reviews/assets/20260718_rsa2_o1_canonical/E06_GT_GAP_IS_NOT_SAR_OBSERVATION.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p03.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p04.png,ACTIVE_CORRECTION
CE007,multiframe_intersection_as_core,GM_RM017;GM_RM019,PV002;PV003;PV002,330-350;338-394;27/31/77/81/88,多帧交集可以定义稳定车辆核心。,真实局部响应间歇出现、强弱交替并改变位置；弱帧会删除真实信息。,交集把互补和不完整显现误判为不存在。,temporal support core,禁止多帧交集核心替代关系语义。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png;docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p02.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png,ACTIVE_CORRECTION
CE008,temporal_max_amplifies_hotspot,GM_RM019,PV001;PV002,0-90,多帧最大值能够恢复车辆完整响应。,固定热点、竖线和圆弧在全生命线内持续且强。,最大值会优先保留场景强背景。,max-template aggregation,禁止最大值模板作为对象证据。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p04.png,ACTIVE_CORRECTION
CE009,vehicle_coordinate_alignment_removes_background,GM_RM017;GM_RM019,PV002;PV003;PV004,330/339/344/350;27/31/77/88,车辆坐标对齐后背景会自动消失，剩余结构可当车辆模板。,对齐图中仍可见竖线、斜线、圆弧和热点；裁剪/旋转还会制造相似感。,坐标变换不改变像素所有权。,RSA0/RSA2 vehicle-coordinate review,所有对齐图必须与原始上下文并排且标记观察辅助。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png;docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png;docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png,ACTIVE_CORRECTION
CE010,gt_box_as_visible_response_mask,GM_RM017;GM_RM019,all reviewed,all reviewed anchors,GT 框内所有亮响应都属于车辆，GT 框就是可见响应 Mask。,GT 内常只有稀疏局部响应，并混有背景；部分车辆几乎无主带。,GT 是研究期物理范围参考，不是响应边界。,S1X/RSA0 object semantics,分开 sar_geometry_known、sar_local_response_observed、sar_response_attribution_supported、sar_response_boundary_known。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png;docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png;docs/reviews/assets/20260718_rsa2_o1_canonical/E07_SAR_METRIC_GRID_SCALE_REFERENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p01.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png,ACTIVE_CORRECTION
