gate_id,status,evidence,notes
WORKTREE_BRANCH_VALID,PASS,branch=feature/oty2-gm017-physical-factor-discovery;head=593f89894d36dfcf8da1a7a2d97c1d24355ef39f,
P0_D1_D1_R1_FROZEN_UNCHANGED,PASS,P0=git diff --quiet 1a3edd9 -- P0 frozen artifact paths; D1=git diff --quiet 57a82b1 -- D1 frozen artifact paths; D1_R1=git diff --quiet 593f898 -- D1_R1 frozen artifact paths,
PRE_EVAL_SEAL_VALID,PASS,seal ok,
FROZEN_REPLAY_IDENTICAL,PASS,replay_rows=8,
METRIC_COORDINATE_MAPPING_AVAILABLE,NOT_READY,pixel_to_range_meter_mapping and pixel_to_azimuth_meter_mapping unresolved,
RADAR_ORIGIN_PROVENANCE_VALID,PASS,"fan center from configs/scene_config.yaml: 1154.0,1330.6",
RANGE_AZIMUTH_AXES_VALID,PASS,local pixel range axis fan-center-to-GT-center and perpendicular azimuth axis generated per frame,
PIXEL_TO_METER_CONVERSION_VALID,NOT_READY,P0 0.03 is recorded as p0_convention_m only,
GT_METRIC_SIZE_TEMPORALLY_STABLE,PASS_PIXEL_AND_P0_CONVENTION_ONLY,GT width/height stable in pixels; true meters NOT_EVALUABLE,
BODY_SIZE_REFERENCE_FROZEN,PASS,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_vehicle_body_size_reference_20260712.csv,
BODY_LENGTH_COMPATIBILITY_IMPLEMENTED,PASS,length/width/area ratios are recorded in region manifest and feature table,
BODY_WIDTH_COMPATIBILITY_IMPLEMENTED,PASS,same,
BODY_AREA_COMPATIBILITY_IMPLEMENTED,PASS,area_ratio_to_gt recorded for every region,
RESPONSE_EXTENT_SEPARATED_FROM_BODY_EXTENT,PASS,feature table records response support widths separately from GT body extents,
PERTURBATION_GRID_FROZEN,PASS,"region_count=7272; family_counts={'GT_ORIGINAL': 72, 'SCALE': 2160, 'DIRECTIONAL_EXPANSION': 504, 'INTERNAL_CROP': 432, 'TRANSLATION': 2592, 'ROTATION': 792, 'RING': 288, 'BACKGROUND_CONTROL': 432}",
SCALE_COMPARISON_COMPLETE,PASS,scale_regions=2160,
TRANSLATION_COMPARISON_COMPLETE,PASS,translation_regions=2592,
ROTATION_COMPARISON_COMPLETE,PASS,rotation_regions=792,
DIRECTIONAL_EXPANSION_COMPLETE,PASS,directional_regions=504,
RING_COMPARISON_COMPLETE,PASS,ring_regions=288,
SAME_AREA_BACKGROUND_COMPLETE,PASS,background_regions=432,
HARD_NEGATIVE_COMPARISON_COMPLETE,PASS,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_hard_negative_comparison_20260712.csv,
AREA_NORMALIZATION_COMPLETE,PASS,mean_energy/high_energy_fraction/occupancy retained alongside total_energy,
PIXEL_GT_NORMALIZED_METRIC_ABLATION_COMPLETE,PASS,pixel and GT-normalized evaluated; metric arm explicitly NOT_EVALUABLE,
MASK_CENSORING_AUDIT_COMPLETE,PASS,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,
TEMPORAL_STABILITY_AUDIT_COMPLETE,PASS,target_gt_rows=72;unique_sar_frames=71;SAR336 has two GT rows,
VISUAL_REVIEW_GROUNDED,PASS,visual_rows=14,
VEHICLE_REGION_PHYSICAL_SEPARABILITY_SUPPORTED,NOT_READY,hard negatives/background controls and metric-mapping gap prevent a supported claim,
ABSOLUTE_SCALE_ADDS_DISCRIMINATIVE_VALUE,NOT_EVALUABLE,true metric mapping and SAR resolution unavailable,
E0_READY_FOR_GENERALIZATION,NOT_READY,E0 is GM_RM017 posthoc diagnosis; absolute metric and hard-negative gates are not closed,
