review_id,sar_frame,review_object_type,object_id,parent_object_ids,proposed_role,same_vehicle_support,background_support,uncertain,physical_reason_cn,temporal_reason_cn,rejection_reason_cn,runtime_png,eval_png
RV8A_001,27,vehicle_structure_hypothesis,S8A_F027_001,A8A_F027_002;A8A_F027_003,body_core;unresolved_atom,true,false,false,白车 27-31 底部局部响应可见短脊线/核心/端点候选；body_core;unresolved_atom 形成几何像素尺度结构，目标框未参与角色赋值。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_002,28,vehicle_structure_hypothesis,S8A_F028_002,A8A_F028_002;A8A_F028_007,body_core;unresolved_atom,true,false,false,白车 27-31 底部局部响应可见短脊线/核心/端点候选；body_core;unresolved_atom 形成几何像素尺度结构，目标框未参与角色赋值。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_003,29,vehicle_structure_hypothesis,S8A_F029_003,A8A_F029_001;A8A_F029_003,side_ridge;unresolved_atom,true,false,false,白车 27-31 底部局部响应可见短脊线/核心/端点候选；side_ridge;unresolved_atom 形成几何像素尺度结构，目标框未参与角色赋值。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_004,30,vehicle_structure_hypothesis,S8A_F030_004,A8A_F030_001;A8A_F030_003,side_ridge;unresolved_atom,true,false,false,白车 27-31 底部局部响应可见短脊线/核心/端点候选；side_ridge;unresolved_atom 形成几何像素尺度结构，目标框未参与角色赋值。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_005,31,vehicle_structure_hypothesis,S8A_F031_005,A8A_F031_001;A8A_F031_004,side_ridge;unresolved_atom,true,false,false,白车 27-31 底部局部响应可见短脊线/核心/端点候选；side_ridge;unresolved_atom 形成几何像素尺度结构，目标框未参与角色赋值。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_006,32,vehicle_structure_hypothesis,S8A_F032_006,A8A_F032_002;A8A_F032_003,side_ridge;unresolved_atom,false,false,true,图上对象 side_ridge;unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_negative_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_007,40,vehicle_structure_hypothesis,S8A_F040_007,A8A_F040_004;A8A_F040_005,body_core;unresolved_atom,false,false,true,图上对象 body_core;unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_negative_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_008,46,vehicle_structure_hypothesis,S8A_F046_008,A8A_F046_001;A8A_F046_004,body_core;unresolved_atom,false,false,true,图上对象 body_core;unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_negative_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_009,60,vehicle_structure_hypothesis,S8A_F060_009,A8A_F060_002,unresolved_atom,false,true,false,图上对象更符合 unresolved_atom 的背景/孤立响应，缺少车辆尺度闭合。,负向/不确定窗口不允许跨长缺口声称同车恢复。,尺度、空白或孤立性不足以支持车辆结构。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_negative_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_010,77,vehicle_structure_hypothesis,S8A_F077_010,A8A_F077_001,unresolved_atom,false,true,false,图上对象更符合 unresolved_atom 的背景/孤立响应，缺少车辆尺度闭合。,负向/不确定窗口不允许跨长缺口声称同车恢复。,尺度、空白或孤立性不足以支持车辆结构。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_negative_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
