review_item_id,scene_id,merge_candidate_id,from_target_family_id,to_target_family_id,from_endpoint_frame,to_endpoint_frame,gap_frame_count,endpoint_iou,endpoint_intersection_over_min_area,endpoint_center_distance_px,endpoint_center_distance_norm,endpoint_area_ratio,from_class,to_class,from_x_bin,to_x_bin,class_match,x_bin_match,to_target_rank_among_to_frame_candidates,to_target_best_score,best_to_frame_candidate_id,best_to_frame_candidate_class,best_to_frame_candidate_x_bin,best_to_frame_association_score,same_frame_to_best_iou,same_frame_to_best_intersection_over_min_area,same_frame_to_best_center_distance_norm,same_frame_to_best_area_ratio,same_frame_to_best_same_object_flag,association_score,competition_margin,tracking_association_mode,tracking_style_decision,decision_confidence,reason_codes,mechanism_rule,review_note,auto_merge_allowed,sar_ready,not_final_box_flag,not_revised_annotation_flag
MRQ001,GM_RM011,GM_RM011_WGV12M001,GM_RM011_WGV12TF001,GM_RM011_WGV12TF002,4,8,3,0.671,0.916,61.6,0.103,1.280,car,car,mid,mid,yes,yes,1,0.814,GM_RM011_000008_001,car,mid,0.814,1.000,1.000,0.000,1.000,same_candidate,0.814,0.000,best_local_continuation,diagnostic_same_vehicle_candidate_supported,medium,class_support;endpoint_overlap_support;normalized_center_support;scale_support;to_target_best_match;x_bin_support,local_tracking_association_supports_review_candidate,Endpoint association supports keeping this as a diagnostic same-vehicle candidate; still not final identity truth.,no,no / blocked,yes,yes
MRQ002,GM_RM011,GM_RM011_WGV12M003,GM_RM011_WGV12TF003,GM_RM011_WGV12TF004,10,13,2,0.853,0.979,24.1,0.040,1.126,car,car,mid,mid,yes,yes,2,0.913,GM_RM011_000013_002,car,mid,0.923,0.884,0.961,0.059,1.048,same_object_duplicate_or_better_box,0.913,-0.010,same_object_duplicate_resolution,same_object_better_box_primary_selection_issue,medium,class_support;competing_candidate_better_match;endpoint_overlap_support;normalized_center_support;same_object_duplicate_or_better_box;scale_support;x_bin_support,resolve_duplicate_candidate_before_identity_split,"The best-scoring competing box overlaps the proposed to-target on the same visible vehicle. Treat this as diagnostic primary-box selection, not as different-vehicle evidence.",no,no / blocked,yes,yes
MRQ003,GM_RM011,GM_RM011_WGV12M004,GM_RM011_WGV12TF004,GM_RM011_WGV12TF005,16,18,1,0.944,0.998,7.8,0.014,1.056,car,car,mid,mid,yes,yes,1,0.965,GM_RM011_000018_001,car,mid,0.965,1.000,1.000,0.000,1.000,same_candidate,0.965,0.000,best_local_continuation,diagnostic_same_vehicle_candidate_supported,medium,class_support;endpoint_overlap_support;normalized_center_support;scale_support;to_target_best_match;x_bin_support,local_tracking_association_supports_review_candidate,Endpoint association supports keeping this as a diagnostic same-vehicle candidate; still not final identity truth.,no,no / blocked,yes,yes
MRQ004,GM_RM011,GM_RM011_WGV12M005,GM_RM011_WGV12TF005,GM_RM011_WGV12TF006,25,31,5,0.000,0.000,431.3,1.108,1.925,car,car,right,left,yes,no,2,0.225,GM_RM011_000031_002,car,right,0.740,0.000,0.000,1.339,4.099,spatially_distinct_competing_vehicle,0.225,-0.515,distinct_competitor_wins,keep_separate_competing_candidate_better,medium,class_support;competing_candidate_better_match;normalized_center_too_far;scale_support;spatially_distinct_competing_vehicle;x_bin_change_review,spatially_distinct_competing_candidate_wins_local_association,A spatially distinct competing candidate in the to frame matches the from endpoint better than the proposed to target.,no,no / blocked,yes,yes
MRQ005,GM_RM011,GM_RM011_WGV12M006,GM_RM011_WGV12TF008,GM_RM011_WGV12TF009,161,164,2,0.224,0.998,63.5,0.215,4.456,car,car,right,right,yes,yes,1,0.707,GM_RM011_000164_001,car,right,0.707,1.000,1.000,0.000,1.000,same_candidate,0.707,0.000,best_local_continuation,diagnostic_same_vehicle_candidate_supported,medium,class_support;endpoint_overlap_support;normalized_center_support;scale_change_review;to_target_best_match;x_bin_support,local_tracking_association_supports_review_candidate,Endpoint association supports keeping this as a diagnostic same-vehicle candidate; still not final identity truth.,no,no / blocked,yes,yes
MRQ006,GM_RM011,GM_RM011_WGV12M008,GM_RM011_WGV12TF011,GM_RM011_WGV12TF012,233,236,2,0.950,0.998,7.8,0.014,1.048,car,car,mid,mid,yes,yes,1,0.969,GM_RM011_000236_001,car,mid,0.969,1.000,1.000,0.000,1.000,same_candidate,0.969,0.000,best_local_continuation,diagnostic_same_vehicle_candidate_supported,medium,class_support;endpoint_overlap_support;normalized_center_support;scale_support;to_target_best_match;x_bin_support,local_tracking_association_supports_review_candidate,Endpoint association supports keeping this as a diagnostic same-vehicle candidate; still not final identity truth.,no,no / blocked,yes,yes
MRQ007,GM_RM011,GM_RM011_WGV12M014,GM_RM011_WGV12TF017,GM_RM011_WGV12TF018,266,269,2,0.643,0.992,78.8,0.159,1.534,car,car,left,left,yes,yes,1,0.797,GM_RM011_000269_001,car,left,0.797,1.000,1.000,0.000,1.000,same_candidate,0.797,0.000,best_local_continuation,diagnostic_same_vehicle_candidate_supported,medium,class_support;endpoint_overlap_support;normalized_center_support;scale_support;to_target_best_match;x_bin_support,local_tracking_association_supports_review_candidate,Endpoint association supports keeping this as a diagnostic same-vehicle candidate; still not final identity truth.,no,no / blocked,yes,yes
MRQ008,GM_RM011,GM_RM011_WGV12M015,GM_RM011_WGV12TF018,GM_RM011_WGV12TF019,270,279,8,0.741,0.984,54.2,0.092,1.312,car,car,left,mid,yes,no,1,0.796,GM_RM011_000279_001,car,mid,0.796,1.000,1.000,0.000,1.000,same_candidate,0.796,0.232,best_local_continuation,diagnostic_same_vehicle_candidate_supported,medium,class_support;endpoint_overlap_support;normalized_center_support;scale_support;to_target_best_match;x_bin_change_review,local_tracking_association_supports_review_candidate,Endpoint association supports keeping this as a diagnostic same-vehicle candidate; still not final identity truth.,no,no / blocked,yes,yes
MRQ009,GM_RM017,GM_RM017_WGV12M001,GM_RM017_WGV12TF001,GM_RM017_WGV12TF002,144,145,0,0.750,0.873,18.4,0.117,1.037,truck,truck,mid,mid,yes,yes,1,0.867,GM_RM017_000145_001,truck,mid,0.867,1.000,1.000,0.000,1.000,same_candidate,0.867,0.742,best_local_continuation,diagnostic_same_vehicle_candidate_supported,medium,class_support;endpoint_overlap_support;normalized_center_support;scale_support;to_target_best_match;x_bin_support,local_tracking_association_supports_review_candidate,Endpoint association supports keeping this as a diagnostic same-vehicle candidate; still not final identity truth.,no,no / blocked,yes,yes
MRQ010,GM_RM017,GM_RM017_WGV12M005,GM_RM017_WGV12TF005,GM_RM017_WGV12TF006,158,164,5,0.405,0.685,76.4,0.350,1.374,car,car,left,left,yes,yes,2,0.672,GM_RM017_000164_003,car,left,0.740,0.118,0.470,0.515,3.447,same_object_duplicate_or_better_box,0.672,-0.068,same_object_duplicate_resolution,same_object_better_box_primary_selection_issue,medium,class_support;competing_candidate_better_match;endpoint_overlap_support;normalized_center_support;same_object_duplicate_or_better_box;scale_support;x_bin_support,resolve_duplicate_candidate_before_identity_split,"The best-scoring competing box overlaps the proposed to-target on the same visible vehicle. Treat this as diagnostic primary-box selection, not as different-vehicle evidence.",no,no / blocked,yes,yes
