transition_id,sar_frame,response_track_id,previous_evidence_state,current_evidence_state,highest_evidence_state_reached,support_observation_count,support_unique_frame_count,current_consecutive_support_frames,current_missing_frames,transition_reason
TRANS_D1_R1_000360_RT_D1_R1_0001_001,360,RT_D1_R1_0001,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0002_001,360,RT_D1_R1_0002,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0003_001,360,RT_D1_R1_0003,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0004_001,360,RT_D1_R1_0004,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0005_001,360,RT_D1_R1_0005,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0006_001,360,RT_D1_R1_0006,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0007_001,360,RT_D1_R1_0007,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0008_001,360,RT_D1_R1_0008,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0009_001,360,RT_D1_R1_0009,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0010_001,360,RT_D1_R1_0010,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000360_RT_D1_R1_0011_001,360,RT_D1_R1_0011,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,initialized_from_p0_state_360_supported_response_component
TRANS_D1_R1_000361_RT_D1_R1_0001_002,361,RT_D1_R1_0001,motion_shell_candidate,same_motion_candidate,same_motion_candidate,2,2,2,0,temporal_and_structure_supported_but_consecutive_support_not_yet_confirmed
TRANS_D1_R1_000361_RT_D1_R1_0002_001,361,RT_D1_R1_0002,motion_shell_candidate,temporarily_missing,motion_shell_candidate,1,1,0,1,track_missing_or_terminated
TRANS_D1_R1_000361_RT_D1_R1_0003_002,361,RT_D1_R1_0003,motion_shell_candidate,same_motion_candidate,same_motion_candidate,2,2,2,0,temporal_and_structure_supported_but_consecutive_support_not_yet_confirmed
TRANS_D1_R1_000361_RT_D1_R1_0004_002,361,RT_D1_R1_0004,motion_shell_candidate,same_motion_candidate,same_motion_candidate,2,2,2,0,temporal_and_structure_supported_but_consecutive_support_not_yet_confirmed
TRANS_D1_R1_000361_RT_D1_R1_0005_002,361,RT_D1_R1_0005,motion_shell_candidate,same_motion_candidate,same_motion_candidate,2,2,2,0,temporal_and_structure_supported_but_consecutive_support_not_yet_confirmed
TRANS_D1_R1_000361_RT_D1_R1_0006_001,361,RT_D1_R1_0006,motion_shell_candidate,temporarily_missing,motion_shell_candidate,1,1,0,1,track_missing_or_terminated
TRANS_D1_R1_000361_RT_D1_R1_0007_001,361,RT_D1_R1_0007,motion_shell_candidate,temporarily_missing,motion_shell_candidate,1,1,0,1,track_missing_or_terminated
TRANS_D1_R1_000361_RT_D1_R1_0008_001,361,RT_D1_R1_0008,motion_shell_candidate,temporarily_missing,motion_shell_candidate,1,1,0,1,track_missing_or_terminated
TRANS_D1_R1_000361_RT_D1_R1_0009_001,361,RT_D1_R1_0009,motion_shell_candidate,temporarily_missing,motion_shell_candidate,1,1,0,1,track_missing_or_terminated
TRANS_D1_R1_000361_RT_D1_R1_0010_001,361,RT_D1_R1_0010,motion_shell_candidate,temporarily_missing,motion_shell_candidate,1,1,0,1,track_missing_or_terminated
TRANS_D1_R1_000361_RT_D1_R1_0011_002,361,RT_D1_R1_0011,motion_shell_candidate,same_motion_candidate,same_motion_candidate,2,2,2,0,temporal_and_structure_supported_but_consecutive_support_not_yet_confirmed
TRANS_D1_R1_000361_RT_D1_R1_0012_001,361,RT_D1_R1_0012,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,new_motion_shell_candidate_created
TRANS_D1_R1_000362_RT_D1_R1_0001_002,362,RT_D1_R1_0001,same_motion_candidate,temporarily_missing,same_motion_candidate,2,2,0,1,track_missing_or_terminated
TRANS_D1_R1_000362_RT_D1_R1_0003_003,362,RT_D1_R1_0003,same_motion_candidate,same_motion_supported,same_motion_supported,3,3,3,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000362_RT_D1_R1_0004_003,362,RT_D1_R1_0004,same_motion_candidate,same_motion_supported,same_motion_supported,3,3,3,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000362_RT_D1_R1_0005_002,362,RT_D1_R1_0005,same_motion_candidate,temporarily_missing,same_motion_candidate,2,2,0,1,track_missing_or_terminated
TRANS_D1_R1_000362_RT_D1_R1_0007_002,362,RT_D1_R1_0007,temporarily_missing,reappearance_candidate,reappearance_candidate,2,2,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000362_RT_D1_R1_0011_003,362,RT_D1_R1_0011,same_motion_candidate,same_motion_supported,same_motion_supported,3,3,3,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000362_RT_D1_R1_0012_002,362,RT_D1_R1_0012,motion_shell_candidate,same_motion_candidate,same_motion_candidate,2,2,2,0,temporal_and_structure_supported_but_consecutive_support_not_yet_confirmed
TRANS_D1_R1_000362_RT_D1_R1_0013_001,362,RT_D1_R1_0013,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,new_motion_shell_candidate_created
TRANS_D1_R1_000363_RT_D1_R1_0005_003,363,RT_D1_R1_0005,temporarily_missing,reappearance_candidate,same_motion_candidate,3,3,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000363_RT_D1_R1_0007_003,363,RT_D1_R1_0007,reappearance_candidate,reappearance_provisionally_supported,reappearance_provisionally_supported,3,3,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000363_RT_D1_R1_0012_003,363,RT_D1_R1_0012,same_motion_candidate,same_motion_supported,same_motion_supported,3,3,3,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000363_RT_D1_R1_0013_002,363,RT_D1_R1_0013,motion_shell_candidate,same_motion_candidate,same_motion_candidate,2,2,2,0,temporal_and_structure_supported_but_consecutive_support_not_yet_confirmed
TRANS_D1_R1_000364_RT_D1_R1_0002_002,364,RT_D1_R1_0002,temporarily_missing,reappearance_candidate,reappearance_candidate,2,2,1,0,first_hit_after_missing_gap=3;not_auto_supported
TRANS_D1_R1_000364_RT_D1_R1_0005_003,364,RT_D1_R1_0005,reappearance_candidate,temporarily_missing,same_motion_candidate,3,3,0,1,track_missing_or_terminated
TRANS_D1_R1_000364_RT_D1_R1_0007_004,364,RT_D1_R1_0007,reappearance_provisionally_supported,reappeared_supported,reappeared_supported,4,4,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000364_RT_D1_R1_0013_003,364,RT_D1_R1_0013,same_motion_candidate,same_motion_supported,same_motion_supported,3,3,3,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000364_RT_D1_R1_0014_001,364,RT_D1_R1_0014,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,new_motion_shell_candidate_created
TRANS_D1_R1_000365_RT_D1_R1_0002_002,365,RT_D1_R1_0002,reappearance_candidate,temporarily_missing,reappearance_candidate,2,2,0,1,track_missing_or_terminated
TRANS_D1_R1_000365_RT_D1_R1_0007_004,365,RT_D1_R1_0007,reappeared_supported,temporarily_missing,reappeared_supported,4,4,0,1,track_missing_or_terminated
TRANS_D1_R1_000365_RT_D1_R1_0014_002,365,RT_D1_R1_0014,motion_shell_candidate,same_motion_candidate,same_motion_candidate,2,2,2,0,temporal_and_structure_supported_but_consecutive_support_not_yet_confirmed
TRANS_D1_R1_000366_RT_D1_R1_0002_003,366,RT_D1_R1_0002,temporarily_missing,reappearance_candidate,reappearance_candidate,3,3,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000366_RT_D1_R1_0005_004,366,RT_D1_R1_0005,temporarily_missing,reappearance_candidate,same_motion_candidate,4,4,1,0,first_hit_after_missing_gap=2;not_auto_supported
TRANS_D1_R1_000366_RT_D1_R1_0014_003,366,RT_D1_R1_0014,same_motion_candidate,same_motion_supported,same_motion_supported,3,3,3,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000367_RT_D1_R1_0002_004,367,RT_D1_R1_0002,reappearance_candidate,reappearance_provisionally_supported,reappearance_provisionally_supported,4,4,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000367_RT_D1_R1_0005_005,367,RT_D1_R1_0005,reappearance_candidate,reappearance_provisionally_supported,same_motion_candidate,5,5,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000367_RT_D1_R1_0007_005,367,RT_D1_R1_0007,temporarily_missing,reappearance_candidate,reappeared_supported,5,5,1,0,first_hit_after_missing_gap=2;not_auto_supported
TRANS_D1_R1_000367_RT_D1_R1_0015_001,367,RT_D1_R1_0015,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,new_motion_shell_candidate_created
TRANS_D1_R1_000368_RT_D1_R1_0002_004,368,RT_D1_R1_0002,reappearance_provisionally_supported,temporarily_missing,reappearance_provisionally_supported,4,4,0,1,track_missing_or_terminated
TRANS_D1_R1_000368_RT_D1_R1_0005_006,368,RT_D1_R1_0005,reappearance_provisionally_supported,reappeared_supported,reappeared_supported,6,6,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000368_RT_D1_R1_0007_006,368,RT_D1_R1_0007,reappearance_candidate,reappearance_provisionally_supported,reappeared_supported,6,6,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000368_RT_D1_R1_0015_001,368,RT_D1_R1_0015,motion_shell_candidate,temporarily_missing,motion_shell_candidate,1,1,0,1,track_missing_or_terminated
TRANS_D1_R1_000369_RT_D1_R1_0002_005,369,RT_D1_R1_0002,temporarily_missing,reappearance_candidate,reappearance_provisionally_supported,5,5,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000369_RT_D1_R1_0005_007,369,RT_D1_R1_0005,reappeared_supported,same_motion_supported,reappeared_supported,7,7,4,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000369_RT_D1_R1_0006_001,369,RT_D1_R1_0006,temporarily_missing,terminated,motion_shell_candidate,1,1,0,9,track_missing_or_terminated
TRANS_D1_R1_000369_RT_D1_R1_0007_006,369,RT_D1_R1_0007,reappearance_provisionally_supported,temporarily_missing,reappeared_supported,6,6,0,1,track_missing_or_terminated
