comparison,experiment_id,experiment_type,physical_vehicle_id,hidden_target_pair_id,sar_frame,coverage_delta,iou_delta,center_error_delta,search_ratio_delta,ambiguity_delta,verdict,notes
C1A_minus_C1,ADJ_0204_TO_0205,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,31,0,-0.758612,-75.19177,0.041792,-2,harmed,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,ADJ_0204_TO_0205,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,31,0,-0.758612,-75.19177,0.041792,-2,harmed,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,ADJ_0205_TO_0206,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,77,1,0.005021,-482.535209,1.157858,-40,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,ADJ_0205_TO_0206,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,77,1,0.005021,-482.535209,1.157858,-40,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,ADJ_0206_TO_0207,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0207,81,0.101432,-0.611309,-74.449636,0.094206,-3,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,ADJ_0206_TO_0207,adjacent_hidden_anchor,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0207,81,0.101432,-0.611309,-74.449636,0.094206,-3,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,ADJ_0208_TO_0209,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,238,0.505462,-0.229428,-112.861886,0.105048,-19,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,ADJ_0208_TO_0209,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,238,0.505462,-0.154314,-7.234351,0.048647,-21,coverage_only_broad_assembly,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,ADJ_0209_TO_0210,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,269,0.551768,-0.291769,-492.229083,1.158853,-26,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,ADJ_0209_TO_0210,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,269,0.551768,-0.291769,-492.229083,1.158853,-26,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,ADJ_0210_TO_0211,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,273,0.079111,-0.798776,-151.727189,0.11275,-3,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,ADJ_0210_TO_0211,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,273,0.079111,-0.798776,-151.727189,0.11275,-3,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,ADJ_0211_TO_0212,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,288,0.235315,-0.633241,-545.7582,1.15861,-14,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,ADJ_0211_TO_0212,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,288,0.235315,-0.633241,-545.7582,1.15861,-14,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,ADJ_0212_TO_0213,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0213,290,-0.085663,-0.655358,-85.525511,0.011159,-2,harmed,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,ADJ_0212_TO_0213,adjacent_hidden_anchor,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0213,290,-0.085663,-0.655358,-85.525511,0.011159,-2,harmed,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,31,0,-0.758612,-75.19177,0.041792,-2,harmed,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,31,0,-0.758612,-75.19177,0.041792,-2,harmed,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,77,0.9954,0.002769,-491.894879,1.156556,-46,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,77,0.9954,0.002769,-491.894879,1.156556,-46,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0207,81,1,0.004394,-484.621036,1.156556,-50,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0207,81,1,0.004394,-484.621036,1.156556,-50,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1A_minus_C1,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,238,0.505462,-0.229428,-112.861886,0.105048,-19,harmed_area_expansion,Positive center_error_delta means assembly method is closer than A1.6 C1.
C1B_minus_C1,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,238,0.505462,-0.154314,-7.234351,0.048647,-21,coverage_only_broad_assembly,Positive center_error_delta means assembly method is closer than A1.6 C1.
