"node_id","window_id","scene","node_type","source_file","source_row_reference","node_label_cn","node_state","evidence_permission","posthoc_only","runtime_safe","notes"
"N_GM011_T001_OBS","GM_RM011_WGV14T001","GM_RM011","optical_observation_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM011_WGV14T001;frames=8;9;10;13;18;24;25","近场白车光学观察","stable_visible_vehicle;primary_box_repair_context","optical_review_constraint_only","yes","optical_review_only","Frame-local evidence supports optical review but not SAR identity."
"N_GM011_T001_FRAG","GM_RM011_WGV14T001","GM_RM011","optical_fragment_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM011_WGV14T001;frame_range=0-25","T001光学片段","stable_same_vehicle_within_optical_graph","optical_review_constraint_only","yes","optical_review_only","Fragment continuity is optical only."
"N_GM011_T001_THREAD","GM_RM011_WGV14T001","GM_RM011","optical_thread_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM011_WGV14T001","T001光学线程","accepted;optical_identity_constraint","pre_sar_only","yes","optical_review_only","Accepted optical constraint remains blocked for SAR consumption."
"N_GM011_T001_STATE","GM_RM011_WGV14T001","GM_RM011","optical_behavior_state_node","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","window_id=WGV18W001","近场截断和主框修复状态","near_field_truncation;partial_vehicle;edge_contact;primary_box_selection_issue","posthoc_mechanism_explanation_only","yes","no_runtime_prediction_use","State may explain support shift but cannot produce runtime prior."
"N_GM011_T001_SARREF","GM_RM011_WGV14T001","GM_RM011","sar_gt_local_reference_node","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","window_id=WGV18W001","早期SAR GT-local参考","direct_gt_local_pngs_read_for_frames_5_6_10;quality_caveats","posthoc_reference_only","yes","no","GT-local reference is not a label edit or runtime target."
"N_GM011_T001_SARMORPH","GM_RM011_WGV14T001","GM_RM011","sar_morphology_node","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","window_id=WGV18W001","早期车尺度SAR形态","ridge_like_band;shell_contour;endpoint_hotspot_candidate;quality_caveats","posthoc_sar_mechanism_only","yes","no","Vehicle-scale vocabulary supports mechanism explanation only."
"N_GM011_T001_SARDT","GM_RM011_WGV14T001","GM_RM011","sar_temporal_drift_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV14T001","GM011时间漂移未闭合","not_testable_missing_direct_gm011_azimuth_object_mapping_source","insufficient_posthoc_mapping_only","yes","no","No unique temporal or azimuth mapping is selected."
"N_GM011_T001_GEOM","GM_RM011_WGV14T001","GM_RM011","geometry_feasible_domain_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV14T001","T001几何可行域","mapping_not_testable_missing_sources","feasible_domain_only","yes","no","Geometry cannot become a selected SAR location."
"N_GM011_T001_BOUND","GM_RM011_WGV14T001","GM_RM011","boundary_competition_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","source_edge_id=GM_RM011_WGV12M005","M005邻近竞争边界","M005 competitor not folded into T001","boundary_protection","yes","no","T001 must stop before M005 context."
"N_GM011_T001_PERM","GM_RM011_WGV14T001","GM_RM011","evidence_permission_node","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV14T001","T001证据权限","pre_sar_only;blocked_for_sar_consumption","permission_gate","yes","no","Optical strong thread cannot prove SAR identity."
