change_id,scene_id,old_thread_id,old_fragment_ids,new_thread_ids,change_type,visual_evidence_frames,visual_evidence_paths,reason,rule_triggered,confidence,auto_applied,needs_user_spotcheck,note
WGV14CHG001,GM_RM011,GM_RM011_WGV13T001;GM_RM011_WGV13T002,GM_RM011_WGV12TF001;GM_RM011_WGV12TF002;GM_RM011_WGV12TF003;GM_RM011_WGV12TF004;GM_RM011_WGV12TF005,GM_RM011_WGV14T001,thread_merge,8;9;10;13;18;24;25,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF002_000008_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF002_000009_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF003_000010_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF004_000013_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000018_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000024_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000025_diagnostic_yolo26l.png,"White near-field car remains the same referent from side-window crop through front/hood crop; M003 primary-box issue is duplicate/better-box, not a vehicle switch.",A;B;D;G,high,yes,no,Visual working-graph merge only; not final annotation.
WGV14CHG002,GM_RM011,GM_RM011_WGV13T001;GM_RM011_WGV13T002,GM_RM011_WGV12TF001;GM_RM011_WGV12TF002;GM_RM011_WGV12TF003;GM_RM011_WGV12TF004;GM_RM011_WGV12TF005,GM_RM011_WGV14T001,status_updated,8;9;10;13;18;24;25,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF002_000008_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF002_000009_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF003_000010_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF004_000013_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000018_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000024_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000025_diagnostic_yolo26l.png,Set WGV1.4 thread status to accepted.,A;B;D;G,high,yes,no,SAR remains blocked.
WGV14CHG003,GM_RM011,GM_RM011_WGV13T003,GM_RM011_WGV12TF006,GM_RM011_WGV14T002,status_updated,31;32;33;34;35,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/frames_yolo/GM_RM011_WGV13T003_GM_RM011_WGV12TF006_000031_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/frames_yolo/GM_RM011_WGV13T003_GM_RM011_WGV12TF006_000032_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/frames_yolo/GM_RM011_WGV13T003_GM_RM011_WGV12TF006_000033_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/frames_yolo/GM_RM011_WGV13T003_GM_RM011_WGV12TF006_000034_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/frames_yolo/GM_RM011_WGV13T003_GM_RM011_WGV12TF006_000035_diagnostic_yolo26l.png,Set WGV1.4 thread status to accepted.,D;F,high,yes,no,SAR remains blocked.
WGV14CHG004,GM_RM011,GM_RM011_WGV13T004,GM_RM011_WGV12TF007,GM_RM011_WGV14T003,status_updated,135;136;137,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/04_GM_RM011_GM_RM011_WGV13T004_standalone_split/frames_yolo/GM_RM011_WGV13T004_GM_RM011_WGV12TF007_000135_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/04_GM_RM011_GM_RM011_WGV13T004_standalone_split/frames_yolo/GM_RM011_WGV13T004_GM_RM011_WGV12TF007_000136_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/04_GM_RM011_GM_RM011_WGV13T004_standalone_split/frames_yolo/GM_RM011_WGV13T004_GM_RM011_WGV12TF007_000137_diagnostic_yolo26l.png,Set WGV1.4 thread status to accepted.,A;G,high,yes,no,SAR remains blocked.
WGV14CHG005,GM_RM011,GM_RM011_WGV13T005,GM_RM011_WGV12TF008;GM_RM011_WGV12TF009,GM_RM011_WGV14T004,status_updated,151;154;160;164;166,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF008_000151_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF008_000154_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF008_000160_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF009_000164_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF009_000166_diagnostic_yolo26l.png,Set WGV1.4 thread status to accepted.,B;G,high,yes,no,SAR remains blocked.
WGV14CHG006,GM_RM011,GM_RM011_WGV13T006;GM_RM011_WGV13T007;GM_RM011_WGV13T008;GM_RM011_WGV13T009;GM_RM011_WGV13T010;GM_RM011_WGV13T011;GM_RM011_WGV13T012,GM_RM011_WGV12TF010;GM_RM011_WGV12TF011;GM_RM011_WGV12TF012;GM_RM011_WGV12TF013;GM_RM011_WGV12TF014;GM_RM011_WGV12TF015;GM_RM011_WGV12TF016;GM_RM011_WGV12TF017;GM_RM011_WGV12TF018;GM_RM011_WGV12TF019,GM_RM011_WGV14T005,thread_merge,231;233;242;250;259;270;279;288,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/06_GM_RM011_GM_RM011_WGV13T006_standalone_split/frames_yolo/GM_RM011_WGV13T006_GM_RM011_WGV12TF010_000231_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF011_000233_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000242_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/09_GM_RM011_GM_RM011_WGV13T009_standalone_split/frames_yolo/GM_RM011_WGV13T009_GM_RM011_WGV12TF014_000250_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split/frames_yolo/GM_RM011_WGV13T010_GM_RM011_WGV12TF015_000259_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF018_000270_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF019_000279_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF019_000288_diagnostic_yolo26l.png,Long underpass near-field white-car sequence; WGV1.3 over-split it. The 286-288 competitor white SUV makes this a high-risk accepted repair.,B;F;G,medium_high,yes,yes,Visual working-graph merge only; not final annotation.
WGV14CHG007,GM_RM011,GM_RM011_WGV13T006;GM_RM011_WGV13T007;GM_RM011_WGV13T008;GM_RM011_WGV13T009;GM_RM011_WGV13T010;GM_RM011_WGV13T011;GM_RM011_WGV13T012,GM_RM011_WGV12TF010;GM_RM011_WGV12TF011;GM_RM011_WGV12TF012;GM_RM011_WGV12TF013;GM_RM011_WGV12TF014;GM_RM011_WGV12TF015;GM_RM011_WGV12TF016;GM_RM011_WGV12TF017;GM_RM011_WGV12TF018;GM_RM011_WGV12TF019,GM_RM011_WGV14T005,status_updated,231;233;242;250;259;270;279;288,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/06_GM_RM011_GM_RM011_WGV13T006_standalone_split/frames_yolo/GM_RM011_WGV13T006_GM_RM011_WGV12TF010_000231_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF011_000233_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000242_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/09_GM_RM011_GM_RM011_WGV13T009_standalone_split/frames_yolo/GM_RM011_WGV13T009_GM_RM011_WGV12TF014_000250_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split/frames_yolo/GM_RM011_WGV13T010_GM_RM011_WGV12TF015_000259_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF018_000270_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF019_000279_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF019_000288_diagnostic_yolo26l.png,Set WGV1.4 thread status to accepted.,B;F;G,medium_high,yes,yes,SAR remains blocked.
WGV14CHG008,GM_RM011,GM_RM011_WGV13T013,GM_RM011_WGV12TF020,GM_RM011_WGV14T006,status_updated,287;288;289;290;292,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/13_GM_RM011_GM_RM011_WGV13T013_standalone_split/frames_yolo/GM_RM011_WGV13T013_GM_RM011_WGV12TF020_000289_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/13_GM_RM011_GM_RM011_WGV13T013_standalone_split/frames_yolo/GM_RM011_WGV13T013_GM_RM011_WGV12TF020_000290_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/13_GM_RM011_GM_RM011_WGV13T013_standalone_split/frames_yolo/GM_RM011_WGV13T013_GM_RM011_WGV12TF020_000292_diagnostic_yolo26l.png,Set WGV1.4 thread status to accepted.,D;F;G,high,yes,no,SAR remains blocked.
WGV14CHG009,GM_RM017,GM_RM017_WGV13T001;GM_RM017_WGV13T003,GM_RM017_WGV12TF001;GM_RM017_WGV12TF002;GM_RM017_WGV12TF004,GM_RM017_WGV14T001,thread_merge,118;145;148;156;157,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF001_000118_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000145_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000148_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000156_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000157_diagnostic_yolo26l.png,"White box truck/van remains visible before and after an intervening black-car selection, but the object is far and partly occluded by street furniture.",A;B;G,medium,yes,yes,Visual working-graph merge only; not final annotation.
WGV14CHG010,GM_RM017,GM_RM017_WGV13T001;GM_RM017_WGV13T003,GM_RM017_WGV12TF001;GM_RM017_WGV12TF002;GM_RM017_WGV12TF004,GM_RM017_WGV14T001,status_updated,118;145;148;156;157,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF001_000118_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000145_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000148_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000156_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000157_diagnostic_yolo26l.png,Set WGV1.4 thread status to weak.,A;B;G,medium,yes,yes,SAR remains blocked.
