panel_id,case_id,scene,sar_frame,object_hypothesis_id,gt_id,prior_card_category,human_observation_original,morphology_insight,mechanism_keywords,association_or_support_note,boundary_note
Panel 1,PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014,GM_RM017,383,oty1t_obj_GM_RM017_bytetrack_bt_0014,,possible compact vehicle structure,能看出三辆车排列，中间车最明显。整体车架构边缘是高能结构。左边车靠近雷达侧边很明显，远离雷达侧稍弱。框内右边车辆因为较边缘，车体后部及远端高能区域不明显，但近端，即框左边和下边有明显轮廓。左下角最靠近雷达且直接面向雷达的区域是高能区域。肉眼可见高能区域能够直接导向车体轮廓。,GT 框内存在可解释车体轮廓；近雷达/面向雷达侧更强，远侧较弱。,near_side_high_energy_ridge;facing_side_hotspot;body_edge_strip,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
Panel 2,PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,319,oty1t_obj_GM_RM017_bytetrack_bt_0008,,possible multi-peak vehicle structure,能看出两辆车和一个货车，货车不要求识别。框内车辆能看出车体轮廓，但不连贯。靠近雷达和面向雷达处是高能区域，尤其右下角。整体轮廓是断续片段，但框内仍呈现包裹状态。该样例说明车辆 SAR 结构可以是断续条带 + 高能角点 + 总体包裹结构，而不一定是连续闭合轮廓。,断续条带和角点热点仍可形成包裹式车体结构。,discontinuous_aligned_body_edges;corner_or_endpoint_strong_reflector;multi_peak_enclosed_body_structure,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
Panel 3,PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,27,oty1t_obj_GM_RM019_bytetrack_bt_0005,,possible range-spread vehicle structure,径向扩散主要在框上侧。人工假设可能与自身运动造成的逸散、支撑结构、车体逸散或环境影响有关，靠近路边栏杆可能影响结构。但上下两侧以及框右侧能量结构仍能形成车体轮廓。注意：运动逸散目前只是 hypothesis，不可写成确定结论。,range spread 不能直接等于 diffuse/reject；仍可能保留车体 core。,range_spread_with_vehicle_body_core;environment_affected_body_structure;motion_hypothesis_only,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
Panel 4,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,,possible azimuth-spread vehicle structure,框下侧能量条带明显是车体结构，强度高且连续，不应简单解释为摊开或 diffuse spread。右下角面向雷达和近侧有高能区域，远侧能量较弱。该样例更应解释为 near-side continuous body ridge / strong body-side strip + near-side hotspot + far-side weak return。,连续强侧边条带是 morphology anchor，不是简单 diffuse spread。,near_side_high_energy_ridge;continuous_body_side_strip;far_side_weak_return,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
Panel 5,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,,possible stable vehicle tube,前后时序都能看到下侧条带。该车在时序中从雷达视场右侧走到左侧，下侧条带一般都明显，高能区域会随着时序面向雷达不断移动。该样例支持 temporal migration of vehicle high-energy region，而不是单帧亮点。,高能区随时序迁移，应建 temporal morphology tube。,temporal_migrating_hotspot;temporal_persistent_body_ridge,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
Panel 6,PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,31,oty1t_obj_GM_RM019_bytetrack_bt_0005,,diffuse / reject exemplar,虽然原标签可能是 diffuse / reject，但人工仍能肉眼看出是车。一方面面向雷达有高能区域，且可能随时序变化；另一方面上侧和下侧能量虽然断续，但能看出车体轮廓，即车长两侧。靠近雷达的一端较完整。正式表述时不要直接断言车头/车尾，应写近雷达侧端部更完整。,弱/散结构仍可能是车；不要用 diffuse 标签否定 GT 内 morphology。,discontinuous_aligned_body_edges;facing_side_hotspot;near_side_endpoint,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
Panel 7,PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,27,oty1t_obj_GM_RM019_bytetrack_bt_0005,,background-stable wrong-frame exemplar,与 Panel 6 和 Panel 3 是同一辆车或同一类问题。结构断续，不是非常明显的车体结构，但可根据排列形状和高能区域看出车是横向的，并且随时序变化。说明断续结构不应直接归为无结构。,断续结构需要 temporal/contextual morphology 判断。,discontinuous_aligned_body_edges;temporal_migrating_hotspot,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
Panel 8,PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,310,oty1t_obj_GM_RM017_bytetrack_bt_0008,,neighboring-object wrong-object exemplar,存在潜在混淆。光学中车屁股紧靠一个电动车，稍远左上还有一辆车。car 之间冲突不大，主要可能与后面的电动车有能量混淆。但车体本身是自洽的：下侧有一段断续条带，右侧近端/端部比左侧边界更明显，上侧比下侧条带弱很多。应标为 SAR structure strong but association may need review due to nearby non-target/e-bike interference。,SAR morphology strong 与 association review 可以同时成立。,nearby_non_target_confounder;discontinuous_body_strip;association_review_needed,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
Panel 9,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,,support-overlap azimuth-shift exemplar,人工不清楚 support 想表达什么，因为 panel 没有清楚说明 support。仅从图看，GT 框明显包裹了一辆车的轮廓。下侧条带很强且没有断裂，右下角最靠近且面向雷达的一侧高能，上侧能量稍弱。需要 Codex 明确画出 optical-derived support / azimuth fan，不能让人工猜 support。可能受光学截断/遮挡、方位映射裕量、support 过宽影响。,support 没画出来时不能让人工判断 support coverage。,support_overlay_required;continuous_body_side_strip;coverage_hypothesis,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
Panel 10,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,,statistics say vehicle-like but visual review likely needed,与 Panel 9 是同一时序中的同一辆车，具有同样结构特点。肉眼判断就是车，表现为近侧强条带、近侧/面向雷达高能区和远侧较弱回波。,同一时序重复出现近侧条带和热点。,temporal_persistent_body_ridge;facing_side_hotspot;far_side_weak_return,support coverage and optical-SAR association must be audited separately from GT-box SAR morphology,manual visual review anchor; not identity truth; not annotation proposal
