"window_id","scene","current_graph_status","missing_factor_type","missing_factor_description_cn","why_it_blocks_stronger_conclusion_cn","minimal_repair_path_cn","forbidden_shortcut_cn","allowed_next_use","notes"
"GM_RM011_WGV14T001","GM_RM011","mechanism_supported_but_posthoc_only","missing_gm011_azimuth_source","缺少GM_RM011可运行时安全复用的直接方位或fan-polar来源。","没有该来源时，光学强连续只能约束审查，不能闭合光学到SAR的几何关系。","恢复或构造GM_RM011运行时安全的方位可行源，并记录其来源权限。","不能用GT-local SAR读数或光学稳定性替代运行时方位源。","pre_sar_evidence_planning","Primary blocker for stronger GM011 consumption."
"GM_RM011_WGV14T001","GM_RM011","mechanism_supported_but_posthoc_only","missing_precise_temporal_alignment","缺少线程级光学帧到SAR帧的精确时间对齐。","无法区分真实非跳变漂移和错帧支持，因此不能形成强SAR关系。","在GM011上建立可审计的光学帧到SAR帧时间管线。","不能选择视觉上最像的SAR帧作为事实对齐。","pre_sar_evidence_planning","Needed before any stronger temporal claim."
"GM_RM011_WGV14T001","GM_RM011","mechanism_supported_but_posthoc_only","missing_sar_temporal_drift_chain","缺少该窗内SAR内部结构随时间非跳变漂移链。","单帧或少量GT-local词汇不能证明SAR侧连续对象。","只在SAR内部读取连续帧结构漂移，先记录vehicle-like和background风险。","不能把光学稳定线程当作SAR漂移证据。","posthoc_mechanism_extension","Supports future WGV2.3 style evidence planning only."
"GM_RM011_WGV14T004","GM_RM011","mapping_unresolved_blocks_consumption","missing_gm011_azimuth_source","T004同样缺少GM_RM011直接方位映射源。","有光学accepted和SAR形态词汇也不能定位到线程级SAR关系。","先补GM011方位源，再重审T004的可行域。","不能沿用GM017方位代理或后验重叠替代。","pre_sar_evidence_planning","Mapping unresolved."
"GM_RM011_WGV14T004","GM_RM011","mapping_unresolved_blocks_consumption","missing_later_window_gt_local_exemplar","中后段窗口缺少足够可追溯的GT-local SAR局部样例。","SAR形态摘要只能作为弱词汇，不能支撑更强机制闭合。","补充后续窗口的SAR内部或GT-local可追溯样例清单。","不能从早期窗口外推到T004。","posthoc_mechanism_extension","Later-window evidence gap."
"GM_RM011_WGV14T004","GM_RM011","mapping_unresolved_blocks_consumption","missing_precise_temporal_alignment","T004缺少精确时间对齐和唯一偏移。","多车上下文中错帧会直接变成竞争体混入。","建立时间对齐后再检查SAR内部漂移。","不能用表格支持率选择偏移。","pre_sar_evidence_planning","No offset is selected."
"GM_RM011_WGV14T005","GM_RM011","mechanism_weak_or_ambiguous","missing_competitor_separation_evidence","缺少M016附近同色SUV和目标白车的独立分离证据。","竞争体未分离前，长窗稳定会产生身份混合风险。","把M016作为独立边界检查，分别读取两侧SAR内部证据。","不能跨M016把长窗直接当作同车关系。","boundary_review_planning","Key blocker for T005."
"GM_RM011_WGV14T005","GM_RM011","mechanism_weak_or_ambiguous","missing_gm011_azimuth_source","长窗缺少GM011直接方位和对象流映射源。","无法判断稀疏SAR结构属于目标还是邻近竞争体。","恢复GM011方位源后只作为审查约束重新评估。","不能由可见未框间隙生成新标注或目标框。","pre_sar_evidence_planning","Search hint remains search hint."
"GM_RM011_WGV14T005","GM_RM011","mechanism_weak_or_ambiguous","missing_sar_temporal_drift_chain","缺少穿过长窗的SAR内部漂移链。","没有SAR侧非跳变链时，长窗只能解释行为而不能支撑SAR连续性。","选择少数GM011窗口建立SAR-only drift chain。","不能用光学长窗稳定代替SAR连续证据。","posthoc_mechanism_extension","Do not optimize or rank."
"GM_RM011_M005","GM_RM011","boundary_preserved_and_blocked","missing_boundary_sar_evidence","M005附近SAR参考混有neighbor和background风险，缺少边界专用SAR证据。","边界可被保留，但不能更强地说明SAR侧两目标如何分离。","单独读取M005两侧SAR内部结构和背景风险。","不能因为颜色相似或后验弱支持放松M005边界。","boundary_audit_only","Boundary stays preserved."
"GM_RM011_M005","GM_RM011","boundary_preserved_and_blocked","missing_competitor_separation_evidence","缺少M005两侧不同白车的竞争体分离证据。","分离证据不足时，任何桥接都会产生同车混合风险。","保留M005为hard boundary并补充两侧竞争体审计。","不能生成跨边同车关系。","boundary_audit_only","Positive blocker."
"GM_RM011_M016","GM_RM011","boundary_preserved_and_blocked","missing_boundary_sar_evidence","M016缺少可追溯SAR GT-local候选或SAR-only边界证据。","SAR边界证据不足时只能保守阻断，不能消费长窗。","将M016作为独立边界单元读取SAR内部证据。","不能用T005长窗稳定越过M016。","boundary_audit_only","Required by prompt boundary focus."
"GM_RM011_M016","GM_RM011","boundary_preserved_and_blocked","missing_later_window_gt_local_exemplar","M016位于后段同色竞争区，缺少后段GT-local可读样例。","缺样例时无法解释SAR侧同色竞争体分离。","补后段局部样例或SAR-only evidence units。","不能从早期T001形态词汇外推到M016。","boundary_audit_only","Later-window gap."
"GM_RM011_M016","GM_RM011","boundary_preserved_and_blocked","missing_competitor_separation_evidence","同色SUV竞争体缺少独立分离证据。","竞争体不分离则任何跨边支持都会是身份风险。","保持M016边界，分别读取两侧vehicle-like和background证据。","不能用加权融合压过边界。","boundary_audit_only","Boundary not relaxed."
"GM_RM017_WGV14T001","GM_RM017","mechanism_weak_or_ambiguous","missing_competitor_separation_evidence","缺少M002-M004上下文边附近的竞争体分离证据。","弱光学线程和竞争信号混合时，后验重叠不能升级。","只作为弱搜索提示，后续先做SAR-only竞争体检查。","不能让posthoc overlap升级弱光学身份。","weak_search_hint_review","Conservativeness validation."
