access_id,stage,access_order,accessed_path,contains_target_sar_gt,allowed,access_purpose,leakage_risk,access_scope,notes
ACC001,START,1,git branch/HEAD/status/fetch/divergence/stash metadata,false,true,"Verify branch, start state, clean worktree, remote relation, and record-only stash boundary.",none,repository metadata,"stash@{0} recorded only; not read, applied, modified, or deleted."
ACC002,MANDATORY_READING,2,docs/reviews/OTY2_SAR_ROUTE_ERRORS_AND_OMISSIONS_DEEP_REVIEW_20260718.md,false,true,Apply current correction authority and historical-error boundaries.,none,full document,No GM11 target coordinates.
ACC003,MANDATORY_READING,3,docs/OTY2_RESEARCH_CONCLUSION_STATUS_REGISTER_20260718.md,false,true,"Apply corrected status of scale, timing, identity, GT, S1X and RSA1-A0 claims.",none,full document,Current route authority.
ACC004,MANDATORY_READING,4,reports/oty2/oty2_rsa2_o0_open_book_vehicle_level_multitimescale_mechanism_review_20260718.md,false,true,Read vehicle-level open-book mechanism review and boundaries.,none,full document,GM17/GM19 semantics only; not used as a GM11 template.
ACC005,MANDATORY_READING,5,docs/OTY2_RSA2_O1_VEHICLE_RESPONSE_STATE_AND_RELATION_SEMANTICS.md;docs/OTY2_RSA2_O1_CANONICAL_VISUAL_EVIDENCE_GUIDE.md;reports/oty2/oty2_rsa2_o1_state_relation_semantics_freeze_audit_20260718.md,false,true,"Read state, relation, evidence-layer and counterexample contracts.",none,full documents,Interpreted through O1-R1 conditional integration correction.
ACC006,MANDATORY_READING,6,manifests/oty2/oty2_rsa2_o1_state_relation_examples.csv;manifests/oty2/oty2_rsa2_o1_counterexample_ledger.csv;docs/reviews/assets/20260718_rsa2_o1_canonical/*,false,true,"Read O1 examples, counterexamples, seven canonical figures and manifest.",semantic_template_risk,46 state rows; 14 counterexamples; 7 figures,"GM17/GM19 figures used only as semantic reminders, never as GM11 shape templates."
ACC007,MANDATORY_READING,7,docs/OTY2_SESSION_START_HERE.md,false,true,Verify mandatory reading order and no-algorithm boundaries.,none,full document,Not modified until final audit completion.
ACC008,OPTICAL_IDENTITY,8,docs/OTY2_P1_OPTICAL_GLOBAL_IDENTITY_PROTOCOL.md;docs/OTY2_P1C_GLOBAL_IDENTITY_FAILURE_REPAIR_PROTOCOL*.md;manifests/oty2/oty2_p1d_physical_vehicle_registry.csv;manifests/oty2/oty2_p1d_gm011_thread_pair_audit.csv,false,true,"Recover GM11 physical vehicle identities, lifecycles, overlap and exclusions.",none,identity/lifecycle records,Tracker IDs not treated as complete truth.
ACC009,OPTICAL_IDENTITY,9,manifests/oty2/oty2_p1e_detection_to_canonical_identity_map.csv;GM11 optical timeline reports and frame-state records,false,true,"Read optical boxes, visible-but-unboxed states, and canonical identities for selected frames.",none,selected GM11 optical frames and lifecycle records,Optical box absence is not vehicle absence.
ACC010,TIME_MAPPING,10,manifests/oty2/oty2_p0_hard_sync_sar_to_optical.csv;manifests/oty2/oty2_p0_hard_sync_optical_to_sar.csv;reports/oty2/oty2_p0_data_asset_and_hard_sync_audit_*.md,false,true,Resolve optical/SAR frame domains and operational 24/50 fps common-start mapping.,timing_assumption,GM11 mapping rows,Status remains UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA.
ACC011,COORDINATE_CONTRACT,11,docs/OTY2_S0_SAR_COORDINATE_AND_GRID_CONTRACT.md,aggregate_only,true,"Use display fan origin, azimuth geometry, imaging-valid support and scale boundaries.",low_aggregate_gt_statistics,full contract,No GM11 target center/size/angle. Deep-review 0.03 m/px correction authority applied.
ACC012,AZIMUTH_PRIOR,12,docs/OTY2_S0_OPTICAL_TO_SAR_AZIMUTH_MAPPING_CONTRACT.md,indirect_historical_gt_derived_statement,allowed_with_restriction,Read mapping status and historical diagnostic line; establish that precise GM11 mapping is blocked.,potential_indirect_prior_not_used,contract text,"Document mentions GM11 historical prediction 11.809661 deg and inclusion in a wide GT interval, but no target center/size/angle. Statement was not used to localize any case."
ACC013,FORWARD_RAW_REVIEW,13,D:/profile/research/data/GM_RM011/GM_RM011_frames/000000.png..000292.png within W1/W2/W3 review windows,false,true,"Review raw optical lifecycle, truncation, overlap, entry and exit.",none,raw optical frames/contact sheets,No target SAR overlay.
ACC014,FORWARD_RAW_REVIEW,14,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000000.png..000610.png within mapped W1/W2/W3 windows,false,true,Review raw full-frame SAR context and manually record local response instances/background structures.,none,raw SAR frames/contact sheets,"No thresholding, detection, scoring, candidate generation or GT crop."
ACC015,FORWARD_RAW_REVIEW,15,D:/profile/research/workspace/output/oty2_rsa2_o2_bidirectional_audit/forward_blind_review/*,false,true,Inspect no-GT optical and SAR contact sheets for all three windows.,none,generated raw contact sheets,Each SAR contact sheet explicitly states TARGET SAR GT HIDDEN.
ACC016,GT_DENYLIST_CHECK,16,reports/oty2/samples/oty2_s0_sar_gt_quality_audit.csv,true,header_only,Inspect schema/header only to identify forbidden target-GT fields.,controlled_header_only,header only; zero data rows,No GM11 row read.
ACC017,GT_DENYLIST,17,GM_RM011 target GT CSV rows; target GT overlays; GT-generated crops; historical GM11 GT coordinate reports,true,false,Explicit forward-stage denylist.,none_because_not_accessed,NOT ACCESSED,Remain prohibited until SHA freeze manifest is written and verified.
