"scene","problem_id","frame_start","frame_end","problem_type","involved_detection_sources","involved_track_ids","visual_finding","existing_method_failure","required_global_reasoning","severity","notes"
"GM_RM011","GM011_P001","0","35","same_color_vehicle_turnover","YOLO11l;YOLO26l","raw Y26L bs_0001/bt_0001 family; historical Y26N004","near-field white car is replaced by a distinct front-facing white car; bbox selection jumps around 26-30","over-merged candidate node and tracker continuity can bridge different white cars","explicit exit/turnover/new-entry alternatives plus full-future review","high","Frames 0-18 are locally stable; frame 31-35 subject is different from the early car."
"GM_RM011","GM011_P002","0","35","duplicate_and_partial_box_pressure","YOLO11l;YOLO26l","raw bs_0001/bs_0002/bs_0004/bs_0009 and ByteTrack counterparts","near-field truncation creates multiple boxes on different visible parts","same-frame duplicates and partial/full boxes inflate track count and corrupt appearance","observation grouping before identity assignment","high","YOLO26l normalization suppresses 30 duplicate-like rows scene-wide."
"GM_RM011","GM011_P003","135","166","occlusion_driven_subject_switch","YOLO11l;YOLO26l","raw bs_0030/bt_0039 plus historical Y26N005/Y26N006","white vehicle dark vehicle covered vehicle and scooter compete; selected bbox changes subject","highest-score stream and unsplit node mix different subjects","model explicit occlusion/context edges and preserve the white-car lifecycle through temporary non-primary observations","high","Detector-primary change must not create a new physical identity automatically."
"GM_RM011","GM011_P004","231","292","multi_vehicle_same_color_replacement","YOLO11l;YOLO26l","raw bs_0041/bs_0051/bs_0052/bs_0057/bs_0062; ByteTrack bt_0054/bt_0065/bt_0070/bt_0074/bt_0080/bt_0081","multiple white vehicles enter replace and overlap; frame-237 right car differs from frame-245 left car","WGV1.4 over-merged 231-288 as one search-hint thread; raw trackers split and overlap inconsistently","global same-frame exclusion entry/exit reasoning and forbidden-edge preservation","critical","Keep 262-288 weak/unresolved until P1-B conflict review."
"GM_RM011","GM011_P005","237","270","visible_but_unboxed_and_graph_omission","YOLO11l;YOLO26l","historical bs_0051/bs_0056/bs_0061; current raw bs_0051/bs_0052/bs_0057","vehicle body remains visible while baseline misses or selected graph/render boxes omit the body","detector underfit plus old node omission and render skip","permit explicit missed/occluded states and attach supplemental detector observations without inventing boxes","critical","Baseline misses 249/252/253; YOLO26l improves body visibility but still needs identity-safe grouping."
"GM_RM011","GM011_P006","262","292","historical_thread_evidence_conflict","YOLO26l","WGV14T005/WGV14T006; raw bs_0052/bs_0057/bs_0062","WGV1.4b supports a right-car search hint through 288 while current review sees strong competitor/replacement pressure","historical accepted thread was scoped to optical_search_hint_only but can be misread as identity truth","retain both claims as evidence and require ILP plus human conflict resolution","high","Boundary 289-292 is forbidden from the preceding right-side car."
"GM_RM017","GM017_P001","80","129","non_vehicle_false_detection_and_track","YOLO11l;YOLO26l;YOLO26n_window_only","baseline bs_0002; sparse YOLO26l observations","blue handcart/foreground structure is intermittently labeled truck-like and can become a stable short track","class label and tracker stability falsely imply vehicle identity","hard non_vehicle evidence and exclusion before path cover","high","YOLO26n window also contains fire-hydrant/person/potted-plant classes."
"GM_RM017","GM017_P002","118","214","four_vehicle_same_frame_competition","YOLO11l;YOLO26l","baseline bs_0001/bs_0008/bs_0010/bs_0012; raw Y26L bs_0006/bs_0011/bs_0013/bs_0016","box truck leading dark sedan white SUV and trailing dark sedan coexist","single highest-confidence candidate stream repeatedly switches among vehicles","joint assignment with one-primary-observation-per-vehicle and same-frame exclusion","critical","Physical lifecycle count is about four, not three."
"GM_RM017","GM017_P003","145","214","similar_dark_vehicle_false_merge","YOLO11l;YOLO26l","baseline bs_0008 and bs_0012","two dark sedans have similar color/crops but are distinct and can be visible with the white SUV between them","appearance or temporal proximity can create a false bridge","forbidden edge plus ordering and simultaneous-visibility evidence","critical","Primary false-merge guard for this scene."
"GM_RM017","GM017_P004","118","214","appearance_instability_under_partial_views","YOLO26l","four BoT-SORT raw segments","three long segments show weak internal appearance consistency; minimum intra-tracklet cosine reaches 0.476059","ImageNet crop features respond to background visible part and truncation","downweight appearance and combine it with full-frame motion/shape/state evidence","medium","ResNet18 is not a vehicle ReID model."
"GM_RM017","GM017_P005","145","214","edge_entry_exit_and_thin_crop","YOLO11l;YOLO26l","baseline bs_0008/bs_0010/bs_0012","vehicles enter at the left and exit at the right; edge-thin crops remain valid local observations","track termination or crop change can be mistaken for identity change","explicit entering/exiting states and boundary-aware soft costs","medium","Do not reject a vehicle merely because its full center/body is outside the frame."
"GM_RM019","GM019_P001","0","49","two_vehicle_overlap_and_turnover","YOLO11l;YOLO26l","raw Y26L early bs_0001/bs_0002/bs_0003/bs_0005 families","black sedan and white MPV overlap in time and pass through the same near-field area","track fragmentation and duplicate overlap can confuse the order","same-frame exclusion plus separate birth/exit paths","high","Two distinct early lifecycles."
"GM_RM019","GM019_P002","99","183","similar_gray_vehicle_replacement","YOLO11l;YOLO26l","raw bs_0065/bs_0070 then bs_0072/bs_0074 families","older silver MPV exits before a modern gray SUV enters; colors are similar but body shape and lifecycle boundary differ","appearance-only or long-gap bridging can merge two cars","explicit exit/new-entry alternatives and shape/motion evidence","critical","Physical lifecycle count is about four scene-wide."
"GM_RM019","GM019_P003","149","183","same_vehicle_fragment_split","YOLO11l;YOLO26l","OTY1 tracklet_0039/tracklet_0045; raw Y26L bs_0072/bs_0074","one gray SUV remains continuous while bbox state changes from partial to fuller body","one-to-one local tracker edge selection splits a single lifecycle","future-aware fragment merge edge with bbox-state transition cost","high","Positive repair case for P1-B."
"GM_RM019","GM019_P004","0","183","low_confidence_and_detector_source_disagreement","YOLO11l;YOLO26l","multiple","YOLO11l has many low-confidence rows while YOLO26l has fewer rows with the same number of detected frames","row count alone does not identify the better observation and source-specific duplicates remain","multi-source provenance and soft detector reliability instead of detector truth","medium","YOLO11l low-conf<0.50 is 158 vs YOLO26l 85."
"GM_RM019","GM019_P005","184","367","late_non_vehicle_false_tracks","YOLO11l;YOLO26l","raw bs_0083/bt_0090","after the vehicle lifecycles the scene is dominated by pedestrians bicycles scooters signs and street furniture; a 259-261 fragment follows a non-vehicle display","vehicle-filtered detector tables can still contain visually non-vehicle false positives","full-frame non_vehicle review and explicit outside_after_exit states","high","No automatic fifth vehicle should be created from the late three-frame track."
