state_id,window_id,before_state_cn,new_message_or_feedback_cn,after_state_cn,state_change_type,supporting_evidence,blocking_or_missing_evidence,why_not_identity_truth_cn,why_not_sar_ready_cn,notes
WGV31_STATE_001,GM_RM011_WGV14T004,"WGV2.2静态状态：mapping_unresolved_blocks_consumption。","收到T004光学消息：accepted optical thread，151-166帧右边缘白车稳定但局部可见不足。","mechanism_weak_but_plausible","support_added","WGV2.1 T004 optical_thread_node; WGV1.8 WGV18W003 optical behavior tags","光学证据仍是pre_sar_only。","光学accepted只约束复核，不证明SAR身份。","缺少GM_RM011直接方位源和SAR内部证据。","第一步只提升为可解释假设。"
WGV31_STATE_002,GM_RM011_WGV14T004,"mechanism_weak_but_plausible","几何/时间层反馈：缺少GM_RM011直接方位源和精确时间对齐。","missing_factor_exposed","blocker_exposed","WGV2.2 missing_gm011_azimuth_source and missing_precise_temporal_alignment rows","missing_gm011_azimuth_source; missing_precise_temporal_alignment","没有几何闭合就不能声明同一目标。","feasible field不是selected SAR box。","这是T004最关键的修复入口。"
WGV31_STATE_003,GM_RM011_WGV14T004,"mechanism_weak_but_plausible; missing_factor_exposed","SAR响应只允许runtime-safe或opened-stage词汇；当前没有opened T004 SAR-stage证据单元。","insufficient_evidence","permission_limited_sar_response","WGV3.0 SAR response boundary; WGV2.1 permission gate","no_opened_t004_sar_stage_unit; thread_mapping_missing; prior summary held for GT posthoc validation","允许词汇不能变成身份真值。","缺少独立SAR-internal evidence和mapping closure。","SAR响应阶段不使用posthoc参考材料构造形态闭合。"
WGV31_STATE_004,GM_RM011_WGV14T004,"insufficient_evidence","SAR时间反馈：T004没有可追踪non-jump drift chain。","missing_factor_exposed","temporal_blocker_exposed","WGV1.8 temporal_continuity_or_drift not resolved; WGV2.2 temporal alignment gap","missing_sar_temporal_drift_chain","光学稳定不能替代SAR漂移证据。","没有跨帧SAR结构连续性，不是SAR-ready。","后续可做SAR drift-chain设计。"
WGV31_STATE_005,GM_RM011_WGV14T004,"mechanism_weak_but_plausible","负反馈：没有非GT背景/路沿/静态反射/竞争区域对照。","missing_factor_exposed; insufficient_evidence","negative_contrast_missing","WGV2.3 requires negative contrast before admission","missing_non_target_negative_contrast","未排除背景/竞争物就不能称同一目标。","缺少non-target rejection，不能进入annotation。","不伪造negative contrast。"
WGV31_STATE_006,GM_RM011_WGV14T004,"mechanism_weak_but_plausible","竞争反馈：WGV18W003包含多车竞争、遮挡、主体切换。","identity_risk_blocked","competitor_risk_preserved","WGV2.1 competitor_risk_factor ambiguous; WGV1.8 competition tags","missing_competitor_separation_evidence","多车上下文阻止身份升级。","竞争未分离前不能SAR consumption。","T004不是one-to-one mapping。"
WGV31_STATE_007,GM_RM011_M005,"boundary_preserved","M005边界作为辅助guardrail输入。","boundary_preserved","boundary_guardrail","WGV2.1 R_GM011_M005_BOUND and R_GM011_M005_BLOCK","missing_boundary_sar_evidence","边界是阻断证据，不是合并证据。","边界未独立闭合，不能跨边界标注。","辅助窗口，不替代T004。"
WGV31_STATE_008,GM_RM011_M016,"boundary_preserved","M016同色SUV竞争作为辅助guardrail输入。","boundary_preserved; identity_risk_blocked","boundary_guardrail","WGV2.1 R_GM011_M016_BOUND and R_GM011_M016_BLOCK","missing_boundary_sar_evidence; missing_competitor_separation_evidence","同色竞争阻止身份真值声明。","SAR边界证据不足时保持阻断。","辅助窗口，不替代T004。"
WGV31_STATE_009,GM_RM011_WGV14T004,"mechanism_weak_but_plausible; missing_factor_exposed; insufficient_evidence","GT posthoc验证入口只在机制状态提出后打开。","posthoc_validation_pending","validation_boundary","WGV2.3 GT boundary rules; WGV1.8 reserved SAR reference rows","negative contrast not closed; direct T004 exemplar limited","GT只能验证或证伪，不能定义身份。","GT不能提供runtime geometry、threshold、candidate或annotation。","进入GT验证表，不回写前序消息。"
WGV31_STATE_010,GM_RM011_WGV14T004,"posthoc_validation_pending","WGV3.1总结：互动循环给出修复方向而非闭合。","mechanism_weak_but_plausible; missing_factor_exposed; insufficient_evidence","loop_summary","T004 graph instantiated; optical and morphology vocabulary present","missing runtime geometry, temporal drift, negative contrast, competitor separation","机制解释不是identity truth。","修复方向不是SAR-ready输出。","最终状态保守。"
