edge_id,scene_id,edge_source,from_target_family_id,to_target_family_id,from_frame_end,to_frame_start,wgv1_3_edge_decision,wgv1_4_edge_kind,wgv1_4_edge_status,repair_action,confidence,visual_evidence_frames,visual_evidence_paths,reason,rule_triggered,auto_applied,needs_user_spotcheck,sar_ready,not_final_box_flag,not_gt_box_flag,not_revised_annotation_flag
GM_RM011_WGV12M001,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF001,GM_RM011_WGV12TF002,4,8,identity_safe_same_vehicle_thread_candidate,same_vehicle,accepted,same_vehicle_edge_upgraded,high,4;8,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000000_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000001_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000002_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000003_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000004_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000005_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000006_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000007_diagnostic_yolo26l.png,M001 side-window gap remains same white car.,A;B,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M002,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF002,GM_RM011_WGV12TF003,9,10,identity_split_boundary_blocked_by_wgv1_2,same_vehicle,accepted,same_vehicle_edge_upgraded,high,9;10,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF002_000009_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF003_000010_diagnostic_yolo26l.png,M002 blocked boundary is visually continuous between frames 9 and 10.,B;F,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M003,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF003,GM_RM011_WGV12TF004,10,13,identity_safe_same_vehicle_candidate_with_primary_box_selection_issue,same_vehicle,accepted,same_vehicle_edge_upgraded,high,10;13,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000010_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000011_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000012_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000013_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000014_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000015_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M003/GM_RM011_WGV12M003_000016_diagnostic_yolo26l.png,M003 primary-box issue is duplicate/better-box on same white car.,D;G,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M004,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF004,GM_RM011_WGV12TF005,16,18,identity_safe_same_vehicle_thread_candidate,same_vehicle,accepted,same_vehicle_edge_upgraded,high,16;18,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000013_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000014_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000015_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000016_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000017_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000018_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000019_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M004/GM_RM011_WGV12M004_000020_diagnostic_yolo26l.png,M004 continues the same white car from side crop to hood/front crop.,B,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M005,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF005,GM_RM011_WGV12TF006,25,31,identity_split_boundary_spatially_distinct_competitor,not_same_vehicle_context,context_only,temporal_context_edge_added,medium,25;31,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000018_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000018_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000019_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000019_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000020_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000020_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000021_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/edge_review_frames/GM_RM011_WGV12M005/GM_RM011_WGV12M005_000021_diagnostic_yolo26l.png,M005 is same-color replacement from right-side white car to another front-facing white car.,D;F,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M006,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF008,GM_RM011_WGV12TF009,161,164,identity_safe_same_vehicle_thread_candidate,same_vehicle,accepted,same_vehicle_edge_upgraded,high,161;164,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000151_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000152_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000153_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000154_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000155_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000156_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000157_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M006/GM_RM011_WGV12M006_000158_diagnostic_yolo26l.png,M006 is same white car with edge-visible truncation.,B;G,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M007,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF010,GM_RM011_WGV12TF011,232,233,identity_split_boundary_blocked_by_wgv1_2,same_vehicle,accepted,same_vehicle_edge_upgraded,high,232;233,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/06_GM_RM011_GM_RM011_WGV13T006_standalone_split/frames_yolo/GM_RM011_WGV13T006_GM_RM011_WGV12TF010_000232_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF011_000233_diagnostic_yolo26l.png,"M007 missing edge frames, but thread frames 231-233 show the same white car continuing.",B,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M008,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF011,GM_RM011_WGV12TF012,233,236,identity_safe_same_vehicle_thread_candidate,same_vehicle,accepted,same_vehicle_edge_upgraded,high,233;236,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000233_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000234_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000235_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000236_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000237_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000238_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M008/GM_RM011_WGV12M008_000239_diagnostic_yolo26l.png,M008 keeps the same underpass white car through frames 233-239.,B,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M009,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF012,GM_RM011_WGV12TF013,239,242,identity_split_boundary_blocked_by_wgv1_2,same_vehicle,accepted,same_vehicle_edge_upgraded,high,239;242,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF012_000239_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000242_diagnostic_yolo26l.png,"M009 missing edge frames, but 239 to 242 remains the same white car front.",B,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M010,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF013,GM_RM011_WGV12TF014,249,250,identity_split_boundary_blocked_by_wgv1_2,same_vehicle,accepted,same_vehicle_edge_upgraded,high,249;250,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000249_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/09_GM_RM011_GM_RM011_WGV13T009_standalone_split/frames_yolo/GM_RM011_WGV13T009_GM_RM011_WGV12TF014_000250_diagnostic_yolo26l.png,M010 joins frame 249 to 250 as the same white car hood/front-window crop.,B,yes,no,no / blocked,yes,yes,yes
