context_edge_id,scene_id,from_fragment_id,to_fragment_id,context_relation_type,context_evidence,identity_relation,note
GM_RM011_WG11TCE001,GM_RM011,GM_RM011_WG11F004,GM_RM011_WG11F005,same_frame_competition,26-30 center jumps over 497px inside old Y26N004,blocked_not_same_vehicle,records why old Y26N004 remains split in V1.1
GM_RM011_WG11TCE002,GM_RM011,GM_RM011_WG11F005,GM_RM011_WG11F006,vehicle_turnover_context,post-switch fragment 31-35 appears after ambiguous jump zone,unknown_identity_relation,do not make a same-vehicle edge without human review
GM_RM011_WG11TCE003,GM_RM011,GM_RM011_WG11F007,GM_RM011_WG11F008,occlusion_context,137 frame boxes left white vehicle and 138 frame box jumps to middle dark vehicle,temporal_context_not_identity,GM_RM011 135-166 is blocked as same-vehicle node
GM_RM011_WG11TCE004,GM_RM011,GM_RM011_WG11F008,GM_RM011_WG11F009,occlusion_context,150-151 area ratio jump and post-occlusion reappearance risk,temporal_context_not_identity,keeps occlusion-driven target switch out of same-vehicle edges
GM_RM011_WG11TCE005,GM_RM011,GM_RM011_WG11F009,GM_RM011_WG11F010,occlusion_context,thin right-edge crop follows previous occlusion window,unknown_identity_relation,review-only context;not same-vehicle evidence
GM_RM011_WG11TCE006,GM_RM011,GM_RM011_WG11F011,GM_RM011_WG11F012,vehicle_turnover_context,231-239 lies inside structured multi-vehicle encounter and V1 weak same-vehicle edge is removed,unknown_identity_relation,V1.1 replaces V1 weak same-vehicle edge with temporal context
GM_RM011_WG11TCE007,GM_RM011,GM_RM011_WG11F012,GM_RM011_WG11F013,front_to_front_encounter,237 right-side white car and 242-245 left-side white car have different primary box subjects,different_vehicle_context,identity-safe default for fragment A to B
GM_RM011_WG11TCE008,GM_RM011,GM_RM011_WG11F013,GM_RM011_WG11F014,rear_to_front_adjacency,264-265 primary box jumps from right-side/center body to left-side white car rear,different_vehicle_context,GM_RM011 237-270 is no longer a single Y26N009 same-vehicle node
GM_RM011_WG11TCE009,GM_RM011,GM_RM011_WG11F014,GM_RM011_WG11F015,vehicle_turnover_context,late handoff from 270 to 279 is not identity-safe after fragment C,unknown_identity_relation,requires human review before any same-vehicle relation
GM_RM011_WG11TCE010,GM_RM011,GM_RM011_WG11F015,GM_RM011_WG11F016,vehicle_turnover_context,old Y26N012 has 288-289 center jump around 463px,unknown_identity_relation,late central white vehicle candidate remains split before accepting identity
GM_RM011_WG11TCE011,GM_RM011,GM_RM011_WG11F015,GM_RM011_WG11F017,competitor_vehicle_context,left-edge competitor overlaps late central white vehicle window,forbidden_context_not_identity,keeps GM_RM011_E007 as forbidden guard context
GM_RM017_WG11TCE001,GM_RM017,GM_RM017_WG11F001,GM_RM017_WG11F002,competitor_vehicle_context,pre-145 truck or context vehicle is separated from leading dark or mixed target,different_vehicle_context,GM_RM017 118-214 is split into review targets
GM_RM017_WG11TCE002,GM_RM017,GM_RM017_WG11F002,GM_RM017_WG11F003,same_frame_competition,159-163 dense window contains large center jumps and multiple candidate families,blocked_not_same_vehicle,transition zone is context evidence only
GM_RM017_WG11TCE003,GM_RM017,GM_RM017_WG11F003,GM_RM017_WG11F004,occlusion_context,target switch zone precedes white sedan or SUV review target,unknown_identity_relation,do not use detector-only identity for white vehicle target
GM_RM017_WG11TCE004,GM_RM017,GM_RM017_WG11F004,GM_RM017_WG11F005,vehicle_turnover_context,white vehicle around 164-185 differs from trailing dark vehicle around 200-214,different_vehicle_context,keeps GM_RM017 dark and white review targets separated
GM_RM017_WG11TCE005,GM_RM017,GM_RM017_WG11F002,GM_RM017_WG11F005,competitor_vehicle_context,leading and trailing dark vehicle relation remains forbidden guard review,forbidden_context_not_identity,GM_RM017_E001 remains forbidden guard;not SAR-ready
