closure_id,forward_case_id,reverse_case_id,forward_frozen_sha_valid,identity_closure,geometry_closure,lifecycle_closure,background_exclusion_closure,multivehicle_exclusivity_closure,negative_control_result,remaining_contradiction,closure_state,scientific_interpretation
CLO-001,FWD-W1-016-R01,REV-W1-016-R01,true,identity known but response ownership failed,failed; frozen region incompatible with direct/nearby GT,lifecycle constraints applied without filling GT gaps,failed; wrong-position/background control remained plausible,"no principal neighbor, but background remained",wrong-position/background control reproduces a plausible false explanation,two usable PV001 boxes overlap by 0.991 and are redundant links; not a second vehicle,FORWARD_FALSE_ATTRIBUTION,Forward ownership was not discriminative and is rejected.
CLO-002,FWD-W1-044-R01,REV-W1-044-R01,true,identity context preserved; owner not closed,not closed because same-frame GT missing or unsuitable,lifecycle constraints applied without filling GT gaps,not closed; persistent arc/line remains viable,vehicle identities kept distinct; pixel ownership not uniquely closed,controls preserve multiple explanations; no forced closure,GT gap; PV001 anchor at58 is diagnostic-only,BOUNDED_UNRESOLVED,"The bounded unknown is retained because direct target evidence is absent, diagnostic-only, or cross-vehicle mismatched."
CLO-003,FWD-W1-044-R02,REV-W1-044-R02,true,identity context preserved; owner not closed,not closed because same-frame GT missing or unsuitable,lifecycle constraints applied without filling GT gaps,not closed; persistent arc/line remains viable,vehicle identities kept distinct; pixel ownership not uniquely closed,controls preserve multiple explanations; no forced closure,GT gap and diagnostic-only PV001 anchor at58,BOUNDED_UNRESOLVED,"The bounded unknown is retained because direct target evidence is absent, diagnostic-only, or cross-vehicle mismatched."
CLO-004,FWD-W1-070-R01,REV-W1-070-R01,true,identity known but response ownership failed,reverse-only GT geometry; no forward closure,lifecycle constraints applied without filling GT gaps,reverse-only; background exclusion not available forward,vehicle identities kept distinct; pixel ownership not uniquely closed,correct GT-local explanation appears only after reveal and wrong boxes also look plausible,no same-frame GT; anchor is usable but cannot be copied back,REVERSE_POSTHOC_ONLY,The real GT-local response can be described only after seeing the answer; it is not forward mechanism support.
CLO-005,FWD-W1-070-R02,REV-W1-070-R02,true,identity known but response ownership failed,failed; frozen region incompatible with direct/nearby GT,lifecycle constraints applied without filling GT gaps,failed; wrong-position/background control remained plausible,vehicle identities kept distinct; pixel ownership not uniquely closed,wrong-position/background control reproduces a plausible false explanation,GT absence for PV001 at the boundary; must remain unknown,FORWARD_FALSE_ATTRIBUTION,Forward ownership was not discriminative and is rejected.
CLO-006,FWD-W2-292-R01,REV-W2-292-R01,true,identity context preserved; owner not closed,not closed because same-frame GT missing or unsuitable,lifecycle constraints applied without filling GT gaps,not closed; persistent arc/line remains viable,vehicle identities kept distinct; pixel ownership not uniquely closed,controls preserve multiple explanations; no forced closure,all nearest anchors diagnostic-only and neighbor-risk marked,BOUNDED_UNRESOLVED,"The bounded unknown is retained because direct target evidence is absent, diagnostic-only, or cross-vehicle mismatched."
CLO-007,FWD-W2-304-R01,REV-W2-304-R01,true,identity context preserved; owner not closed,not closed because same-frame GT missing or unsuitable,lifecycle constraints applied without filling GT gaps,not closed; persistent arc/line remains viable,vehicle identities kept distinct; pixel ownership not uniquely closed,controls preserve multiple explanations; no forced closure,no same-frame GT; slight neighboring overlap at315,BOUNDED_UNRESOLVED,"The bounded unknown is retained because direct target evidence is absent, diagnostic-only, or cross-vehicle mismatched."
CLO-008,FWD-W2-338-R01,REV-W2-338-R01,true,identity known but response ownership failed,failed; frozen region incompatible with direct/nearby GT,lifecycle constraints applied without filling GT gaps,failed; wrong-position/background control remained plausible,vehicle identities kept distinct; pixel ownership not uniquely closed,wrong-position/background control reproduces a plausible false explanation,PV009 row is diagnostic-only,FORWARD_FALSE_ATTRIBUTION,Forward ownership was not discriminative and is rejected.
CLO-009,FWD-W2-338-R02,REV-W2-338-R02,true,identity known but response ownership failed,reverse-only GT geometry; no forward closure,lifecycle constraints applied without filling GT gaps,reverse-only; background exclusion not available forward,vehicle identities kept distinct; pixel ownership not uniquely closed,correct GT-local explanation appears only after reveal and wrong boxes also look plausible,none severe; PV008 usable but response completeness not established,REVERSE_POSTHOC_ONLY,The real GT-local response can be described only after seeing the answer; it is not forward mechanism support.
CLO-010,FWD-W3-494-R01,REV-W3-494-R01,true,identity known but response ownership failed,failed; frozen region incompatible with direct/nearby GT,lifecycle constraints applied without filling GT gaps,failed; wrong-position/background control remained plausible,vehicle identities kept distinct; pixel ownership not uniquely closed,wrong-position/background control reproduces a plausible false explanation,GT gap at494 and lifecycle change before first anchor,FORWARD_FALSE_ATTRIBUTION,Forward ownership was not discriminative and is rejected.
CLO-011,FWD-W3-547-R01,REV-W3-547-R01,true,identity context preserved; owner not closed,not closed because same-frame GT missing or unsuitable,lifecycle constraints applied without filling GT gaps,not closed; persistent arc/line remains viable,vehicle identities kept distinct; pixel ownership not uniquely closed,controls preserve multiple explanations; no forced closure,GT absence for PV012 and GT pair mismatch at nearest anchor,BOUNDED_UNRESOLVED,"The bounded unknown is retained because direct target evidence is absent, diagnostic-only, or cross-vehicle mismatched."
CLO-012,FWD-W3-597-R01,REV-W3-597-R01,true,identity context preserved; owner not closed,not closed because same-frame GT missing or unsuitable,identity lifecycle known; SAR GT gap remains,not closed; persistent arc/line remains viable,vehicle identities kept distinct; pixel ownership not uniquely closed,controls preserve multiple explanations; no forced closure,complete later-W3 GT gap,BOUNDED_UNRESOLVED,"The bounded unknown is retained because direct target evidence is absent, diagnostic-only, or cross-vehicle mismatched."
