case_id,scene,case_type,segment_a,segment_b,frames,visual_judgement,migration_grade,candidate_status,primary_issue,next_action,panel_path
GM017_001,GM_RM017,unstable_segment,GM_RM017__botsort__normalized_active__bs_0008__seg_001,,145-185,edge fragments and competing dark vehicles prevent safe same-target confirmation,blocked_manual_review,not_candidate,edge_truncation_and_competition,manual_box_identity_review,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM017_unstable_GM_RM017__botsort__normalized_active__bs_0008__seg_001.jpg
GM017_002,GM_RM017,unstable_segment,GM_RM017__botsort__normalized_active__bs_0010__seg_001,,151-200,white-vehicle edge fragment is plausible but too partial for strong evidence,weak,weak_reference_only,edge_contact_partial_crop,box_quality_review,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM017_unstable_GM_RM017__botsort__normalized_active__bs_0010__seg_001.jpg
GM017_003,GM_RM017,unstable_segment,GM_RM017__botsort__normalized_active__bs_0012__seg_001,,162-214,mixed edge partial views cannot close identity continuity,blocked_manual_review,not_candidate,edge_truncation_possible_identity_ambiguity,manual_box_identity_review,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM017_unstable_GM_RM017__botsort__normalized_active__bs_0012__seg_001.jpg
GM011_001,GM_RM011,same_track_short_gap,GM_RM011__botsort__normalized_active__bs_0015__seg_001,GM_RM011__botsort__normalized_active__bs_0015__seg_002,16->18,same white vehicle front and windshield region continues across short gap,weak_to_medium,strong_continuity_candidate,partial_front_side_box,candidate_merge_review,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM011_breakpoint_01_same_track_short_gap_candidate_GM_RM011_bs_0015_seg_001_TO_GM_RM011_bs_0015_seg_002.jpg
GM011_002,GM_RM011,same_track_short_gap,GM_RM011__botsort__normalized_active__bs_0061__seg_002,GM_RM011__botsort__normalized_active__bs_0061__seg_003,281->283,same white vehicle front and windshield continues across short gap,weak_to_medium,strong_continuity_candidate,partial_front_box,candidate_merge_review,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM011_breakpoint_02_same_track_short_gap_candidate_GM_RM011_bs_0061_seg_002_TO_GM_RM011_bs_0061_seg_003.jpg
GM011_003,GM_RM011,same_track_short_gap,GM_RM011__botsort__normalized_active__bs_0029__seg_001,GM_RM011__botsort__normalized_active__bs_0029__seg_002,161->164,same right-edge white vehicle is plausible but later crop is very narrow,weak,weak_continuity_candidate,severe_edge_truncation,box_quality_review,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM011_breakpoint_03_same_track_short_gap_candidate_GM_RM011_bs_0029_seg_001_TO_GM_RM011_bs_0029_seg_002.jpg
GM011_004,GM_RM011,same_track_short_gap,GM_RM011__botsort__normalized_active__bs_0061__seg_001,GM_RM011__botsort__normalized_active__bs_0061__seg_002,270->279,same white vehicle is plausible but gap and part-state change weaken evidence,weak,weak_continuity_candidate,longer_gap_part_state_change,candidate_merge_review_with_state_tags,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM011_breakpoint_04_same_track_short_gap_candidate_GM_RM011_bs_0061_seg_001_TO_GM_RM011_bs_0061_seg_002.jpg
GM011_005,GM_RM011,cross_track_candidate,GM_RM011__botsort__normalized_active__bs_0061__seg_001,GM_RM011__botsort__normalized_active__bs_0064__seg_001,270->283,high appearance candidate points to left-edge competing vehicle not the central white vehicle,blocked_conflict,not_candidate,competing_target,exclude_from_strong_merge,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM011_breakpoint_05_cross_track_strong_candidate_GM_RM011_bs_0061_seg_001_TO_GM_RM011_bs_0064_seg_001.jpg
GM011_006,GM_RM011,spatial_near_counterexample,GM_RM011__botsort__normalized_active__bs_0056__seg_001,GM_RM011__botsort__normalized_active__bs_0061__seg_001,261->262,spatially close relation switches from side-window strip to left-edge rear fragment,blocked_manual_review,not_candidate,part_box_switch_and_competition,manual_box_identity_review,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM011_breakpoint_06_spatial_near_appearance_counterexample_GM_RM011_bs_0056_seg_001_TO_GM_RM011_bs_0061_seg_001.jpg
GM011_007,GM_RM011,spatial_near_counterexample,GM_RM011__botsort__normalized_active__bs_0044__seg_002,GM_RM011__botsort__normalized_active__bs_0038__seg_002,233->236,same white vehicle is plausible but boxes cover different vehicle parts,weak,weak_continuity_candidate,partial_to_full_or_part_box_transition,state_tag_and_box_quality_review,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM011_breakpoint_07_spatial_near_appearance_counterexample_GM_RM011_bs_0044_seg_002_TO_GM_RM011_bs_0038_seg_002.jpg
GM011_008,GM_RM011,spatial_near_counterexample,GM_RM011__botsort__normalized_active__bs_0002__seg_001,GM_RM011__botsort__normalized_active__bs_0007__seg_001,4->8,same white SUV is plausible but box changes from rear/body to window strip,weak,weak_continuity_candidate,vehicle_part_box_change,state_tag_and_box_quality_review,outputs/oty2/optical_evidence_visual_judgement_20260705_205500/panels/GM_RM011_breakpoint_08_spatial_near_appearance_counterexample_GM_RM011_bs_0002_seg_001_TO_GM_RM011_bs_0007_seg_001.jpg
